IndividualIdentity	Plot	Year	Aggressivenes	ExplorationScore	BodyMass	BodyMassTime	Tarsus	WingP3	BillLength	ObserverIdentity
1077	10	2010	NA	72	18	7.2	19.5	58	9.9	4
540	10	2010	8	55	17.7	4.9	20	55	11.5	2
1476	10	2010	1.5	51	15.6	6.8	19.3	58	11	5
1550	10	2010	15	56	16.6	6.9	20.3	58	10.6	4
391	10	2010	NA	61	18.3	5.9	20.4	58.5	11	5
319	10	2010	NA	69	18.5	10	20.1	NA	11.3	2
1421	10	2010	9	44	16.6	9.5	18.2	55.5	11	2
883	10	2010	10	69	19.3	4.7	19.7	60	11.5	5
1075	10	2010	0	84	18.4	6.3	19.6	58	10.1	4
880	10	2010	15	84	17.5	6.7	20.3	59.5	11.8	5
322	10	2010	6	49	17.2	6.1	19	59	11.7	5
452	10	2010	NA	40	16.9	5.5	18.3	59	11.2	5
476	10	2010	4	65	16.8	6	19.2	58.5	11.5	5
1344	11	2010	5	46	16.2	8.4	20.2	58.5	10.8	3
975	11	2010	NA	55	16.4	8.5	19.4	57	9.3	4
975	11	2010	NA	85	16.7	4.9	20	57	10.6	2
878	11	2010	9	94	17.6	7.9	20.2	59	11.1	1
313	11	2010	13.5	27	18.3	8.1	20.5	56	11	2
396	11	2010	NA	47	17.6	6.6	20.2	59.5	11.4	2
412	11	2010	6	74	17.9	4.6	20	58	10.7	4
259	11	2010	9	34	17.2	4	20	57	11.1	2
397	11	2010	10	46	16.8	4.8	19.2	60	9.4	4
1499	12	2010	8	65	17.8	4	NA	59	NA	7
704	12	2010	0	66	18.6	7.6	20.1	59.5	10.6	5
465	12	2010	7	37	17.2	9.2	19.7	60	11.5	1
494	12	2010	4	52	18.1	5.6	18.7	57.5	9.5	4
394	12	2010	11.5	35	18.4	7.2	20.3	59.5	11.4	7
1217	12	2010	8	90	17.3	6.8	NA	57.5	12	1
348	12	2010	5	43	18.9	7.3	20.6	59.5	11.4	1
701	12	2010	0	38	16.8	4.2	20.5	61	11.2	5
393	12	2010	13	73	18.2	4.6	20.6	60	12	5
347	12	2010	5.5	41	15.6	6.8	19.2	60.5	11.2	1
481	12	2010	7.5	42	17.6	4.2	20.8	54.5	11.4	2
1218	12	2010	6.5	45	18.1	6.4	20	58	11.5	1
693	12	2010	8	46	20.5	5.8	20.5	60.5	10.5	5
1220	12	2010	10	80	18.5	4	21	58.5	11.5	1
644	12	2010	10	73	17.9	7	19.1	57.5	10.1	4
644	12	2010	10	5	17.4	6	19.3	58	11	5
262	12	2010	3.5	29	17.6	5.5	20.5	60.5	11.4	1
432	12	2010	5	63	17.1	4.8	19.8	60	10.9	1
702	12	2010	NA	74	17.6	6.4	19.4	59	10.7	5
791	12	2010	15	75	19.1	5.5	20.8	59.5	11.2	7
372	13	2010	8	7	17.5	4.2	19.8	57	10.1	4
714	13	2010	6	52	17	7.8	19.4	58	10.8	3
437	13	2010	8.5	52	16.8	5.5	18.3	60.5	10.9	5
369	13	2010	2	36	19.2	5.4	19.9	59	11.1	1
980	13	2010	0	39	17.7	5	19.4	58	11.6	1
1349	13	2010	8	63	17.2	8.4	20.1	57.5	11.9	7
691	13	2010	15	61	18.8	7	21	59	10.7	5
1210	13	2010	7	103	18.1	8.6	20.6	57.5	11.4	1
1211	13	2010	2	75	17.9	9.1	20	59	10.9	1
424	13	2010	15	67	16.5	6.2	19.3	57	10.2	4
423	13	2010	12.5	69	17.1	9.2	20	58	11.2	7
706	13	2010	0	69	18.3	8.9	20.1	58	10.4	5
480	14	2010	NA	28	18.9	9.1	19.9	56.5	11.3	3
1214	14	2010	NA	44	18.1	10.1	20.6	56	10.4	3
1434	14	2010	10	38	17.6	4.1	20.1	58	11.2	4
713	14	2010	NA	43	16.9	4.5	19.6	59	11.5	3
488	14	2010	NA	80	17.7	8.4	20.1	57.5	11.7	2
1224	14	2010	1.5	67	16.4	8.8	18.3	58	9.8	3
1208	15	2010	10.5	66	18.9	9.1	19.6	57	9.8	4
1435	15	2010	17.5	54	17	6.7	19.3	59	10.6	4
461	15	2010	10	76	17.8	9.6	19.2	59	10	4
463	16	2010	3	56	18.3	5.6	19.8	59	10.8	5
447	16	2010	NA	89	18.2	6.7	19.8	58	11	3
446	16	2010	NA	65	15.4	3.8	19.4	57.5	11.2	3
1216	16	2010	2.5	46	17	4.4	19.9	58	11.1	5
1437	16	2010	0	91	16.6	9.2	20	57	10.6	4
331	16	2010	5	21	17.8	5.8	19	58.5	11.1	5
329	16	2010	25	90	17.5	7.3	20.1	57	11.7	1
1464	16	2010	3	63	17.6	6.4	20.2	59.5	10.7	3
1465	16	2010	30	82	17.1	6.9	20.3	57.5	11.1	3
332	16	2010	5	36	18.4	7.7	19.6	58	10.6	3
1461	16	2010	3	40	19.3	7.6	19.3	58	11	5
977	16	2010	3	87	17.3	9.4	20.8	59.5	11.4	7
449	16	2010	10	81	19.3	7	20	57	11.4	3
548	16	2010	2.5	66	18.4	4.5	20.2	58	9.8	4
495	16	2010	8	56	18.1	5.6	20.9	58.5	11.7	5
451	16	2010	2	80	18.8	6.6	19.5	58	10	4
382	16	2010	3	40	17.7	3.9	NA	57.5	NA	7
472	16	2010	12.5	67	19.5	6.7	20.6	61	11.5	5
384	16	2010	12.5	40	19.5	7.2	21	59	10.7	5
379	16	2010	12.5	NA	18.2	4.1	19.8	58	11.3	5
1481	17	2010	7.5	85	17.6	5.5	21.3	61	10.9	4
708	17	2010	15	NA	NA	NA	NA	NA	NA	1
1073	17	2010	NA	60	17	5.9	19.6	57.5	10.5	3
1482	17	2010	2	31	17.1	7.3	19.6	55	10.8	4
1071	17	2010	5	72	18.2	4.8	20.7	57.5	11	3
572	17	2010	NA	34	17.9	8.8	20.6	61.5	11.2	5
399	17	2010	NA	81	17.3	7.6	19.9	60	11.3	5
479	18	2010	12.5	14	17.7	5.7	20.2	57.5	10.1	3
490	18	2010	7	59	16.2	7.5	20.3	62	9.8	4
1428	18	2010	15	71	16.2	5.2	20.2	58.5	10.5	3
1427	18	2010	8	35	17	4.3	20.3	58.5	11.6	3
1548	18	2010	NA	73	17.3	7.7	20.2	59	11	5
377	18	2010	NA	55	17.2	7.9	20	58.5	11.1	3
550	18	2010	5	58	17.5	8.3	20.5	61	12	5
1222	18	2010	10	79	17.1	6.8	20.1	58	10	3
1238	19	2010	1	75	18.2	7.4	20.7	52.5	10.3	9
1346	19	2010	4	76	18.5	5.9	19.1	59.5	10.7	9
1239	19	2010	4.5	75	19	7.1	19.9	59	11.7	9
413	19	2010	2.5	7	18	7.1	19.7	55.5	9.7	4
420	19	2010	6.5	59	18.8	4.3	20	61	12	1
440	19	2010	3	48	18.4	6.7	20.8	61	10.9	9
388	19	2010	6	5	18.9	8	19.6	57.5	11.1	1
1431	19	2010	12.5	55	18.2	10.1	21.1	56.5	11	3
417	19	2010	12	79	18.5	4.6	19.7	NA	12.2	7
416	19	2010	5.5	38	16.9	4.8	19.4	55.5	11.6	7
1351	19	2010	NA	68	NA	NA	NA	NA	NA	NA
1240	19	2010	2	45	17.2	5.6	19.4	59	11.2	7
1235	19	2010	8.5	68	17.3	8.7	19.4	56.5	11.4	7
402	19	2010	12.5	84	18.6	4	20.2	59	10.1	4
1308	19	2010	2.5	103	17.7	6.3	18.9	57.5	11.2	1
403	19	2010	5	63	16.2	8	19.5	55.5	10.9	4
1236	19	2010	NA	80	17.9	8.5	20	59	12	7
982	19	2010	5	47	18.4	5.8	19.6	60	10.6	4
1234	19	2010	NA	56	18.7	8.9	20.2	59	11.5	7
455	20	2010	25	88	18.9	6	20	58.5	10.7	4
464	20	2010	20	NA	18	8.3	19.5	60	10.4	5
444	20	2010	15	64	18.3	4	20.3	60	11	5
981	20	2010	15	87	16.5	4.5	19.5	58	9.2	4
1342	20	2010	20	93	17.6	6.4	19.5	59.5	10.8	5
443	20	2010	15	57	19.2	7.4	19.9	60	9.6	4
429	20	2010	7	36	17.4	4.8	19.4	58	NA	4
409	20	2010	8.5	64	18	6.6	20.7	56	11.4	9
430	20	2010	NA	65	17.4	5.2	19.9	61	9.6	4
1424	20	2010	7	74	NA	6.2	20	59	12	5
569	21	2010	10	42	18	8.7	19.6	55.5	11.7	2
1067	21	2010	0	75	17.9	8.5	19.6	61	11	5
378	21	2010	12	45	17.6	7.6	19.2	59	11.2	5
699	21	2010	12.5	49	18	4.9	19.9	58	10.1	4
1340	21	2010	NA	64	17.6	8.1	19.5	57	11	5
876	21	2010	4	57	16.9	3.7	19.4	58	11.5	2
1422	21	2010	NA	65	17.1	8.4	18.5	58	11	5
365	21	2010	15	56	18.7	4	20.6	57.5	11.1	2
1556	21	2010	NA	49	16.6	4.5	20	60	11	4
493	21	2010	25	102	17.4	9.3	20.5	60	10.5	5
477	21	2010	10	50	17	NA	19.5	60	11	5
1229	21	2010	1	41	18.4	7.7	19.9	60	10.4	4
366	21	2010	NA	33	17.5	3.6	19.8	59	11.4	1
1068	21	2010	1.5	65	16.4	7.7	19.4	59	10.5	5
1961	10	2011	8	37	16.5	4.5	19.5	60	11.6	21
389	10	2011	10	41	17.7	5.9	20	56.5	11.8	19
3099	10	2011	NA	52	16.7	7.6	19.6	58.5	11.9	8
1550	10	2011	10	66	16.7	7	19.9	59.5	12.2	3
319	10	2011	20	46	18	6	19.9	60	11.5	21
2303	10	2011	5.5	61	17.1	6.4	19.7	60	11.4	3
391	10	2011	2	77	18.2	5.8	20.7	58	10.5	5
3206	10	2011	NA	44	17	4.7	20.3	56.3	11.9	15
322	10	2011	NA	37	16.8	7.1	18.8	59	12	21
452	10	2011	6	NA	16.5	9.6	18.6	59.5	10.8	3
1918	10	2011	NA	56	17	6.9	19.6	58	11.3	3
476	10	2011	10	56	17.2	6.3	19.3	58.5	11.4	3
2297	11	2011	2.5	85	18	6.7	19.1	60.5	11.6	21
975	11	2011	12.5	78	16.2	5.5	20	61.5	10.4	3
1925	11	2011	8	43	17.8	6.7	19.7	58	11	15
2917	11	2011	10.5	86	16	4.5	19.5	56	11	8
2300	11	2011	10	74	18.2	8.4	20	55.5	11.9	21
3103	11	2011	5.5	76	18.3	4.2	19.6	61	11.7	8
313	11	2011	15	35	18.5	4.6	19.9	59.5	11.6	21
396	11	2011	5	28	17	5.1	19.5	61	11.7	21
412	11	2011	NA	42	17.1	6.8	20	61	11.7	8
411	11	2011	8	61	16.8	7.2	20.1	60.5	11.3	5
259	11	2011	14.5	18	17.2	8.2	19.8	59	10.4	8
2298	11	2011	10	73	15.8	6.8	19.4	58.8	11.7	21
2916	11	2011	9.5	48	16.6	10	20.5	58.5	11	8
1763	11	2011	NA	51	17.2	9.3	20.3	59	11.1	17
1499	12	2011	12	4	18	9.6	20	59	10.4	15
2217	12	2011	0	59	17.1	4.3	20.1	58	10.8	4
2629	12	2011	1	83	17.3	9	20.2	59.5	11.5	3
1649	12	2011	NA	17	17.6	6.8	19.8	61	11.6	21
393	12	2011	3	82	18.5	7.9	20.6	59	11.8	19
2628	12	2011	0	67	17.7	9.6	19.7	59.5	11.5	3
262	12	2011	3	11	19.8	4.2	20.6	59	10.5	17
693	12	2011	NA	3	18.7	4.3	20.2	60.5	11.2	3
3211	12	2011	NA	91	17.1	8.8	20.4	59	11.2	5
432	12	2011	4	74	17.1	8.1	19.6	60	10.4	9
644	12	2011	11	45	17.2	NA	19.5	62	11.9	21
702	12	2011	5.5	61	17.3	4.4	20.5	58.5	11.5	2
2559	13	2011	0	73	17.4	7.6	19.9	58.5	11.2	8
436	13	2011	8	50	16.6	4.6	20	60	11.8	19
2381	13	2011	NA	87	17.8	5.6	20.9	58	11.2	2
3241	13	2011	13	61	17.2	9.4	20.1	59.5	11.4	19
2382	13	2011	6.5	91	16.7	6.1	19.4	56.5	11.7	2
1210	13	2011	10	94	18.3	6.9	20.5	60.5	11.7	19
2637	13	2011	20	65	17.2	7.3	19.3	59	11	8
1211	13	2011	7.5	32	16.6	4.5	20.6	60.5	10.7	3
423	13	2011	20	50	17.2	8.3	20.4	59	11.6	15
691	13	2011	18	40	18	6	21.4	58	10.9	17
480	14	2011	1	37	17.4	5.5	19.3	58	11.7	21
3030	14	2011	NA	71	17	5.1	19.2	60	11.3	21
1214	14	2011	13	76	17.6	9.1	20.5	57	10.9	4
713	14	2011	15	3	16.3	3.8	19.6	57	11.5	2
3243	14	2011	8.5	28	14.9	5.3	19.3	56.5	11.2	17
1224	14	2011	8	74	16.5	6.4	18.1	61	11.6	21
3205	14	2011	8	97	16.8	8.1	19.8	56.5	11.3	15
3138	14	2011	3	72	17.5	5.4	19.7	58.5	11.4	21
2498	15	2011	1	63	16.4	8	18.8	57	10.6	9
2377	15	2011	4	54	16	5.9	19.5	56	11.2	4
351	15	2011	5	70	18.3	5.8	19.8	58	11.9	21
2497	15	2011	13	63	15.8	7.8	19.4	61	10.9	5
3040	15	2011	0	42	16.8	6.4	19.2	57.5	NA	1
2906	15	2011	NA	72	17.7	8.9	19.9	58.5	11.7	21
2760	15	2011	NA	53	17.3	5.1	19.8	62.5	10.6	3
2912	15	2011	5	82	17.2	8.1	20.5	56	12.1	2
3250	15	2011	3	50	16.5	4.8	20.2	58.5	11.7	19
2638	16	2011	11.5	53	17.6	5.6	20.9	60.5	11	8
3032	16	2011	NA	63	17.9	6.7	20.5	56	11.5	2
447	16	2011	25	44	17.3	4.4	19.9	59.5	11.1	19
331	16	2011	NA	44	16.9	4.3	19.1	61	11.4	5
463	16	2011	NA	45	17.4	8.7	20.2	56	11	2
1895	16	2011	0	80	15.8	5.5	18.6	57.5	10.3	15
3208	16	2011	4	60	17.7	7.7	19.7	59	11.6	19
1897	16	2011	5	74	18	7.3	20.1	58	11.2	3
1896	16	2011	4	35	17.7	8.4	20	60	12.7	1
1437	16	2011	NA	75	17.3	5.5	19.8	60.5	11.9	1
2558	16	2011	18	62	16.7	9.1	19.7	57.5	11.9	2
2378	16	2011	2	53	17.2	7.6	20.4	60.5	12	21
1949	16	2011	NA	45	17.9	5.6	20.2	59	10.3	19
384	16	2011	NA	54	19.2	4.7	21.1	59	10.9	1
472	16	2011	6	69	19.3	9.4	20.7	61.5	11.2	17
1964	17	2011	7.5	4	18.5	8.5	20.6	59.5	11.4	4
3091	17	2011	13	54	17	10.4	20.9	58	11.3	21
3142	17	2011	0	61	17.5	4.8	19.6	56	11.4	17
1481	17	2011	8	100	17	10.4	22	58.5	11.6	4
2899	17	2011	NA	72	18	7.4	20	57.5	11.6	19
3207	17	2011	5.5	56	17.1	4.4	19.7	59.5	11.4	8
483	17	2011	13	36	18.2	3.9	20.7	61.5	11.8	4
1071	17	2011	NA	65	18.1	5.9	20.4	57.5	11.7	4
3141	17	2011	0	33	17.2	5.2	19.7	57.5	10.7	17
486	17	2011	15	39	17.2	6.9	20.5	60.5	10.2	15
3026	17	2011	27	63	16.9	5.1	19.8	57	11.4	4
375	18	2011	13	60	16	7.3	19.7	59	10.1	17
479	18	2011	15	24	17.7	10.1	19.8	58.5	11.4	3
3027	18	2011	0	108	18.3	9.1	20.2	58	11.3	4
3097	18	2011	NA	54	17.5	8.1	20	61	10.4	15
2903	18	2011	7	64	16.5	4.9	20.6	57	11.5	19
2291	18	2011	2	23	17.9	6.1	NA	56.5	10.9	8
377	18	2011	NA	41	17.8	7.9	19.8	58	12	4
3231	18	2011	NA	59	17.1	10.2	19.1	58	12.1	21
373	18	2011	NA	66	18.8	9	20	60	11	17
2901	18	2011	0	54	17.5	5.6	20.3	59	11.3	19
1848	18	2011	11	76	20.5	5.5	20.4	59.5	11.1	15
1238	19	2011	9.5	103	18.5	6.4	20.8	59.5	10.8	5
1346	19	2011	NA	59	18.8	9.1	19.5	59.5	11.3	15
1905	19	2011	1	63	17.9	9.6	20.9	57	11.5	19
440	19	2011	3	28	17.9	9.4	19.8	59	12	15
1899	19	2011	2.5	72	17.5	8.3	19.9	57	11.9	15
579	19	2011	NA	67	17	9.2	20	61	10.8	17
3037	19	2011	8	61	18.3	9.1	20.6	59.5	11.4	5
298	19	2011	NA	31	17.6	9.6	20.2	60.5	11.6	9
3038	19	2011	6	80	17.2	9.5	20.8	60	12.3	5
2495	19	2011	NA	72	16.9	10.4	20.3	57	11.3	4
402	19	2011	14.5	9	18.6	9.2	20.9	59	11.7	4
1370	19	2011	8	74	18.5	9.9	20.6	59.5	11.8	19
1902	19	2011	15	35	17.6	10.5	19.7	59.5	10.9	19
3094	19	2011	4	62	19.5	10.3	20.5	60	11.8	2
1234	19	2011	20	58	17.6	9.2	20	60	12.1	8
1236	19	2011	NA	95	17.4	5.5	20.2	57.5	12.5	5
1890	20	2011	NA	49	18.8	7.9	20.7	55.5	10.6	8
946	20	2011	6	77	16.5	7.4	19.6	58	11.3	15
1944	20	2011	8	73	18.8	8.2	21	NA	11.5	8
2907	20	2011	0	69	16.5	4.3	19.8	57	11.1	9
443	20	2011	NA	72	19	6.9	20.5	59	9.8	15
444	20	2011	15	65	18.5	5.3	20	59	10.5	15
1892	20	2011	15	41	16.9	8.5	19.8	54.5	11.3	4
2914	20	2011	0	80	NA	NA	NA	NA	NA	NA
409	20	2011	0	64	17.7	5.5	20.3	59	11.3	5
3035	20	2011	NA	NA	17.2	4.8	19.7	59.5	10.9	1
1340	21	2011	9.5	60	17.9	4.9	19.9	58	10	19
2635	21	2011	0.5	44	16.9	9.9	19.7	60	11	19
1305	21	2011	8	24	16.5	6	19.8	58.5	10.7	19
493	21	2011	25	5	16.8	4.7	20.2	59.5	11.5	15
1361	21	2011	NA	41	17.2	8.3	20.1	57	10.8	19
2627	21	2011	7	27	18.1	7.1	19.9	62	12.3	9
1422	21	2011	11.5	55	15.6	10.1	18.7	59	11.5	8
428	21	2011	NA	48	17.2	7.8	19.9	57.5	11.5	1
2293	21	2011	0	84	17	4.6	20	58	11.2	4
2634	21	2011	NA	88	17.6	9.8	19.4	60	11	5
366	21	2011	28	47	17.5	5.5	19.6	59	11.4	15
1930	21	2011	7	6	16.8	9.3	18.4	57	10.5	15
3093	21	2011	0	81	17	8.8	20.1	NA	11.7	9
1306	21	2011	0	60	17	5.1	19.9	57.5	10.9	17
2290	21	2011	3.5	55	16.8	4.3	19.6	58	11.2	15
6766	10	2012	1.5	46	17.9	4.4	19.6	59	11.3	26
1961	10	2012	5	26	16.7	5.9	19.5	61	11.5	32
6727	10	2012	NA	55	16.7	5.3	19.2	59	11.9	28
6337	10	2012	6.5	29	17	3.6	20.8	59	11	37
3099	10	2012	8	30	17.5	6.5	19.7	59	12	28
1550	10	2012	10	70	17	5.4	20.5	59	11	26
1719	10	2012	6	63	19.1	10	20.3	56	11.2	31
6325	10	2012	12.5	83	19.1	5.2	21.2	59.5	11.2	31
319	10	2012	4	43	19.1	9.2	19.9	59	10.9	28
3206	10	2012	12.5	55	17.4	5.2	20.4	58	11.5	32
6075	10	2012	8.5	23	17	3.8	20.2	57.5	11.3	26
2071	10	2012	15	55	17.8	3.3	20	59.5	11	9
391	10	2012	5	58	17.6	3.4	20	56.5	10.5	32
6334	10	2012	3.5	41	17	4.6	21	58	11.4	37
6441	10	2012	4	69	17.8	8.1	20	62	11.2	33
476	10	2012	20	31	17.1	3.9	19.3	58.5	10.9	37
326	10	2012	15	14	16.6	3.9	19.7	60	11.1	32
3528	10	2012	NA	73	17.3	4.5	20.1	58	11.4	32
6251	10	2012	8	58	16.7	3.7	19.5	57	11.3	5
2473	10	2012	6	52	16	3.6	19.5	57.5	11.1	31
6074	10	2012	NA	37	16	3.7	20	58	11.5	32
6598	10	2012	15	21	17.2	8.7	19.8	57.5	11.5	31
2300	11	2012	10	54	18.5	9.6	20.3	57.5	11.1	34
2297	11	2012	6	43	17.8	7.1	19.6	58.5	11.1	31
5286	11	2012	2	68	18.3	7.5	20.2	61	11.5	5
3616	11	2012	6	28	17.9	3.8	20.1	61	11.5	33
6464	11	2012	8.5	64	16.9	4.1	20.4	60	11.5	33
5653	11	2012	10	11	18.2	7.1	22.8	58	11.2	37
3617	11	2012	NA	38	17.2	7	20.7	59	10.8	37
313	11	2012	15	23	19.4	6.3	19.7	60	10.9	33
2917	11	2012	3	53	16.6	7.5	19.5	57.5	10.5	32
1927	11	2012	NA	72	17.1	9	20	58	11.3	32
6460	11	2012	NA	62	16.8	4.4	19.9	58	11	32
2837	11	2012	1	78	17.1	6.5	20.4	58	11.3	5
6459	11	2012	7	67	17	3.8	20.1	56	11.2	32
2255	11	2012	0	62	18.4	9.6	19.8	58	11.6	5
3595	11	2012	15	61	18.3	7.3	20.5	59	10.8	28
3594	11	2012	8	NA	18.1	6.9	20	58	11.1	5
6336	11	2012	3	84	16.6	7.8	20.1	56.5	10.8	37
6247	11	2012	8	81	18.2	6.6	19.9	59.5	11.3	5
2834	11	2012	NA	82	17.3	8.5	20.1	58	10.8	28
1499	12	2012	25	63	17.7	3.7	20.3	58.5	11.2	29
2217	12	2012	20	86	16.9	3.7	20.2	61	10.6	28
3183	12	2012	0	39	18	5.6	19.7	59.5	11.5	29
1218	12	2012	NA	51	18.1	4.8	19.9	57.5	11.2	28
644	12	2012	12	12	18.2	8.5	19.4	60	10.1	28
3620	12	2012	2	42	16.7	4.3	18.9	56.5	10.8	29
2628	12	2012	2	55	18.1	4.5	20.3	60.5	11.5	5
3614	12	2012	15	46	17.5	7.7	18.8	59.5	11.5	28
3211	12	2012	0	84	17	6.5	20.1	55.5	10.5	31
702	12	2012	18	36	18.2	4	19.3	61	10.9	28
432	12	2012	18.5	48	17.2	6	19.6	62	10.2	28
5288	12	2012	2.5	76	17.4	3.7	19.7	59.5	11.3	5
5620	13	2012	3.5	44	15.6	3.9	18.5	59	11.1	28
6728	13	2012	1.5	49	18.2	9.6	19.4	60	10.8	28
3306	13	2012	11	55	17.6	4.9	20.8	58.5	11.5	4
3319	13	2012	4	34	17.7	3.8	19.8	58	12.1	28
2559	13	2012	6	57	17.4	3.9	19.5	60	11.8	28
3630	13	2012	12	21	16.7	8.4	19.6	60	11.8	28
2381	13	2012	12.5	76	17.7	3.6	20.4	60	10.8	5
6004	13	2012	1	34	17.3	4.6	20.2	60.5	11.8	28
436	13	2012	6.5	45	16.6	3.4	19.7	59	11	5
1851	13	2012	10	36	17.4	5.3	20.2	59	11.4	9
5618	13	2012	0	76	16.8	4.4	19.5	58.5	10.6	28
6737	13	2012	6	52	19.2	4.7	20.4	58	11.3	37
2382	13	2012	1.5	43	17.8	4.6	19.3	61.5	10.9	9
1210	13	2012	NA	101	18.1	6.3	20.5	61	NA	9
2264	13	2012	1.5	69	17.8	6	19.4	62.5	11	28
3348	13	2012	0	100	16.5	7.9	20.3	59.5	12	29
6253	13	2012	NA	53	17.9	9.6	20.1	60.5	11.5	28
691	13	2012	22	52	18.1	5.4	21.3	59	11.2	9
398	14	2012	10	92	17.3	6.6	19.3	59	11.3	28
480	14	2012	15.5	26	18	4	20	56	11.6	29
5017	14	2012	5	39	18.5	5.6	20.2	58.5	10.9	29
6275	14	2012	10	49	17.3	4.1	19.5	59.5	11.6	29
2220	14	2012	5	51	16.2	4.3	19.2	56.5	11.7	31
3610	14	2012	10	48	18.2	5.1	20.4	57.5	11	31
6596	14	2012	13.5	21	18.6	6.5	19.9	57	11.2	31
6054	14	2012	4.5	44	15.3	5.6	18.5	55.5	11.4	33
6507	14	2012	NA	69	17.4	8.2	19.7	58	11.5	9
713	14	2012	7	46	16.5	4.4	19.5	58	10.1	31
6878	14	2012	1	76	16.5	4.3	20.5	57	11.8	15
3138	14	2012	20	54	17.4	3.8	19.2	60	11.7	33
6936	14	2012	3	45	16.7	4.7	20	60	10.7	28
6052	14	2012	NA	29	18.9	5.2	19.7	61	11.1	33
6517	14	2012	1.5	80	17.7	7.8	20.5	60	11.9	9
5115	15	2012	3	93	16.2	4.2	19.4	60.5	11	28
6896	15	2012	15	62	17.9	9.1	20.1	57.5	11.2	26
5238	15	2012	15	75	17	3.4	19.8	58	11.2	9
2674	15	2012	22.5	67	17.3	8.4	19.2	59	11.3	33
2238	15	2012	30	35	17	5.9	19.5	56.5	10.7	31
2497	15	2012	20	50	16.7	9.1	19.4	58.5	11.6	5
2241	15	2012	NA	56	16.8	5.1	20.5	59	11.5	28
3040	15	2012	1.5	37	17	9.3	19	58.5	11.3	28
2760	15	2012	20	36	17.8	8.9	20.7	63	10.7	5
5161	15	2012	6	86	17.8	8.6	20.1	58	11.4	29
6725	15	2012	1	63	16.2	5.4	19	56.5	11.5	26
2912	15	2012	16	58	17.7	6.1	19.8	55.5	10.8	29
6723	15	2012	6.5	46	17.4	5.4	19.8	58.5	10.5	26
6053	15	2012	13.5	42	17.4	8.1	20.2	59	11.5	5
6527	15	2012	13.5	33	18.5	3.9	20	62	11	28
6463	16	2012	4.5	24	18.7	5	20.6	59.5	11.8	26
463	16	2012	6.5	38	17.7	4.2	19.6	58	10.9	33
935	16	2012	9	77	18.8	7.3	20.8	57	11.2	29
6876	16	2012	5	61	17.5	9.5	19.6	57	12	31
6146	16	2012	12.5	87	18.5	4.3	20.6	58.5	12.3	26
5019	16	2012	4	55	18.2	7.5	19	60	11.8	29
1895	16	2012	0	73	17.5	7.6	18.5	57.5	10.8	15
2385	16	2012	2	68	18	7	19.7	58	10	15
6488	16	2012	NA	50	17.1	7.1	19.1	58.5	11.4	26
3198	16	2012	1	66	18	10.1	19.9	58	11.1	28
3612	16	2012	0	63	17.1	9	20.2	57.5	11.9	9
7012	16	2012	1	51	16.2	5.9	19.8	59	12.1	33
3618	16	2012	8	55	18.2	4.6	21.5	58.5	11.5	15
5922	16	2012	0	56	18.8	3.4	20.7	57	11.7	4
2558	16	2012	17.5	60	NA	NA	NA	NA	NA	29
6478	16	2012	22.5	57	18.4	6.2	20.6	58	11.1	26
1949	16	2012	0	29	18.7	9.2	18.7	62	8.8	28
379	16	2012	10	47	18.6	8.8	19.9	58.5	11.4	5
472	16	2012	15	32	18.1	7.4	20.5	61.5	11.5	28
5997	16	2012	0	55	17.7	3.4	20.2	58.5	11.7	29
451	16	2012	10	28	18.7	4.5	20	61.5	11.9	29
4871	17	2012	3.5	60	18.8	6.6	21	59.5	11.6	9
3091	17	2012	10	35	18.3	8.5	20.7	58	11.7	28
1964	17	2012	10	50	18.6	3.8	20.5	58.5	11.1	29
2899	17	2012	17.5	99	18	9.5	20.5	57.5	11.2	15
3207	17	2012	NA	45	18.3	4.4	19.8	59	11.2	32
6754	17	2012	0.5	89	15.9	7.3	19	58.5	11.5	9
6348	17	2012	10.5	72	17.8	9.4	19.6	59	11.7	33
2869	17	2012	5	76	17.8	9.8	19.6	60.5	10.9	26
1071	17	2012	5	73	18.5	5.6	19.7	58.5	11.5	28
3026	17	2012	10	60	16.7	3.7	22.7	57.5	11.4	37
486	17	2012	NA	21	17.5	5.1	21	60.5	10.2	37
6518	17	2012	1	53	16.8	9.2	19.1	59	11.6	9
5940	17	2012	NA	55	17.2	6.2	19.8	58	11.4	4
6443	18	2012	NA	56	18.2	7.6	19.5	56	11.6	15
3078	18	2012	20	56	16.4	6.4	20	58.5	11.7	32
2877	18	2012	7	38	17	7.8	20.2	58	11.2	31
3027	18	2012	1	60	18.2	7	20.3	56.5	11.1	31
3406	18	2012	15	65	18	7.9	21	59.5	11.5	37
6847	18	2012	20	46	16	7.2	19.5	58	10.2	15
373	18	2012	NA	42	18.3	4.2	19.7	61	11.5	28
6350	18	2012	20	101	17.6	7.4	20.5	59.5	11.6	33
2903	18	2012	10.5	103	17.5	4.9	20.9	58	11	15
6462	18	2012	12	81	16.8	3.5	20	56.5	11.3	15
952	19	2012	0.5	34	17.5	12.4	20.1	60	11.8	15
6785	19	2012	1.5	67	17.8	6.8	19.3	57.5	11.5	26
6715	19	2012	4	43	NA	NA	20.5	NA	11.3	31
5428	19	2012	2	76	16.7	5.2	18.3	60.5	11.7	28
416	19	2012	5.5	60	17.2	7	19.2	57	11	15
