 pair     momtrt      egg    eggtrt    order       cband      sex    bsf    eggmass    age      mass      tarsus
  48       LPS         3        C        1       M15D0056      F      7      1.035      5       3.15       9.30
  48       LPS         4        T        .       M15D0074      M      7      1.035      5       2.90       7.80
  48       LPS         5        C        .       SDBL0267      M      7      1.003      5       2.56       6.88
  48       LPS         6        T        .       M15D0080      M      7      1.038      5       2.49       7.46
  48       LPS         7        C        .       M15D0081      M      7      1.110      5       2.24       6.99
  50       LPS         2        T        1       M15D0082      F      5      0.917      5       3.15       9.30
  50       LPS         3        C        1       M15D0083      M      5      0.989      5       4.43       9.69
  50       LPS         4        T        1       M15D0084      F      5      1.095      5       3.81       8.90
  50       LPS         6        T        1       M15D0087      M      5      1.128      5       4.21       7.86
  50       LPS         7        C        1       M15D0090      M      5      1.179      5       4.15       8.60
  52       LPS         4        T        1       M15D0104      F      4      1.035      5       3.13       7.37
  52       LPS         5        C        1       M15D0096      M      4      1.068      5       2.12       6.65
  52       LPS         6        T        .       M15D0097      F      4      1.109      5       3.81       9.03
  52       LPS         7        C        .       M15D0098      M      4      1.159      5       3.61       8.26
  61        C          2        T        1       M15D0112      F      3      1.037      5       3.91       9.42
  61        C          3        C        1       M15D0113      M      3      1.102      5       3.88       8.52
  61        C          4        T        1       M15D0119      M      3      1.280      5       3.20       7.84
  63        C          1        T        .       M15D0114      M      3      1.186      5       3.56       9.56
  63        C          2        C        .       M15D0115      M      3      1.088      5       2.89       8.72
  63        C          4        C        1       M15D0118      M      3      1.174      5       4.27       8.27
  66        C          3        C        1       M15D0122      F      3      1.013      5       3.26       7.53
  66        C          4        T        1       M15D0123      F      3      1.047      5       3.43       8.05
  66        C          5        C        1       SDBL0281      M      3      1.079      5       3.61       8.59
  68        C          2        T        1       M15D0117      F      3      1.312      5       4.35       9.07
  68        C          5        C        1       M15D0120      M      3      1.387      5       3.86       8.29
  72       LPS         3        C        1       SDBL0294      M      1      1.118      5       3.25       7.84
  73       LPS         2        C        1       SDBL0275      M      4      1.120      5       3.46       7.38
  73       LPS         3        T        1       SDBL0276      M      4      1.080      5       2.95       7.62
  75       LPS         1        C        1       M15D0132      M      4      1.030      5       2.89       6.51
  75       LPS         2        T        1       SDBL0273      F      4      0.954      5       3.40       7.69
  75       LPS         3        C        1       M15D0146      F      4      1.020      5       2.71       8.21
  76       LPS         1        T        1       M15D0126      F      5      1.100      5       3.52       7.62
  76       LPS         2        C        .       M15D0124      M      5      1.144      5       5.26       11.03
  76       LPS         3        T        .       M15D0125      F      5      1.150      5       4.67       9.84
  76       LPS         4        C        1       M15D0128      M      5      1.120      5       4.27       9.15
  76       LPS         5        T        1       M15D0127      F      5      1.220      5       2.43       8.96
  77       LPS         2        C        1       M15D0131      F      5      1.080      5       3.48       8.70
