year,brood,box,sex,tarsus,d21mass,d21wing,wingarea,d21hct,d21hb,takeoff angle,flight velocity,total energy gain,d21time,handlingmin
2013,2,65,NA,34.1,77.07,102,NA,42.3,NA,21.8,1.79,3.94,9:44,2
2013,2,187,F,33.94,72.32,97,NA,38.2,11.36,11.31,1.8,2.95,9:56,5
2014,1,20,F,32.98,71.01,106,69.03,52.9,15.43,-11.31,1.8,0.04,9:27,2
2013,1,25,F,34.2,73.2,107,52.53,45.8,13.04,11.31,1.8,7.54,9:51,3
2013,1,159,F,34.42,71.45,106,54.34,45.5,14.94,11.31,1.8,6.94,9:58,3
2014,1,65,M,30.36,64.11,104,54.38,45.5,12.54,-11.31,1.8,3.17,9:16,2
2014,1,83,M,29.13,65.58,103,71.13,49.8,13.97,11.31,1.8,1.64,10:55,1
2014,1,67,M,27.1,68.69,100,62.53,43,11.02,21.8,1.8,2.07,NA,NA
2014,1,98,M,30.99,70.6,105,56.85,50.2,14.16,21.8,1.8,2.43,10:22,1
2013,1,81,F,34.46,62.03,93,50.04,47.5,14.34,30.96,1.84,4.47,10:05,4
2014,2,78,M,33.58,69.39,97,52.53,40.4,8.87,16.7,1.84,2.02,10:28,3
2013,1,90,M,35.3,83.95,103,47.35,53.7,16.68,16.7,1.84,2.8,10:25,4
2014,1,67,M,29.78,74.98,100,65.84,51.4,14.21,16.7,1.85,2.34,10:05,2
2013,1,75,F,35.4,72.61,103,53.88,44,12.05,26.57,1.86,5.95,11:23,3
2013,2,135,M,31.9,70.26,99,NA,44,13.06,26.57,1.86,2.76,9:57,2
2014,1,65,F,31.01,67.65,101,73.98,48.8,13.89,0,1.87,1.73,9:14,1
2014,1,21,M,30.55,68.55,99,60.14,47.1,12.97,26.57,1.87,2.75,9:29,0
2014,1,15,M,30.11,72.76,99,49.8,55.5,16.03,0,1.87,0.21,9:07,1
2014,1,86,F,33.83,72.57,106,60.7,44.2,10.81,0,1.88,2.88,11:19,2
2013,1,4,F,34.58,70.62,102,51.02,38.4,9.46,5.71,1.88,5.77,10:46,2
2014,2,87,M,31.78,59.62,100,52.56,40.5,NA,0,1.88,1.92,10:52,2
2013,2,4,F,34.67,72.93,97,NA,42.7,14.21,21.8,1.9,4.41,9:45,2
2013,1,74,F,33.79,73.19,106,46.17,50.8,17.17,21.8,1.9,3.74,9:46,2
2013,1,179,M,34.92,76.85,107,53.22,46.7,14.58,21.8,1.9,7.36,10:46,3
2014,2,157,F,33.32,70,102,53.66,43.9,13.84,11.31,1.91,4.77,11:42,2
2014,1,87,F,31.91,74.31,106,54.95,45.8,13.89,11.31,1.91,4.49,11:41,2
2014,1,47,F,29.17,74.23,103,57.67,52.2,10.3,11.31,1.91,1.87,12:11,2
2014,2,47,F,35.38,70.39,96,53.91,43.4,11.91,11.31,1.91,1.48,10:31,1
2014,1,75,M,31.63,79.22,105,70.15,50.3,13.83,21.8,1.91,3.02,10:34,2
2014,1,28,M,33.12,71.58,102,59.11,49.9,9.06,-11.31,1.91,-1.5,9:18,1
2013,1,147,M,34.07,68.53,102,46.21,43.7,14.65,11.31,1.91,5.19,11:36,4
