Age (years),Sex,Tarsus (mm x 100),Year
1,Female,1096,1993
1,Female,1096,1993
1,Female,1154,1993
1,Female,1079,1993
1,Female,1166,1993
1,Female,1144,1993
1,Female,1036,1993
1,Female,1263,1993
1,Female,1101,1993
1,Female,1160,1993
1,Female,1092,1993
1,Female,1104,1993
1,Female,1118,1993
1,Female,1080,1993
1,Female,1171,1993
1,Female,1103,1993
1,Female,1090,1993
1,Female,1126,1993
1,Female,1230,1993
1,Female,1060,1993
1,Female,1032,1993
1,Female,1157,1993
1,Female,1116,1993
1,Female,1063,1993
1,Female,1118,1993
1,Female,1084,1993
1,Female,1146,1993
1,Female,1026,1993
1,Female,1166,1993
1,Female,1135,1993
1,Female,1109,1993
1,Female,1121,1993
1,Female,1040,1993
1,Female,1059,1993
1,Female,1158,1993
1,Female,1070,1993
1,Female,1157,1993
1,Female,1148,1993
1,Female,1097,1993
1,Female,1089,1993
1,Female,1149,1993
1,Female,1078,1993
1,Female,1095,1993
1,Female,1281,1993
1,Female,1050,1993
1,Female,1084,1993
1,Female,1174,1993
1,Female,1171,1993
1,Female,1105,1993
1,Female,1125,1993
1,Female,1150,1994
1,Female,1132,1994
1,Female,1046,1994
1,Female,1158,1994
1,Female,1253,1994
1,Female,1134,1994
1,Female,1204,1994
1,Female,1106,1994
1,Female,1112,1994
1,Female,1149,1994
1,Female,1137,1994
1,Female,1129,1994
1,Female,1025,1994
1,Female,1169,1994
1,Female,1215,1994
1,Female,1222,1994
1,Female,1113,1994
1,Female,1198,1994
1,Female,1103,1994
1,Female,1178,1994
1,Female,1053,1994
1,Female,1072,1994
1,Female,1152,1994
1,Female,1052,1994
1,Female,1126,1994
1,Female,1147,1994
1,Female,1196,1994
1,Female,1012,1994
1,Female,1169,1994
1,Female,1067,1994
1,Female,1132,1994
1,Female,1192,1994
1,Female,1108,1994
1,Female,1169,1994
1,Female,1037,1995
1,Female,1162,1995
1,Female,1050,1995
1,Female,1188,1995
1,Female,1134,1995
1,Female,1051,1995
1,Female,1110,1995
1,Female,1160,1995
1,Female,1132,1995
1,Female,1048,1995
1,Female,1032,1995
1,Female,1064,1995
1,Female,1173,1995
1,Female,1166,1995
1,Female,1050,1995
1,Female,1158,1995
1,Female,1064,1995
1,Female,1025,1995
1,Female,1177,1995
1,Female,1107,1996
1,Female,1056,1996
1,Female,1143,1996
1,Female,1056,1996
1,Female,1079,1996
1,Female,1128,1996
1,Female,1101,1996
1,Female,1045,1996
1,Female,1037,1996
1,Female,1039,1996
1,Female,1055,1996
1,Female,1096,1996
1,Female,1143,1996
1,Female,1093,1996
1,Female,1200,1996
1,Female,1135,1996
1,Female,1000,1996
1,Female,1044,1996
1,Female,1181,1996
1,Female,1108,1996
1,Female,1108,1996
1,Female,1130,1996
1,Female,1137,1996
1,Female,1074,1996
1,Female,1119,1996
1,Female,1166,1996
1,Female,1152,1996
1,Female,1141,1996
1,Female,1112,1996
1,Female,1120,1996
1,Female,1168,1996
1,Female,1111,1996
1,Female,1113,1996
1,Female,1055,1996
1,Female,1129,1996
1,Female,1063,1996
1,Female,1152,1996
1,Female,1246,1997
1,Female,1071,1997
1,Female,1137,1997
1,Female,1019,1997
1,Female,1174,1997
1,Female,1107,1997
1,Female,1153,1997
1,Female,1142,1997
1,Female,1142,1997
1,Female,1134,1997
1,Female,1128,1997
1,Female,1204,1997
1,Female,1164,1997
1,Female,1118,1997
1,Female,1057,1997
1,Female,1162,1997
1,Female,1161,1997
1,Female,1111,1997
1,Female,1131,1997
1,Female,1117,1997
1,Female,1167,1997
1,Female,1118,1997
1,Female,1110,1997
1,Female,1121,1997
1,Female,1077,1997
1,Female,1126,1997
1,Female,1138,1997
1,Female,1116,1997
1,Female,1199,1997
1,Female,1167,1997
1,Female,1160,1997
1,Female,1089,1997
1,Female,1146,1997
1,Female,1085,1997
1,Female,1092,1997
1,Female,1052,1997
1,Female,1208,1997
1,Female,1090,1997
1,Female,1089,1997
1,Female,1131,1997
1,Female,1109,1997
1,Female,1120,1997
1,Female,1104,1997
1,Female,1101,1997
1,Female,1227,1997
1,Female,1112,1997
1,Female,1111,1997
1,Female,1082,1997
1,Female,1240,1997
1,Female,1196,1997
1,Female,1127,1997
1,Female,1105,1997
1,Female,1205,1997
1,Female,1129,1997
1,Female,1112,1997
1,Female,1091,1997
1,Female,1108,1997
1,Female,1103,1997
1,Female,1062,1997
1,Female,1134,1997
1,Female,1031,1997
1,Female,1126,1997
1,Female,1155,1997
1,Female,1156,1997
1,Female,1134,1997
1,Female,1075,1997
1,Female,1174,1997
1,Female,1159,1997
1,Female,1128,1997
1,Female,1070,1997
1,Female,1071,1997
1,Female,1059,1997
1,Female,1156,1997
1,Female,1146,1997
1,Female,1149,1997
1,Female,1094,1997
1,Female,1123,1997
1,Female,1126,1998
1,Female,1131,1998
1,Female,1133,1998
1,Female,1110,1998
1,Female,1119,1998
1,Female,1092,1998
1,Female,1149,1998
1,Female,1149,1998
1,Female,1116,1998
1,Female,1174,1998
1,Female,1102,1998
1,Female,1180,1998
1,Female,1131,1998
1,Female,1155,1998
1,Female,1112,1998
1,Female,1158,1998
1,Female,1179,1998
1,Female,1159,1998
1,Female,1129,1998
1,Female,1111,1998
1,Female,1147,1998
1,Female,1109,1998
1,Female,1139,1998
1,Female,1150,1998
1,Female,1104,1998
1,Female,1142,1998
1,Female,1146,1998
1,Female,1102,1998
1,Female,1096,1998
1,Female,1121,1998
1,Female,1203,1998
1,Female,1186,1998
1,Female,1136,1998
1,Female,1162,1998
1,Female,1162,1998
1,Female,1108,1998
1,Female,1153,1998
1,Female,1188,1998
1,Female,1132,1998
1,Female,1103,1998
1,Female,1138,1998
1,Female,1072,1998
1,Female,1155,1998
1,Female,1126,1998
1,Female,1248,1998
1,Female,1097,1998
1,Female,1172,1998
1,Female,1159,1998
1,Female,1142,1998
1,Female,1238,1998
1,Female,1151,1998
1,Female,1124,1998
1,Female,1187,1998
1,Female,1112,1998
1,Female,1115,1998
1,Female,1082,1998
1,Female,1152,1998
1,Female,1190,1998
1,Female,1048,1998
1,Female,1122,1998
1,Female,1119,1998
1,Female,1122,1998
1,Female,1113,1998
1,Female,1020,1998
1,Female,1178,1998
1,Female,1133,1999
1,Female,1052,1999
1,Female,1173,1999
1,Female,1021,1999
1,Female,1102,1999
1,Female,1178,1999
1,Female,1094,1999
1,Female,1095,1999
1,Female,1067,1999
1,Female,956,1999
1,Female,1062,1999
1,Female,1084,1999
1,Female,1084,1999
1,Female,1073,1999
1,Female,1055,1999
1,Female,1147,1999
1,Female,1074,1999
1,Female,1037,1999
1,Female,1058,1999
1,Female,1121,1999
1,Female,985,1999
1,Female,979,1999
1,Female,1003,1999
1,Female,1127,1999
1,Female,1036,1999
1,Female,1042,1999
1,Female,1028,1999
1,Female,1009,1999
1,Female,1024,1999
1,Female,1046,1999
1,Female,1055,1999
1,Female,1122,1999
1,Female,1109,1999
1,Female,1131,1999
1,Female,1090,1999
1,Female,1004,1999
1,Female,1151,1999
1,Female,1020,1999
1,Female,1038,1999
1,Female,1064,1999
1,Female,1044,1999
1,Female,1086,1999
1,Female,1048,1999
1,Female,1045,1999
1,Female,1143,1999
1,Female,1133,1999
1,Female,1069,2000
1,Female,1063,2000
1,Female,1047,2000
1,Female,1113,2000
1,Female,1050,2000
1,Female,1049,2000
1,Female,1172,2000
1,Female,1031,2000
1,Female,1073,2000
1,Female,1160,2000
1,Female,1158,2000
1,Female,1090,2000
1,Female,1104,2000
1,Female,1045,2000
1,Female,1158,2000
1,Female,1115,2000
1,Female,1097,2000
1,Female,1022,2000
1,Female,1058,2000
1,Female,1023,2000
1,Female,1105,2000
1,Female,1041,2000
1,Female,1062,2000
1,Female,1150,2000
1,Female,1021,2000
1,Female,1006,2000
1,Female,1003,2000
1,Female,1093,2000
1,Female,1083,2000
1,Female,1090,2000
1,Female,1133,2000
1,Female,1031,2000
1,Female,1197,2000
1,Female,1051,2000
1,Female,1028,2000
1,Female,1114,2000
1,Female,1108,2000
1,Female,1089,2000
1,Female,1017,2000
1,Female,1059,2000
1,Female,1175,2000
1,Female,1127,2000
1,Female,1152,2000
1,Female,1070,2000
1,Female,1059,2000
1,Female,973,2000
1,Female,1030,2000
1,Female,1075,2000
1,Female,1071,2000
1,Female,1050,2000
1,Female,1053,2000
1,Female,1022,2000
1,Female,1062,2000
1,Female,1182,2000
1,Female,1099,2000
1,Female,1083,2000
1,Female,1030,2000
1,Female,1007,2000
1,Female,1030,2000
1,Female,1126,2000
1,Female,1134,2000
1,Female,1070,2000
1,Female,1043,2000
1,Female,1066,2000
1,Female,1070,2000
1,Female,1095,2000
1,Female,1073,2000
1,Female,1058,2000
1,Female,1083,2000
1,Female,1137,2000
1,Female,1155,2000
1,Female,1007,2000
1,Female,1081,2000
1,Female,1111,2000
1,Female,1080,2001
1,Female,1056,2001
1,Female,1166,2001
1,Female,1192,2001
1,Female,1051,2001
1,Female,1076,2001
1,Female,1114,2001
1,Female,1057,2001
1,Female,1137,2001
1,Female,1127,2001
1,Female,1197,2001
1,Female,1157,2001
1,Female,1107,2001
1,Female,1087,2001
1,Female,1028,2001
1,Female,1002,2001
1,Female,1082,2001
1,Female,1107,2001
1,Female,1034,2001
1,Female,1095,2001
1,Female,1068,2001
1,Female,1006,2001
1,Female,1038,2001
1,Female,1107,2001
1,Female,953,2001
1,Female,940,2001
1,Female,1132,2001
1,Female,1164,2001
1,Female,1022,2001
1,Female,1037,2001
1,Female,1093,2001
1,Female,1073,2001
1,Female,1056,2001
1,Female,1097,2001
1,Female,1090,2001
1,Female,1111,2001
1,Female,1110,2001
1,Female,1147,2001
1,Female,1172,2001
1,Female,1001,2001
1,Female,1111,2001
1,Female,1070,2001
1,Female,1134,2001
1,Female,1107,2001
1,Female,1131,2001
1,Female,1147,2001
1,Female,1097,2001
1,Female,1052,2001
1,Female,1009,2001
