Year;Focal_nest;Paired-nest;Laying_date;Initial_clutch_size;Treatment;Egg_volume;Nestling_mass;Fledging_tarsus;Fledging_mass;Wing_length;Number_hatched;Number_fledged
2012;z5;s41;125;6;reduced;1548.33;11;20.24;12.58;51.33;4;3
2012;z51;s67;123;7;enlarged;1562.57;10.08;19.39;14.79;49.33;6;3
2012;z52;z18;123;6;reduced;1824.04;9.18;19.6;13.26;48.13;4;4
2012;z69;s69;125;5;enlarged;1675.2;9.5;19.53;13.95;51.5;5;4
2012;z7;k27;135;5;reduced;1762.98;9.78;19.35;14.83;51.83;3;3
2012;z71;s91;121;5;reduced;1729.18;8.63;19.06;13.54;51.5;3;2
2012;z72;s34;123;5;enlarged;1791.3;12.5;20.35;14.18;55;5;5
2012;z74;s100;127;6;enlarged;1946.74;;;;;6;0
2012;z76;k53;126;5;reduced;1650.3;11.75;19.74;13.92;53.83;3;3
2012;z79;s27;125;7;reduced;1573.29;;;;;5;0
2012;z89;z44;126;6;reduced;1680.07;11.59;19.59;14.55;52.25;4;4
2014;b17;k43;133;5;enlarged;1756.78;;;;;5;0
2014;b21;s27;134;6;reduced;1688.65;7.69;19.18;12.38;46.25;4;4
2014;b24;z17;117;7;reduced;1844.56;8.05;20.14;14.25;45;2;2
2014;b29;k25;118;6;reduced;1771.59;10.18;20.01;14.42;53.33;3;3
2014;b30;s78;137;4;reduced;1860.82;10.94;19.91;15.88;52;2;2
2014;b43;b7;122;6;reduced;1603.98;;19.83;14.7;49.8;5;5
2014;b6;k68;122;6;enlarged;1575.32;;19.36;13.94;50.25;5;4
2014;b7;b43;120;7;enlarged;1482.61;;;;;6;0
2014;d21;d22;123;7;enlarged;1750.94;11.6;19.52;12.81;50.5;7;4
2014;d22;d21;123;7;reduced;1744.76;10.02;19.26;14.5;50.83;6;6
2014;d23;s81;118;7;reduced;1558.05;8.6;19.51;13.25;49.75;5;4
2014;d24;z50;128;6;reduced;1732.8;9.44;20.33;16.64;51.4;5;5
2014;d26;s20;120;7;enlarged;1562.3;9.89;19.43;14.29;53.43;7;7
2014;d37;k75;124;6;enlarged;1763.14;10.29;19.67;14.15;53.2;6;5
2014;d38;s54;124;7;reduced;1620.35;9.46;19.45;14.2;52.2;5;5
2014;d4;z54;118;7;enlarged;1831.63;9.58;19.41;14.15;52.8;6;5
2014;d42;s104;129;6;enlarged;1666.12;9.17;19.07;14.35;48;6;5
2014;k10;k13;118;7;reduced;1695.85;9.49;19.63;13.95;51.8;5;5
2014;k13;k10;119;7;enlarged;1781.4;10.31;20.08;15.05;53.6;5;5
2014;k14;k30;120;6;reduced;1667.93;11.77;19.56;15.33;56.33;3;3
2014;k15;k27;119;5;reduced;1786.64;11.62;20.24;15.63;56;4;4
2014;k22;k44;120;8;reduced;1630.36;11.38;19.62;14;53.14;7;7
2014;k25;b29;119;6;enlarged;1661.28;9.93;19.36;13.42;50;6;3
2014;k27;k15;117;7;enlarged;1676.93;11.24;19.5;13.88;52.67;6;6
2014;k30;k14;120;6;enlarged;1538.09;9.91;19.74;14.05;53.8;5;5
2014;k43;b17;133;5;reduced;1693.16;9.21;19.5;14.69;49;4;4
2014;k44;k22;124;6;enlarged;1716.33;;;;;6;0
2014;k50;k86;123;7;reduced;1717.15;10.04;19.4;13.33;50;6;3
2014;k57;k63;124;6;reduced;1754.34;8.28;18.1;12.88;44.75;5;4
2014;k58;s31;133;5;reduced;1721.24;9.93;19.96;14.92;50.33;3;3
2014;k59;k9;121;6;enlarged;1498.57;9.07;19.27;13;50.67;6;6
2014;k6;s40;127;6;reduced;1661.24;8.68;19.21;13.75;47.2;5;5
2014;k61;k83;121;7;enlarged;1468.63;;19.52;13.68;52.71;7;7
2014;k63;k57;124;6;enlarged;1574.45;8.74;18.93;12.88;45.5;5;2
2014;k66;z1;126;6;reduced;1641.54;9.54;20.16;16;53.67;3;3
2014;k68;b6;120;7;reduced;1819.17;;21.17;15.4;57.2;5;5
2014;k75;d37;122;7;reduced;1909.82;;;;;6;0
2014;k83;k61;120;7;reduced;1609.97;;;;;5;0
2014;k86;k50;123;6;enlarged;1583.44;;;;;;
2014;k9;k59;122;6;reduced;1727.63;11.91;20.04;12.75;52.5;5;4
2014;s10;s32;117;7;reduced;1765.81;9.99;19.52;14.25;49;5;5
2014;s102;s98;123;5;enlarged;1460.34;;;;;;
2014;s103;s53;136;6;reduced;1566.94;9.27;19.14;12.75;46.33;4;3
2014;s104;d42;126;6;reduced;1667.72;10.31;19.88;16.13;53;4;4
2014;s111;s72;120;7;reduced;1491.55;9.83;19.75;14.63;52.67;6;5
2014;s116;s77;125;6;reduced;1547.87;8.97;18.39;13;49.75;5;4
2014;s2;s29;119;7;reduced;1474.03;11.17;19.84;13.1;50.4;6;5
2014;s20;d26;120;7;reduced;1572.56;10.48;20.2;15.75;54.8;5;5
2014;s27;b21;135;6;enlarged;1676.36;8.88;20.15;14.75;49.75;4;4
2014;s29;s2;120;7;enlarged;1611.21;10.3;19.73;14.25;53.86;7;7
2014;s31;k58;132;5;enlarged;1663.06;6.36;19.02;11.69;46.75;5;4
2014;s32;s10;118;6;enlarged;1774.47;9.77;19.65;14.6;50.4;6;5
2014;s36;s58;122;6;reduced;1813.71;10.81;20.01;15.44;53;4;4
2014;s39;s43;118;7;enlarged;1801.49;;;;;;
2014;s40;k6;126;6;enlarged;1592.59;7.29;18.5;14.35;40.2;6;5
2014;s41;s48;124;6;reduced;1830.8;10.03;19.95;15.52;50.8;5;5
2014;s43;s39;118;7;reduced;1661.38;10.69;19.92;15.58;54;4;3
2014;s48;s41;124;6;enlarged;1495.88;;;;;5;0
2014;s52;s73;116;7;reduced;1626.63;8.99;19.33;15.21;50.17;6;6
2014;s53;s103;138;5;enlarged;1740.85;9.66;19.48;13.88;52.5;5;4
2014;s54;d38;124;5;enlarged;1627.68;12;20.26;15.88;57;3;2
2014;s56;s70;124;7;reduced;1754.96;6.98;18.69;12.77;41.8;6;5
2014;s58;s36;121;7;enlarged;1691.72;;;;;;
2014;s70;s56;123;7;enlarged;1561.75;9.41;19.28;11.38;46;7;6
2014;s72;s111;120;7;enlarged;1697.25;;;;;7;0
2014;s73;s52;117;6;enlarged;1726.94;10.08;19.92;14.71;51.83;6;6
2014;s77;s116;125;6;enlarged;1725.3;8.72;18.99;12.55;49;5;5
2014;s78;b30;135;6;enlarged;1704.24;10.83;19.12;13.25;53.2;6;5
2014;s80;s82;123;7;reduced;1581.53;;;;;6;0
2014;s81;d23;118;7;enlarged;1569.47;9.85;19.29;12.54;49.14;7;7
2014;s82;s80;123;7;enlarged;1660.77;9.92;19.46;13.17;42.17;7;6
2014;s90;s97;122;7;enlarged;1866.93;11.53;19.61;14.18;53.86;7;7
2014;s92;z80;138;5;reduced;1807.52;7.09;19.16;13;43;4;3
2014;s97;s90;122;8;reduced;1690.24;7.74;19.64;13;45.4;6;5
2014;s98;s102;119;5;reduced;1582.86;11.42;19.16;13.88;55.5;4;4
2014;z1;k66;127;5;enlarged;1660.04;9.26;19.83;13.65;50.8;5;5
2014;z13;z21;119;6;reduced;1667.55;10.97;20.07;14.5;55.2;5;5
2014;z17;b24;117;7;enlarged;1684.87;9.15;19.6;14.38;48.83;7;6
2014;z18;z20;122;7;reduced;1661.33;11.29;19.75;14.25;51.5;3;2
2014;z20;z18;122;7;enlarged;1551.57;8.61;19.27;14.3;47.2;6;5
2014;z21;z13;119;6;enlarged;1580.36;8.47;19.98;14.05;52.2;6;5
2014;z28;z75;122;7;reduced;1392.29;12.18;19.84;14.5;54.5;2;2
2014;z29;z56;123;7;reduced;1716.91;9.16;18.3;11.19;45.5;6;4
2014;z32;z35;118;7;reduced;1838.88;;;;;2;0
2014;z35;z32;119;6;enlarged;1532.17;9.7;19.74;13.79;54.17;6;6
2014;z40;z49;120;7;reduced;1834.36;11.04;20.43;15.67;54.33;6;6
2014;z41;z70;117;7;enlarged;1706.18;10.25;19.86;12.46;50.86;7;7
2014;z42;z58;118;7;reduced;1741.49;10.47;19.91;14.56;54;4;4
2014;z49;z40;122;6;enlarged;1607.19;10.88;19.17;14.35;53.6;5;5
2014;z50;d24;128;5;enlarged;1601.72;7.07;18.76;15.31;46.25;4;4
2014;z54;d4;118;6;reduced;1928.98;11.07;19.83;14.94;54.75;4;4
2014;z56;z29;123;6;enlarged;1492.01;9.53;19.77;14.83;51.5;6;6
2014;z58;z42;120;6;enlarged;1765.75;10.04;20.16;13.65;49.8;6;5
2014;z63;z77;120;7;enlarged;1561.87;9.1;19.14;13.19;50.25;5;4
2014;z68;z73;119;6;enlarged;1846.96;10.65;19.88;14.69;52.5;5;4
2014;z7;z8;119;6;enlarged;1709.04;;;;;;
2014;z70;z41;117;5;reduced;1572.11;8.75;19.4;15.25;48;3;3
2014;z73;z68;119;7;reduced;1577.69;10.85;20.06;14.88;53;5;4
2014;z75;z28;123;7;enlarged;1481.92;8.07;18.3;11.2;45.8;7;5
2014;z77;z63;118;7;reduced;1538.89;11.25;19.71;14.33;54.33;3;3
2014;z78;z90;122;7;enlarged;1667.11;11.13;19.64;14;54;6;6
2014;z8;z7;119;7;reduced;1747.91;9.78;19.88;14.42;54.33;4;3
2014;z80;s92;137;7;enlarged;1744.38;9.4;19.65;14.5;51.67;6;3
2014;z90;z78;123;6;reduced;1496.53;;;;;5;0
