OffspringID,NestAge,BroodSize,ClutchSizeKnown,TarsusChick,BodyMass,CatchTime,CatchMonth,Food,FP,TQ,HelpBinary,Sex,ChickTypeCondition,Comparison,RTL,Condition,CondType,SurvivalToBreedAge
128,29,1,0,25.7,17.7,Late,9,11.00826446,82,12099.52603,0,Male,Single,Best,1.028165978,0.344191807,SA,YES
129,29,1,0,27.7,18.3,Early,8,24.06875,104,15222.75555,0,Male,Single,Best,0.889136865,0.447865328,SA,YES
130,29,1,0,22.4,14.8,Mid,8,71.10493827,105,24991.74215,1,Male,Single,Best,0.985525353,0.648841394,SA,YES
131,29,1,0,23.1,15.6,Late,9,11.00826446,82,7187.898915,1,Female,Single,Best,0.918007337,0.898762004,SA,YES
132,29,1,0,20.2,13.5,Early,8,31.96410256,92,14126.38519,0,Male,Single,Best,,1.450604763,SA,NO
133,29,1,0,23.2,16,Early,8,31.96410256,92,70807.80432,0,Male,Single,Best,0.971523042,1.629508989,SA,YES
134,29,1,1,23.4,16.1,Mid,8,19.07006369,37,,0,Female,Single,Best,1.448890201,1.296230807,SA,NO
135,29,1,2,23.7,15.9,Mid,8,27.96,30,10880.8794,0,Female,Single,Best,1.035326933,0.903870762,SA,YES
136,29,1,2,23.5,16,Mid,9,19.49450549,75,42287.08697,,Female,Single,Best,0.615622564,1.030394498,SA,YES
137,29,1,2,22.3,15.2,Early,8,14.7122807,34,6954.190262,1,Female,Single,Best,,1.260637176,SA,YES
138,29,1,0,24.2,14.4,Early,8,71.10493827,105,11174.7403,0,Male,Single,Worst,0.59933814,-0.744189603,SB,YES
139,29,1,0,25,15.8,Mid,8,24.06875,104,22043.43843,0,Male,Single,Worst,1.307593507,-0.362774944,SB,YES
140,29,1,0,22.2,13.8,Mid,8,31.96410256,92,15954.76226,1,Female,Single,Worst,1.30468545,-0.234329013,SB,YES
141,29,1,0,23.9,14.9,Early,8,71.10493827,105,32072.11143,1,Female,Single,Worst,,-0.065283064,SB,YES
142,29,1,0,24.3,15.3,Early,9,31.96410256,92,15024.67082,1,Female,Single,Worst,2.311701321,-0.023479419,SB,YES
143,29,1,1,25.1,15.8,Mid,8,19.49450549,75,8456.828399,,Male,Single,Worst,1.118422134,-0.440144803,SB,YES
144,29,2,0,19.4,10,Early,9,31.96410256,92,28609.59557,0,Male,Sibling 1,Best,0.952699701,-1.609030012,A,NO
145,29,2,2,23.5,14.5,Early,8,19.49450549,75,5559.416565,0,Female,Sibling 1,Best,1.003647205,-0.208803004,A,YES
146,29,2,2,23.6,15.2,Mid,8,27.96,30,7945.893734,0,Male,Sibling 1,Best,0.275588562,0.120403084,A,YES
147,29,2,3,22.3,13.4,Mid,8,19.07006369,37,,,Female,Sibling 1,Best,1.202552725,-0.698449028,A,YES
148,29,2,3,26.2,16.5,Early,9,40.77777778,28,,0,Male,Sibling 1,Best,0.489681534,-0.370180433,A,YES
149,29,2,0,20,10,Early,9,31.96410256,92,28609.59557,0,Female,Sibling 2,Worst,1.75554987,-2.566318773,B,NO
150,29,2,2,24.1,14.2,Mid,8,27.96,30,7945.893734,0,Female,Sibling 2,Worst,0.798413164,-1.052609298,B,YES
151,29,2,2,26.1,15.8,Early,8,19.49450549,75,5559.416565,0,Male,Sibling 2,Worst,0.61246144,-0.814216926,B,YES
152,29,2,3,25,13.6,Mid,8,19.07006369,37,,,Female,Sibling 2,Worst,,-2.229689433,B,NO
153,29,2,3,22.1,12.6,Early,9,40.77777778,28,,0,Male,Sibling 2,Worst,1.333934923,-1.098016209,B,YES
154,30,1,0,24.1,16.2,Early,9,19.49450549,75,7760.631761,0,Female,Single,Best,0.740640403,1.004760611,SA,YES
155,30,1,0,23.4,15.8,Early,9,24.06875,104,10979.83288,0,Female,Single,Best,1.144399052,1.053600717,SA,YES
156,30,1,0,23.5,16,Early,9,31.96410256,92,22990.0516,0,Female,Single,Best,1.493374217,1.189480702,SA,YES
157,30,1,0,23.6,16.2,Mid,8,27.96,30,14698.19613,1,Female,Single,Best,0.700034902,1.267990777,SA,YES
158,30,1,0,23,16.1,Early,8,19.49450549,75,14809.37897,0,Female,Single,Best,1.082000128,1.711797071,SA,YES
159,30,1,0,23.2,11.6,Late,9,26.7816092,125,17794.2054,1,Female,Single,Worst,1.579705043,-3.165358011,SB,YES
160,30,1,0,26.1,15.8,Mid,8,19.49450549,75,39476.31008,1,Male,Single,Worst,1.156742667,-1.213843394,SB,YES
