"bird_id","egg_id","clip_id","ring_no","min_hatch_date","min_hatch_time","max_hatch_date","max_hatch_time","nest_rear","max_death_date","max_death_time","sex"
"L298674",NA,"RT","L298674","2010-05-22","08:58","2010-05-23","08:28:00","10_110",NA,NA,"M"
"L298675",NA,"BT","L298675","2010-05-23","08:28:00.00","2010-05-24","08:53:00","10_110",NA,NA,"F"
"L298673",NA,"N","L298673","2010-05-23","08:28:00.00","2010-05-24","08:53:00","10_110",NA,NA,NA
"L298693",NA,"L","L298693","2010-05-22","09:36","2010-05-23","09:21:00","10_96","2010-06-17",NA,"M"
"L298697",NA,"R","L298697","2010-05-22","09:36","2010-05-23","09:21:00","10_96","2010-06-17",NA,"F"
"L298780",NA,"B","L298780","2010-05-22","09:36","2010-05-23","09:21:00","10_96","2010-06-17",NA,"M"
"10_96LR",NA,"LR",NA,"2010-05-22","09:36","2010-05-23","09:21:00","10_96","2010-06-04",NA,"M"
"L298694",NA,"LB","L298694","2010-05-22","09:36","2010-05-23","09:21:00","10_96","2010-06-17",NA,"F"
"L298695",NA,"RB","L298695","2010-05-22","09:36","2010-05-23","09:21:00","10_96",NA,NA,"M"
"L298781",NA,"A","L298781","2010-05-22","09:36","2010-05-23","09:21:00","10_96","2010-06-17",NA,"F"
"L298696",NA,"LT","L298696","2010-05-22","09:36","2010-05-23","09:21:00","10_96","2010-06-17",NA,"M"
"L298677",NA,"L","L298677","2010-05-22","10:15","2010-05-23","09:34:00","10_83",NA,NA,"M"
"L298684",NA,"R","L298684","2010-05-22","10:15","2010-05-23","09:34:00","10_83",NA,NA,"M"
"L298679",NA,"B","L298679","2010-05-22","10:15","2010-05-23","09:34:00","10_83",NA,NA,"F"
"L298682",NA,"LR","L298682","2010-05-22","10:15","2010-05-23","09:34:00","10_83",NA,NA,NA
"L298681",NA,"LB","L298681","2010-05-22","10:15","2010-05-23","09:34:00","10_83",NA,NA,"M"
"L298678",NA,"RB","L298678","2010-05-22","10:15","2010-05-23","09:34:00","10_83",NA,NA,"M"
"L298680",NA,"A","L298680","2010-05-22","10:15","2010-05-23","09:34:00","10_83",NA,NA,"M"
"L298683",NA,"LT","L298683","2010-05-22","10:15","2010-05-23","09:34:00","10_83",NA,NA,"F"
"L298690",NA,"L","L298690","2010-05-22","11:32","2010-05-23","10:41:00","10_45",NA,NA,"F"
"L298686",NA,"R","L298686","2010-05-22","11:32","2010-05-23","10:41:00","10_45",NA,NA,"M"
"L298687",NA,"B","L298687","2010-05-22","11:32","2010-05-23","10:41:00","10_45",NA,NA,"M"
"L298692",NA,"LR","L298692","2010-05-22","11:32","2010-05-23","10:41:00","10_45",NA,NA,"M"
"L298688",NA,"LB","L298688","2010-05-23","10:41:00.00","2010-05-24","11:01:00","10_45",NA,NA,"M"
"L298689",NA,"RB","L298689","2010-05-23","10:41:00.00","2010-05-24","11:01:00","10_45",NA,NA,"F"
"L298685",NA,"A","L298685","2010-05-23","10:41:00.00","2010-05-24","11:01:00","10_45",NA,NA,"M"
"L298691",NA,"N","L298691","2010-05-23","10:41:00.00","2010-05-24","11:01:00","10_45","2010-06-17",NA,"F"
"L298526",NA,"L","L298526","2010-05-23","06:23","2010-05-24","06:54:00","10_171",NA,NA,"M"
"L298525",NA,"R","L298525","2010-05-23","06:23","2010-05-24","06:54:00","10_171",NA,NA,"F"
"L298530",NA,"B","L298530","2010-05-23","06:23","2010-05-24","06:54:00","10_171",NA,NA,"F"
"L298527",NA,"LR","L298527","2010-05-23","06:23","2010-05-24","06:54:00","10_171",NA,NA,"M"
"L298533",NA,"LB","L298533","2010-05-23","06:23","2010-05-24","06:54:00","10_171",NA,NA,"F"
"L298529",NA,"RB","L298529","2010-05-23","06:23","2010-05-24","06:54:00","10_171",NA,NA,"F"
"L298532",NA,"A","L298532","2010-05-24","06:54:00.00","2010-05-25","06:41:00","10_171",NA,NA,"M"
"L298531",NA,"LT","L298531","2010-05-24","06:54:00.00","2010-05-25","06:41:00","10_171",NA,NA,"F"
"L298528",NA,"RT","L298528","2010-05-24","06:54:00.00","2010-05-25","06:41:00","10_171",NA,NA,"M"
"L298547",NA,"L","L298547","2010-05-23","08:54","2010-05-24","08:03:00","10_113",NA,NA,"M"
"L298546",NA,"R","L298546","2010-05-23","08:54","2010-05-24","08:03:00","10_113",NA,NA,NA
"L298550",NA,"B","L298550","2010-05-23","08:54","2010-05-24","08:03:00","10_113",NA,NA,"F"
"10_113LR",NA,"LR",NA,"2010-05-24","08:03:00.00","2010-05-25","08:19:00","10_113","2010-06-02",NA,"F"
"L298548",NA,"LB","L298548","2010-05-24","08:03:00.00","2010-05-25","08:19:00","10_113",NA,NA,"F"
"L298549",NA,"RB","L298549","2010-05-24","08:03:00.00","2010-05-25","08:19:00","10_113",NA,NA,"M"
"10_113A",NA,"A",NA,"2010-05-24","08:03:00.00","2010-05-25","08:19:00","10_113","2010-05-30",NA,"F"
"L298545",NA,"LT","L298545","2010-05-24","08:03:00.00","2010-05-25","08:19:00","10_113",NA,NA,"M"
"10_113RT",NA,"RT",NA,"2010-05-24","08:03:00.00","2010-05-25","08:19:00","10_113","2010-05-30",NA,"M"
"10_113BT",NA,"BT",NA,"2010-05-24","08:03:00.00","2010-05-25","08:19:00","10_113","2010-05-27",NA,NA
"10_113LRT",NA,"LRT",NA,"2010-05-24","08:03:00.00","2010-05-25","08:19:00","10_113","2010-05-27",NA,NA
"L298537",NA,"L","L298537","2010-05-23","08:23:00.00","2010-05-24","08:16:00","10_124",NA,NA,"M"
"L298544",NA,"R","L298544","2010-05-23","08:23:00.00","2010-05-24","08:16:00","10_124",NA,NA,"F"
"L298536",NA,"B","L298536","2010-05-23","08:23:00.00","2010-05-24","08:16:00","10_124",NA,NA,"F"
"L298535",NA,"LR","L298535","2010-05-23","08:23:00.00","2010-05-24","08:16:00","10_124",NA,NA,"F"
"L298543",NA,"LB","L298543","2010-05-23","08:23:00.00","2010-05-24","08:16:00","10_124",NA,NA,"F"
"L298534",NA,"RB","L298534","2010-05-23","08:23:00.00","2010-05-24","08:16:00","10_124",NA,NA,"F"
"L298542",NA,"A","L298542","2010-05-23","08:23:00.00","2010-05-24","08:16:00","10_124",NA,NA,"F"
"L298538",NA,"LT","L298538","2010-05-23","08:23:00.00","2010-05-24","08:16:00","10_124",NA,NA,"F"
"L298541",NA,"RT","L298541","2010-05-23","08:23:00.00","2010-05-24","08:16:00","10_124",NA,NA,"F"
"L298539",NA,"BT","L298539","2010-05-23","08:23:00.00","2010-05-24","08:16:00","10_124",NA,NA,"M"
"L298540","10_124E12","LRT","L298540","2010-05-24","08:16:00.00","2010-05-25","08:34:00","10_124",NA,NA,"F"
"L298552",NA,"L","L298552","2010-05-23","09:30","2010-05-24","09:08:00","10_90",NA,NA,"M"
"L298554",NA,"R","L298554","2010-05-23","09:30","2010-05-24","09:08:00","10_90",NA,NA,"M"
"L298557",NA,"B","L298557","2010-05-23","09:30","2010-05-24","09:08:00","10_90",NA,NA,"F"
"L298559",NA,"LR","L298559","2010-05-23","09:30","2010-05-24","09:08:00","10_90",NA,NA,"F"
"L298560",NA,"LB","L298560","2010-05-23","09:30","2010-05-24","09:08:00","10_90",NA,NA,"F"
"L298561",NA,"RB","L298561","2010-05-23","09:30","2010-05-24","09:08:00","10_90",NA,NA,"F"
"L298553",NA,"A","L298553","2010-05-23","09:30","2010-05-24","09:08:00","10_90",NA,NA,"M"
"L298558",NA,"LT","L298558","2010-05-23","09:30","2010-05-24","09:08:00","10_90",NA,NA,"M"
"L298556",NA,"RT","L298556","2010-05-23","09:30","2010-05-24","09:08:00","10_90",NA,NA,"F"
"L298551",NA,"BT","L298551","2010-05-23","09:30","2010-05-24","09:08:00","10_90",NA,NA,"M"
"L298555",NA,"N","L298555","2010-05-23","09:30","2010-05-24","09:08:00","10_90",NA,NA,"M"
"L298571",NA,"L","L298571","2010-05-23","10:47","2010-05-24","11:12:00","10_40",NA,NA,"F"
"L298565",NA,"R","L298565","2010-05-23","10:47","2010-05-24","11:12:00","10_40",NA,NA,"M"
"L298567",NA,"B","L298567","2010-05-23","10:47","2010-05-24","11:12:00","10_40",NA,NA,"M"
"L298569",NA,"LR","L298569","2010-05-23","10:47","2010-05-24","11:12:00","10_40",NA,NA,"M"
"L298568",NA,"LB","L298568","2010-05-23","10:47","2010-05-24","11:12:00","10_40",NA,NA,"M"
"L298563",NA,"RB","L298563","2010-05-23","10:47","2010-05-24","11:12:00","10_40",NA,NA,"F"
"L298564",NA,"A","L298564","2010-05-24","11:12:00.00","2010-05-25","12:10:00","10_40",NA,NA,"M"
"L298566",NA,"LT","L298566","2010-05-24","11:12:00.00","2010-05-25","12:10:00","10_40",NA,NA,"M"
"L298570","10_40E12","N","L298570","2010-05-25","12:10:00.00","2010-05-27","11:18:00","10_40",NA,NA,"M"
"L298589",NA,"L","L298589","2010-05-23","14:00","2010-05-24","12:55:00","10_A8",NA,NA,"M"
"L298590",NA,"R","L298590","2010-05-23","14:00","2010-05-24","12:55:00","10_A8",NA,NA,"F"
"L298587",NA,"B","L298587","2010-05-23","14:00","2010-05-24","12:55:00","10_A8",NA,NA,"M"
"L298586",NA,"LR","L298586","2010-05-23","14:00","2010-05-24","12:55:00","10_A8",NA,NA,"F"
"L298582",NA,"LB","L298582","2010-05-23","14:00","2010-05-24","12:55:00","10_A8",NA,NA,"M"
"L298583",NA,"RB","L298583","2010-05-23","14:00","2010-05-24","12:55:00","10_A8",NA,NA,"M"
"L298584",NA,"A","L298584","2010-05-23","14:00","2010-05-24","12:55:00","10_A8",NA,NA,"M"
"L298585",NA,"LT","L298585","2010-05-24","12:55:00.00","2010-05-25","14:04:00","10_A8",NA,NA,"F"
"L298591",NA,"RT","L298591","2010-05-24","12:55:00.00","2010-05-25","14:04:00","10_A8",NA,NA,"F"
"L298588",NA,"N","L298588","2010-05-24","12:55:00.00","2010-05-25","14:04:00","10_A8",NA,NA,"F"
"L298579",NA,"L","L298579","2010-05-23","13:57","2010-05-24","13:05:00","10_A7",NA,NA,"M"
"L298573",NA,"R","L298573","2010-05-23","13:57","2010-05-24","13:05:00","10_A7",NA,NA,"M"
"L298572",NA,"B","L298572","2010-05-23","13:57","2010-05-24","13:05:00","10_A7",NA,NA,"M"
"L298581",NA,"LR","L298581","2010-05-23","13:57","2010-05-24","13:05:00","10_A7",NA,NA,"F"
"L298577",NA,"LB","L298577","2010-05-23","13:57","2010-05-24","13:05:00","10_A7",NA,NA,"F"
"L298575",NA,"RB","L298575","2010-05-23","13:57","2010-05-24","13:05:00","10_A7",NA,NA,"M"
"L298574",NA,"A","L298574","2010-05-24","13:05:00.00","2010-05-25","14:00:00","10_A7",NA,NA,"F"
"L298580",NA,"LT","L298580","2010-05-24","13:05:00.00","2010-05-25","14:00:00","10_A7",NA,NA,"F"
"L298578",NA,"RT","L298578","2010-05-24","13:05:00.00","2010-05-25","14:00:00","10_A7",NA,NA,"M"
"L298576","10_A7E10","N","L298576","2010-05-25","14:00:00.00","2010-05-27","13:20:00","10_A7",NA,NA,"F"
"L298595",NA,"L","L298595","2010-05-23","15:06","2010-05-24","14:41:00","10_A33",NA,NA,"F"
"L298593",NA,"R","L298593","2010-05-23","15:06","2010-05-24","14:41:00","10_A33",NA,NA,"M"
"L298592",NA,"B","L298592","2010-05-23","15:06","2010-05-24","14:41:00","10_A33",NA,NA,"F"
"L298701",NA,"LR","L298701","2010-05-23","15:06","2010-05-24","14:41:00","10_A33",NA,NA,"M"
"L298600",NA,"LB","L298600","2010-05-23","15:06","2010-05-24","14:41:00","10_A33",NA,NA,NA
"L298599",NA,"RB","L298599","2010-05-23","15:06","2010-05-24","14:41:00","10_A33",NA,NA,"M"
"L298596",NA,"A","L298596","2010-05-23","15:06","2010-05-24","14:41:00","10_A33",NA,NA,"M"
"L298598",NA,"LT","L298598","2010-05-23","15:06","2010-05-24","14:41:00","10_A33",NA,NA,"F"
"L298597",NA,"RT","L298597","2010-05-23","15:06","2010-05-24","14:41:00","10_A33",NA,NA,"M"
"L298594","10_A33E12","N","L298594","2010-05-24","14:41:00.00","2010-05-25","15:07:00","10_A33",NA,NA,"M"
"10_A35L",NA,"L",NA,"2010-05-23","15:17","2010-05-24","15:01:00","10_A35","2010-05-30",NA,"M"
"10_A35R",NA,"R",NA,"2010-05-23","15:17","2010-05-24","15:01:00","10_A35","2010-05-30",NA,"M"
"10_A35B",NA,"B",NA,"2010-05-23","15:17","2010-05-24","15:01:00","10_A35","2010-05-30",NA,"F"
"10_A35LR",NA,"LR",NA,"2010-05-23","15:17","2010-05-24","15:01:00","10_A35","2010-05-30",NA,"F"
"10_A35LB",NA,"LB",NA,"2010-05-23","15:17","2010-05-24","15:01:00","10_A35","2010-05-30",NA,"M"
"10_A35RB",NA,"RB",NA,"2010-05-23","15:17","2010-05-24","15:01:00","10_A35","2010-05-30",NA,"F"
"10_A35A",NA,"A",NA,"2010-05-23","15:17","2010-05-24","15:01:00","10_A35","2010-05-30",NA,"M"
"10_A35LT",NA,"LT",NA,"2010-05-24","15:01:00.00","2010-05-25","15:12:00","10_A35","2010-05-30",NA,"F"
"10_A35RT",NA,"RT",NA,"2010-05-24","15:01:00.00","2010-05-25","15:12:00","10_A35","2010-05-30",NA,"F"
"10_A35BT",NA,"BT",NA,"2010-05-24","15:01:00.00","2010-05-25","15:12:00","10_A35","2010-05-30",NA,"F"
"10_A35N",NA,"N",NA,"2010-05-24","15:01:00.00","2010-05-25","15:12:00","10_A35","2010-05-30",NA,"M"
"L298709",NA,"L","L298709","2010-05-24","06:38","2010-05-25","06:26:00","10_180",NA,NA,"M"
"L298708",NA,"R","L298708","2010-05-24","06:38","2010-05-25","06:26:00","10_180",NA,NA,"F"
"L298714",NA,"B","L298714","2010-05-24","06:38","2010-05-25","06:26:00","10_180",NA,NA,"F"
"L298711",NA,"LR","L298711","2010-05-25","06:26:00.00","2010-05-26","09:32:00","10_180",NA,NA,"M"
"L298707",NA,"LB","L298707","2010-05-25","06:26:00.00","2010-05-26","09:32:00","10_180",NA,NA,"M"
"L298713",NA,"RB","L298713","2010-05-25","06:26:00.00","2010-05-26","09:32:00","10_180",NA,NA,"F"
"L298710",NA,"A","L298710","2010-05-25","06:26:00.00","2010-05-26","09:32:00","10_180",NA,NA,"F"
"L298715",NA,"LT","L298715","2010-05-25","06:26:00.00","2010-05-26","09:32:00","10_180",NA,NA,"F"
"L298712",NA,"RT","L298712","2010-05-25","06:26:00.00","2010-05-26","09:32:00","10_180",NA,NA,"F"
"L298703",NA,"L","L298703","2010-05-24","06:52","2010-05-25","06:35:00","10_173","2010-06-09",NA,"M"
"L298704",NA,"R","L298704","2010-05-24","06:52","2010-05-25","06:35:00","10_173","2010-06-19",NA,"F"
"L298706",NA,"B","L298706","2010-05-25","06:35:00.00","2010-05-26","09:44:00","10_173","2010-06-19",NA,"F"
"L298702",NA,"LR","L298702","2010-05-25","06:35:00.00","2010-05-26","09:44:00","10_173","2010-06-19",NA,"F"
"L298705",NA,"LB","L298705","2010-05-25","06:35:00.00","2010-05-26","09:44:00","10_173","2010-06-19",NA,"F"
"10_173N",NA,"N",NA,"2010-05-25","06:35:00.00","2010-05-26","09:44:00","10_173","2010-06-09",NA,"M"
"L298716",NA,"L","L298716","2010-05-24","08:00","2010-05-25","07:46:00","10_129",NA,NA,"M"
"L298719",NA,"R","L298719","2010-05-24","08:00","2010-05-25","07:46:00","10_129",NA,NA,"M"
"L298721",NA,"B","L298721","2010-05-24","08:00","2010-05-25","07:46:00","10_129",NA,NA,"M"
"10_129LR",NA,"LR",NA,"2010-05-24","08:00","2010-05-25","07:46:00","10_129","2010-05-31",NA,"F"
"L298717",NA,"LB","L298717","2010-05-24","08:00","2010-05-25","07:46:00","10_129",NA,NA,"M"
"L298722",NA,"RB","L298722","2010-05-24","08:00","2010-05-25","07:46:00","10_129",NA,NA,"M"
"L298720",NA,"A","L298720","2010-05-24","08:00","2010-05-25","07:46:00","10_129",NA,NA,"F"
"10_129LT",NA,"LT",NA,"2010-05-25","07:46:00.00","2010-05-26","08:25:00","10_129","2010-06-03",NA,"M"
"L298718",NA,"N","L298718","2010-05-25","07:46:00.00","2010-05-26","08:25:00","10_129",NA,NA,"F"
"L298729",NA,"L","L298729","2010-05-24","08:29","2010-05-25","08:49:00","10_121",NA,NA,"M"
"L298724",NA,"R","L298724","2010-05-24","08:29","2010-05-25","08:49:00","10_121",NA,NA,"F"
"L298725",NA,"B","L298725","2010-05-24","08:29","2010-05-25","08:49:00","10_121",NA,NA,"M"
"L298726",NA,"LR","L298726","2010-05-24","08:29","2010-05-25","08:49:00","10_121",NA,NA,"F"
"L298723",NA,"LB","L298723","2010-05-24","08:29","2010-05-25","08:49:00","10_121",NA,NA,"F"
"L298727",NA,"RB","L298727","2010-05-25","08:49:00.00","2010-05-26","08:40:00","10_121",NA,NA,NA
"L298728",NA,"A","L298728","2010-05-25","08:49:00.00","2010-05-26","08:40:00","10_121",NA,NA,"F"
"L298793",NA,"LT","L298793","2010-05-25","08:49:00.00","2010-05-26","08:40:00","10_121",NA,NA,NA
"L298730","10_121E10","RT","L298730","2010-05-26","08:40:00.00","2010-05-28","09:19:00","10_121","2010-06-09",NA,"M"
"L298736",NA,"L","L298736","2010-05-24","09:28","2010-05-25","09:45:00","10_93","2010-06-09",NA,"F"
"L298735",NA,"R","L298735","2010-05-24","09:28","2010-05-25","09:45:00","10_93","2010-06-10",NA,"M"
"L298732",NA,"B","L298732","2010-05-24","09:28","2010-05-25","09:45:00","10_93",NA,NA,"M"
"L298733",NA,"LR","L298733","2010-05-24","09:28","2010-05-25","09:45:00","10_93",NA,NA,"F"
"10_93LB",NA,"LB",NA,"2010-05-25","09:45:00.00","2010-05-26","10:02:00","10_93","2010-06-09",NA,"M"
"L298731",NA,"RB","L298731","2010-05-25","09:45:00.00","2010-05-26","10:02:00","10_93","2010-06-19",NA,"M"
"10_93A",NA,"A",NA,"2010-05-25","09:45:00.00","2010-05-26","10:02:00","10_93","2010-05-28",NA,NA
"L298734",NA,"LT","L298734","2010-05-25","09:45:00.00","2010-05-26","10:02:00","10_93","2010-06-19",NA,"F"
"10_93N","10_93E09","N",NA,"2010-05-26","10:02:00.00","2010-05-28","11:17:00","10_93","2010-05-31",NA,NA
"L298744",NA,"L","L298744","2010-05-24","10:26","2010-05-25","10:29:00","10_72",NA,NA,"M"
"L298745",NA,"R","L298745","2010-05-24","10:26","2010-05-25","10:29:00","10_72",NA,NA,"M"
"L298743",NA,"B","L298743","2010-05-24","10:26","2010-05-25","10:29:00","10_72",NA,NA,"M"
"L298741",NA,"LR","L298741","2010-05-24","10:26","2010-05-25","10:29:00","10_72",NA,NA,"M"
"L298742",NA,"LB","L298742","2010-05-24","10:26","2010-05-25","10:29:00","10_72",NA,NA,"M"
"L298739",NA,"RB","L298739","2010-05-24","10:26","2010-05-25","10:29:00","10_72",NA,NA,"F"
"L298740",NA,"A","L298740","2010-05-25","10:29:00.00","2010-05-26","10:35:00","10_72",NA,NA,"F"
"L298737",NA,"LT","L298737","2010-05-25","10:29:00.00","2010-05-26","10:35:00","10_72",NA,NA,"M"
"L298738","10_72E09","N","L298738","2010-05-26","10:35:00.00","2010-05-28","11:35:00","10_72",NA,NA,"M"
"L298746","10_57E03","L","L298746","2010-05-24","10:50","2010-05-25","10:40:00","10_57",NA,NA,"F"
"L298747",NA,"R","L298747","2010-05-25","10:40:00.00","2010-05-26","10:48:00","10_57",NA,NA,"F"
"L298748",NA,"B","L298748","2010-05-25","10:40:00.00","2010-05-26","10:48:00","10_57",NA,NA,"F"
"L298751",NA,"LR","L298751","2010-05-25","10:40:00.00","2010-05-26","10:48:00","10_57",NA,NA,"F"
"L298749",NA,"LB","L298749","2010-05-25","10:40:00.00","2010-05-26","10:48:00","10_57",NA,NA,"F"
"L298750",NA,"RB","L298750","2010-05-25","10:40:00.00","2010-05-26","10:48:00","10_57",NA,NA,"F"
"L298800","10_57E07","N","L298800","2010-05-26","10:48:00.00","2010-05-28","11:50:00","10_57","2010-06-19",NA,"F"
"L298760",NA,"L","L298760","2010-05-24","11:22","2010-05-25","12:43:00","10_19",NA,NA,"M"
"L298753",NA,"R","L298753","2010-05-24","11:22","2010-05-25","12:43:00","10_19",NA,NA,"F"
"L298756",NA,"B","L298756","2010-05-24","11:22","2010-05-25","12:43:00","10_19",NA,NA,"M"
"L298755",NA,"LR","L298755","2010-05-24","11:22","2010-05-25","12:43:00","10_19",NA,NA,"F"
"L298763",NA,"LB","L298763","2010-05-24","11:22","2010-05-25","12:43:00","10_19",NA,NA,"M"
"L298759",NA,"RB","L298759","2010-05-25","12:43:00.00","2010-05-26","11:25:00","10_19",NA,NA,"F"
"L298761",NA,"A","L298761","2010-05-25","12:43:00.00","2010-05-26","11:25:00","10_19",NA,NA,"F"
"L298754",NA,"LT","L298754","2010-05-25","12:43:00.00","2010-05-26","11:25:00","10_19",NA,NA,"F"
"L298758",NA,"RT","L298758","2010-05-25","12:43:00.00","2010-05-26","11:25:00","10_19","2010-06-19",NA,"M"
"L298762",NA,"BT","L298762","2010-05-25","12:43:00.00","2010-05-26","11:25:00","10_19","2010-06-19",NA,"F"
"L298757",NA,"LRT","L298757","2010-05-25","12:43:00.00","2010-05-26","11:25:00","10_19","2010-06-19",NA,"M"
"L298801",NA,"N","L298801","2010-05-25","12:43:00.00","2010-05-26","11:25:00","10_19","2010-06-19",NA,"M"
"L298767",NA,"L","L298767","2010-05-24","14:27","2010-05-25","14:52:00","10_A29",NA,NA,"F"
"L298772",NA,"R","L298772","2010-05-24","14:27","2010-05-25","14:52:00","10_A29",NA,NA,"M"
"L298764",NA,"B","L298764","2010-05-24","14:27","2010-05-25","14:52:00","10_A29",NA,NA,"F"
"L298771",NA,"LR","L298771","2010-05-24","14:27","2010-05-25","14:52:00","10_A29",NA,NA,"M"
"L298770",NA,"LB","L298770","2010-05-24","14:27","2010-05-25","14:52:00","10_A29",NA,NA,"M"
"L298768",NA,"RB","L298768","2010-05-24","14:27","2010-05-25","14:52:00","10_A29",NA,NA,"M"
"L298769",NA,"A","L298769","2010-05-24","14:27","2010-05-25","14:52:00","10_A29",NA,NA,"M"
"L298766",NA,"LT","L298766","2010-05-24","14:27","2010-05-25","14:52:00","10_A29",NA,NA,"F"
"L298765",NA,"N","L298765","2010-05-24","14:27","2010-05-25","14:52:00","10_A29",NA,NA,"M"
"L298777",NA,"L","L298777","2010-05-25","08:17","2010-05-26","08:30:00","10_118",NA,NA,"F"
"L298778",NA,"R","L298778","2010-05-25","08:17","2010-05-26","08:30:00","10_118",NA,NA,"M"
"L298775",NA,"B","L298775","2010-05-25","08:17","2010-05-26","08:30:00","10_118",NA,NA,"M"
"L298779",NA,"LR","L298779","2010-05-25","08:17","2010-05-26","08:30:00","10_118",NA,NA,"M"
"L298774",NA,"LB","L298774","2010-05-25","08:17","2010-05-26","08:30:00","10_118",NA,NA,"F"
"10_118RB",NA,"RB",NA,"2010-05-25","08:17","2010-05-26","08:30:00","10_118","2010-06-04",NA,"M"
"10_118A",NA,"A",NA,"2010-05-26","08:30:00.00","2010-05-27","08:23:00","10_118","2010-06-01",NA,"M"
"L298776",NA,"N","L298776","2010-05-26","08:30:00.00","2010-05-27","08:23:00","10_118",NA,NA,NA
"L298786",NA,"L","L298786","2010-05-25","10:24","2010-05-26","10:20:00","10_80",NA,NA,"M"
"L298785",NA,"R","L298785","2010-05-25","10:24","2010-05-26","10:20:00","10_80",NA,NA,"M"
"L298787",NA,"B","L298787","2010-05-25","10:24","2010-05-26","10:20:00","10_80",NA,NA,"F"
"L298784",NA,"LR","L298784","2010-05-25","10:24","2010-05-26","10:20:00","10_80",NA,NA,"M"
"L298783",NA,"LB","L298783","2010-05-25","10:24","2010-05-26","10:20:00","10_80",NA,NA,"M"
"10_80RB",NA,"RB",NA,"2010-05-26","10:20:00.00","2010-05-27","10:15:00","10_80","2010-05-29",NA,"F"
"L298782",NA,"LT","L298782","2010-05-26","10:20:00.00","2010-05-27","10:15:00","10_80",NA,NA,"M"
"10_80A",NA,"A",NA,"2010-05-26","10:20:00.00","2010-05-27","10:15:00","10_80","2010-06-10",NA,NA
"10_33L",NA,"L",NA,"2010-05-26","11:15","2010-05-27","11:30:00","10_33","2010-06-05",NA,"M"
"10_33R",NA,"R",NA,"2010-05-26","11:15","2010-05-27","11:30:00","10_33","2010-06-05",NA,"F"
"10_33B",NA,"B",NA,"2010-05-26","11:15","2010-05-27","11:30:00","10_33","2010-06-05",NA,"M"
"10_33LR",NA,"LR",NA,"2010-05-26","11:15","2010-05-27","11:30:00","10_33","2010-06-05",NA,"F"
"10_33LB",NA,"LB",NA,"2010-05-26","11:15","2010-05-27","11:30:00","10_33","2010-06-05",NA,"M"
"10_33RB",NA,"RB",NA,"2010-05-26","11:15","2010-05-27","11:30:00","10_33","2010-06-05",NA,"F"
"10_33A",NA,"A",NA,"2010-05-26","11:15","2010-05-27","11:30:00","10_33","2010-06-05",NA,"M"
"10_33LT",NA,"LT",NA,"2010-05-26","11:15","2010-05-27","11:30:00","10_33","2010-06-05",NA,NA
"10_33RT",NA,"RT",NA,"2010-05-27","11:30:00.00","2010-05-28","12:47:00","10_33","2010-06-02",NA,"M"
"10_33N",NA,"N",NA,"2010-05-27","11:30:00.00","2010-05-28","12:47:00","10_33","2010-06-02",NA,"M"
"L298562","10_75E01","L","L298562","2010-05-26","10:40","2010-05-27","10:40:00","10_75",NA,NA,"F"
"L298788",NA,"R","L298788","2010-05-27","10:40:00.00","2010-05-28","11:28:00","10_75",NA,NA,"F"
"L298789",NA,"B","L298789","2010-05-27","10:40:00.00","2010-05-28","11:28:00","10_75",NA,NA,"F"
"L298792",NA,"LR","L298792","2010-05-27","10:40:00.00","2010-05-28","11:28:00","10_75",NA,NA,"F"
"10_75LB",NA,"LB",NA,"2010-05-27","10:40:00.00","2010-05-28","11:28:00","10_75","2010-06-08",NA,"M"
"L298791",NA,"RB","L298791","2010-05-27","10:40:00.00","2010-05-28","11:28:00","10_75",NA,NA,NA
"L298790",NA,"A","L298790","2010-05-27","10:40:00.00","2010-05-28","11:28:00","10_75",NA,NA,NA
"10_75N","10_75E08","N",NA,"2010-05-28","11:28:00.00","2010-05-30","10:40:00","10_75","2010-06-02",NA,NA
"L298815",NA,"L","L298815","2010-05-27","13:10","2010-05-28","14:21:00","10_A4","2010-06-22",NA,"M"
"L298808",NA,"R","L298808","2010-05-27","13:10","2010-05-28","14:21:00","10_A4","2010-06-12",NA,NA
"L298813",NA,"B","L298813","2010-05-27","13:10","2010-05-28","14:21:00","10_A4","2010-06-12",NA,"M"
"L298812",NA,"LR","L298812","2010-05-27","13:10","2010-05-28","14:21:00","10_A4","2010-06-22",NA,"F"
"L298817",NA,"LB","L298817","2010-05-27","13:10","2010-05-28","14:21:00","10_A4","2010-06-12",NA,"F"
"L298814",NA,"RB","L298814","2010-05-27","13:10","2010-05-28","14:21:00","10_A4","2010-06-12",NA,"F"
"L298810",NA,"A","L298810","2010-05-27","13:10","2010-05-28","14:21:00","10_A4","2010-06-22",NA,"M"
"L298811",NA,"LT","L298811","2010-05-27","13:10","2010-05-28","14:21:00","10_A4","2010-06-12",NA,"F"
"L298816",NA,"RT","L298816","2010-05-27","13:10","2010-05-28","14:21:00","10_A4","2010-06-12",NA,"F"
"L298809","10_A4E12","N","L298809","2010-05-28","14:21:00.00","2010-05-29","13:48:00","10_A4","2010-06-12",NA,"M"
"10_A31L",NA,"L",NA,"2010-05-27","14:55","2010-05-28","15:28:00","10_A31","2010-05-29",NA,"F"
"10_A31R",NA,"R",NA,"2010-05-27","14:55","2010-05-28","15:28:00","10_A31","2010-05-31",NA,NA
