"bird_id","egg_id","clip_id","ring_no","min_hatch_date","min_hatch_time","max_hatch_date","max_hatch_time","nest_rear","max_death_date","max_death_time","sex"
"L970832",NA,"B","L970832","2013-06-02","7:30","2013-06-03","07:48:00.00","13_14","2013-06-28",NA,"M"
"L970829",NA,"LB","L970829","2013-06-02","7:30","2013-06-03","07:48:00.00","13_14","2013-06-28",NA,"F"
"L970830",NA,"RB","L970830","2013-06-02","7:30","2013-06-03","07:48:00.00","13_14","2013-06-18","07:43:00.00","F"
"L970827",NA,"LR","L970827","2013-06-02","7:30","2013-06-03","07:48:00.00","13_14","2013-06-18","07:43:00.00","F"
"L970831",NA,"A","L970831","2013-06-02","7:30","2013-06-03","07:48:00.00","13_14","2013-06-28",NA,"F"
"L970833",NA,"LT","L970833","2013-06-03","07:48:00.00","2013-06-04","08:04:00.00","13_14","2013-06-18","07:43:00.00","M"
"L970834",NA,"RT","L970834","2013-06-03","07:48:00.00","2013-06-04","08:04:00.00","13_14","2013-06-18","07:43:00.00","M"
"L970821",NA,"L","L970821","2013-06-02","7:29","2013-06-03","07:38:00.00","13_16",NA,NA,"M"
"L970823",NA,"R","L970823","2013-06-02","7:29","2013-06-03","07:38:00.00","13_16",NA,NA,"F"
"L970820",NA,"B","L970820","2013-06-02","7:29","2013-06-03","07:38:00.00","13_16",NA,NA,"F"
"L970824",NA,"LB","L970824","2013-06-02","7:29","2013-06-03","07:38:00.00","13_16",NA,NA,"F"
"L970822",NA,"RB","L970822","2013-06-02","7:29","2013-06-03","07:38:00.00","13_16",NA,NA,"F"
"L970819",NA,"LR","L970819","2013-06-02","7:29","2013-06-03","07:38:00.00","13_16",NA,NA,"F"
"L970825",NA,"A","L970825","2013-06-02","7:29","2013-06-03","07:38:00.00","13_16",NA,NA,"F"
"L970818",NA,"LT","L970818","2013-06-03","07:38:00.00","2013-06-04","08:12:00.00","13_16",NA,NA,"M"
"L970817",NA,"N","L970817","2013-06-03","07:38:00.00","2013-06-04","08:12:00.00","13_16",NA,NA,"M"
"L970837",NA,"L","L970837","2013-06-02","7:36","2013-06-03","08:03:00.00","13_26",NA,NA,"M"
"L970839",NA,"R","L970839","2013-06-02","7:36","2013-06-03","08:03:00.00","13_26","2013-06-28",NA,"M"
"L970835",NA,"B","L970835","2013-06-02","7:36","2013-06-03","08:03:00.00","13_26","2013-06-28",NA,"M"
"L970840",NA,"LB","L970840","2013-06-03","08:03:00.00","2013-06-04","08:18:00.00","13_26","2013-06-15","08:50:00.00","M"
"L970836",NA,"RB","L970836","2013-06-03","08:03:00.00","2013-06-04","08:18:00.00","13_26","2013-06-28",NA,"M"
"L970838",NA,"LR","L970838","2013-06-03","08:03:00.00","2013-06-04","08:18:00.00","13_26","2013-06-15","08:50:00.00","M"
"L970841",NA,"N","L970841","2013-06-03","08:03:00.00","2013-06-04","08:18:00.00","13_26","2013-06-28",NA,"M"
"L970842",NA,"L","L970842","2013-06-02","8:12","2013-06-03","08:55:00.00","13_125",NA,NA,"F"
"L970843",NA,"R","L970843","2013-06-02","8:12","2013-06-03","08:55:00.00","13_125",NA,NA,"F"
"L970844",NA,"B","L970844","2013-06-02","8:12","2013-06-03","08:55:00.00","13_125",NA,NA,"F"
"L970847",NA,"L","L970847","2013-06-02","8:33","2013-06-03","09:38:00.00","13_164","2013-06-28",NA,"M"
"L970845",NA,"R","L970845","2013-06-02","8:33","2013-06-03","09:38:00.00","13_164",NA,NA,"M"
"L970852",NA,"B","L970852","2013-06-02","8:33","2013-06-03","09:38:00.00","13_164","2013-06-28",NA,"F"
"L970849",NA,"LB","L970849","2013-06-02","8:33","2013-06-03","09:38:00.00","13_164","2013-06-28",NA,"M"
"L970854",NA,"RB","L970854","2013-06-02","8:33","2013-06-03","09:38:00.00","13_164",NA,NA,"M"
"L970848",NA,"LR","L970848","2013-06-02","8:33","2013-06-03","09:38:00.00","13_164",NA,NA,"F"
"L970846",NA,"A","L970846","2013-06-02","8:33","2013-06-03","09:38:00.00","13_164",NA,NA,"F"
"L970853",NA,"LT","L970853","2013-06-03","09:38:00.00","2013-06-04","10:17:00.00","13_164","2013-06-28",NA,"F"
"L970851",NA,"RT","L970851","2013-06-03","09:38:00.00","2013-06-04","10:17:00.00","13_164",NA,NA,"M"
"L970850",NA,"N","L970850","2013-06-03","09:38:00.00","2013-06-04","10:17:00.00","13_164",NA,NA,"F"
"L970857",NA,"L","L970857","2013-06-02","8:32","2013-06-03","09:30:00.00","13_167",NA,NA,"F"
"L970860",NA,"R","L970860","2013-06-02","8:32","2013-06-03","09:30:00.00","13_167",NA,NA,"M"
"L970855",NA,"B","L970855","2013-06-02","8:32","2013-06-03","09:30:00.00","13_167",NA,NA,"F"
"L970858",NA,"LB","L970858","2013-06-02","8:32","2013-06-03","09:30:00.00","13_167",NA,NA,"M"
"L970856",NA,"RB","L970856","2013-06-03","09:30:00.00","2013-06-04","10:26:00.00","13_167",NA,NA,"M"
"L970859",NA,"N","L970859","2013-06-04","10:26:00.00","2013-06-06","10:59:00.00","13_167",NA,NA,"F"
