"nestbox","lat","long","population","yr_setup"
"80",55.97322,-3.35719,"craigie_hill","2008-12"
"81",55.9736,-3.35701,"craigie_hill","2008-12"
"82",55.97345,-3.3565,"craigie_hill","2008-12"
"83",55.97348,-3.35601,"craigie_hill","2008-12"
"84",55.97344,-3.35536,"craigie_hill","2008-12"
"85",55.9731,-3.35445,"craigie_hill","2008-12"
"86",55.97345,-3.35455,"craigie_hill","2008-12"
"87",55.97376,-3.35537,"craigie_hill","2008-12"
"88",55.97383,-3.35583,"craigie_hill","2008-12"
"89",55.9739,-3.35635,"craigie_hill","2008-12"
"90",55.97395,-3.35697,"craigie_hill","2008-12"
"91",55.9744,-3.3569,"craigie_hill","2008-12"
"92",55.97433,-3.3564,"craigie_hill","2008-12"
"93",55.97414,-3.35586,"craigie_hill","2008-12"
"94",55.97408,-3.35525,"craigie_hill","2008-12"
"95",55.97385,-3.35459,"craigie_hill","2008-12"
"96",55.97421,-3.35442,"craigie_hill","2008-12"
"97",55.97434,-3.35514,"craigie_hill","2008-12"
"98",55.97454,-3.35568,"craigie_hill","2008-12"
"99",55.97462,-3.35632,"craigie_hill","2008-12"
"100",55.97475,-3.35672,"craigie_hill","2008-12"
"101",55.97488,-3.35737,"craigie_hill","2008-12"
"102",55.97494,-3.35794,"craigie_hill","2008-12"
"103",55.97496,-3.35867,"craigie_hill","2008-12"
"104",55.97423,-3.36006,"craigie_hill","2008-12"
"105",55.97453,-3.35935,"craigie_hill","2008-12"
"106",55.97457,-3.35829,"craigie_hill","2008-12"
"107",55.9745,-3.35743,"craigie_hill","2008-12"
"108",55.97524,-3.35806,"craigie_hill","2008-12"
"109",55.97561,-3.35751,"craigie_hill","2008-12"
"110",55.97535,-3.35741,"craigie_hill","2008-12"
"111",55.97525,-3.35702,"craigie_hill","2008-12"
"112",55.97501,-3.35619,"craigie_hill","2008-12"
"113",55.97505,-3.35524,"craigie_hill","2008-12"
"114",55.97493,-3.35472,"craigie_hill","2008-12"
"115",55.97474,-3.3542,"craigie_hill","2008-12"
"116",55.97504,-3.35395,"craigie_hill","2008-12"
"117",55.97523,-3.35443,"craigie_hill","2008-12"
"118",55.97538,-3.3549,"craigie_hill","2008-12"
"119",55.97549,-3.35551,"craigie_hill","2008-12"
"120",55.97564,-3.35601,"craigie_hill","2008-12"
"121",55.97562,-3.35659,"craigie_hill","2008-12"
"122",55.97588,-3.35696,"craigie_hill","2008-12"
"123",55.97615,-3.35657,"craigie_hill","2008-12"
"124",55.97591,-3.35607,"craigie_hill","2008-12"
"125",55.97589,-3.35555,"craigie_hill","2008-12"
"126",55.97588,-3.355,"craigie_hill","2008-12"
"127",55.97567,-3.35436,"craigie_hill","2008-12"
"128",55.97535,-3.35356,"craigie_hill","2008-12"
