YEAR,BOXR,BOXOR,FID,GS,PAIR ID,RING,EXP,EPP,SEX,MASS11,MASS12,MASS14,RTARS14,PHA
2009,FKIII2,BJ4B,1EP46046,-0.048447184,90015,1EP47680,control nest,0,M,11.6,11.1,12,16.8,4.6333333
2009,BJ4B,BJ4B,1EP46046,-0.048447184,90015,1EP47666,experimental nests,0,F,6.1,6.8,6.8,15.8,4.8333333
2009,BJ4B,BJ4B,1EP46046,-0.048447184,90015,1EP47669,experimental nests,0,F,10.3,10.4,10.2,15.8,4.8333333
2009,FKIII2,BJ4B,1EP46046,-0.048447184,90015,1EP47673,control nest,0,F,10.4,10.6,10.8,17,5.8
2009,FKIII2,BJ4B,1EP46046,-0.048447184,90015,1EP47677,control nest,0,M,11.4,12,12.6,16.4,5.8333333
2009,FKIII2,BJ4B,1EP46046,-0.048447184,90015,1EP47675,control nest,0,M,11.3,11.6,11.6,16.9,6.3333333
2010,BO6,BJ5B,1EP46435,-0.143953366,100009,1EP48048,control nest,0,F,11.5,11,11.6,15.9,3.6333333
2010,BJ5B,BJ5B,1EP46435,-0.143953366,100009,1EP48040,experimental nests,0,M,10.8,11,11,16.3,4.2
2010,BJ5B,BJ5B,1EP46435,-0.143953366,100009,1EP48032,experimental nests,0,F,10.2,11.2,11.8,16.1,5.4333333
2010,BO6,BJ5B,1EP46435,-0.143953366,100009,1EP48044,control nest,0,M,12.2,12.1,12.6,16.7,5.4666667
2010,BJ5B,BJ5B,1EP46435,-0.143953366,100009,1EP48042,experimental nests,0,M,11.4,11.8,12,16.3,5.4666667
2010,BO6,BJ5B,1EP46435,-0.143953366,100009,1EP48045,control nest,0,M,12,11.9,12.5,16.6,6.0333333
2010,BJ5B,BJ5B,1EP46435,-0.143953366,100009,1EP48039,experimental nests,0,F,NA,10.6,10.9,16,6.8666667
2010,BO6,BJ5B,1EP46435,-0.143953366,100009,1EP48047,control nest,0,M,12.1,12,12.2,16.7,8.3333333
2010,BJ5B,BJ5B,1EP46435,-0.143953366,100009,1EP48035,experimental nests,1,M,10.3,10.6,11,16.7,6.8666667
2010,BJ5B,BJ5B,1EP46435,-0.143953366,100009,1EP48041,experimental nests,1,M,10.3,10.9,11.7,15.7,9.1333333
2010,OJ133,BJ6,NA,NA,100016,1ER02324,control nest,NA,NA,12.4,12.9,12.4,16.5,2.5
2010,BJ6,BJ6,NA,NA,100016,1ER02311,experimental nests,NA,NA,10.1,10,10.6,15.6,3.1333333
