LOCATION,DATE,SPECIES,RING,AGE,SEX,TARS
CAN CALOPA,4/10/96,Erithacus rubecula,L092500,3,,24.54
CAN CALOPA,4/11/96,Erithacus rubecula,L103295,3,,24.54
CAN CALOPA,9/10/96,Erithacus rubecula,L092625,3,,24.55
CAN CALOPA,18/10/96,Erithacus rubecula,L103008,3,,24.55
CAN CALOPA,29/10/96,Erithacus rubecula,L103233,3,,24.55
CAN CALOPA,1/10/96,Erithacus rubecula,L092449,3,,24.57
CAN CALOPA,16/10/96,Erithacus rubecula,L092647,3,,24.58
CAN CALOPA,19/10/96,Erithacus rubecula,L103063,3,,24.61
CAN CALOPA,29/10/96,Erithacus rubecula,L103241,3,,24.61
CAN CALOPA,19/10/96,Erithacus rubecula,L103070,3,,24.63
CAN CALOPA,4/11/96,Erithacus rubecula,L103292,3,,24.63
CAN CALOPA,19/10/96,Erithacus rubecula,L103041,3,,24.64
CAN CALOPA,4/10/96,Erithacus rubecula,L092496,3,,24.65
CAN CALOPA,25/10/96,Erithacus rubecula,L103171,3,,24.67
CAN CALOPA,10/11/96,Erithacus rubecula,L103323,3,,24.67
CAN CALOPA,1/10/96,Erithacus rubecula,L092428,3,,24.68
CAN CALOPA,25/10/96,Erithacus rubecula,L103175,3,,24.69
CAN CALOPA,9/10/96,Erithacus rubecula,L092627,3,,24.7
CAN CALOPA,18/10/96,Erithacus rubecula,L092692,3,,24.7
CAN CALOPA,8/10/96,Erithacus rubecula,L092575,3,,24.72
CAN CALOPA,25/10/96,Erithacus rubecula,L103179,3,,24.72
CAN CALOPA,30/10/96,Erithacus rubecula,L103270,3,,24.72
CAN CALOPA,1/10/96,Erithacus rubecula,L092440,3,,24.73
CAN CALOPA,25/10/96,Erithacus rubecula,L103153,3,,24.74
CAN CALOPA,18/10/96,Erithacus rubecula,L092700,3,,24.75
CAN CALOPA,29/10/96,Erithacus rubecula,L103220,3,,24.75
CAN CALOPA,4/11/96,Erithacus rubecula,L103284,3,,24.75
CAN CALOPA,19/10/96,Erithacus rubecula,L103081,3,,24.77
CAN CALOPA,26/10/96,Erithacus rubecula,L103189,3,,24.77
CAN CALOPA,19/10/96,Erithacus rubecula,L103057,3,,24.79
CAN CALOPA,26/10/96,Erithacus rubecula,L103202,3,,24.79
CAN CALOPA,31/10/96,Erithacus rubecula,L103279,3,,24.79
CAN CALOPA,18/10/96,Erithacus rubecula,L103018,3,,24.8
CAN CALOPA,19/10/96,Erithacus rubecula,L103043,3,,24.8
CAN CALOPA,19/10/96,Erithacus rubecula,L103055,3,,24.8
CAN CALOPA,29/10/96,Erithacus rubecula,L103248,3,,24.8
CAN CALOPA,20/10/96,Erithacus rubecula,L103100,3,,24.85
CAN CALOPA,20/10/96,Erithacus rubecula,L103104,3,,24.85
CAN CALOPA,5/10/96,Erithacus rubecula,L092512,3,,24.86
CAN CALOPA,9/10/96,Erithacus rubecula,L092629,3,,24.86
CAN CALOPA,18/10/96,Erithacus rubecula,L092686,3,,24.88
CAN CALOPA,18/10/96,Erithacus rubecula,L103019,3,,24.88
CAN CALOPA,19/10/96,Erithacus rubecula,L103044,3,,24.88
CAN CALOPA,9/10/96,Erithacus rubecula,L092626,3,,24.89
CAN CALOPA,18/10/96,Erithacus rubecula,L092685,3,,24.89
CAN CALOPA,20/10/96,Erithacus rubecula,L103106,3,,24.9
CAN CALOPA,23/10/96,Erithacus rubecula,L103119,3,,24.91
CAN CALOPA,26/10/96,Erithacus rubecula,L103203,3,,24.91
CAN CALOPA,23/10/96,Erithacus rubecula,L103149,3,,24.92
CAN CALOPA,31/10/96,Erithacus rubecula,L103281,3,,24.92
CAN CALOPA,8/11/96,Erithacus rubecula,L103305,3,,24.93
CAN CALOPA,16/10/96,Erithacus rubecula,L092679,3,,24.94
CAN CALOPA,1/10/96,Erithacus rubecula,L092437,3,,24.95
CAN CALOPA,19/10/96,Erithacus rubecula,L103050,3,,24.95
CAN CALOPA,29/10/96,Erithacus rubecula,L103221,3,,24.95
CAN CALOPA,8/10/96,Erithacus rubecula,L092582,3,,24.96
CAN CALOPA,9/10/96,Erithacus rubecula,L092645,3,,24.96
CAN CALOPA,30/10/96,Erithacus rubecula,L103253,3,,24.96
CAN CALOPA,26/9/96,Erithacus rubecula,L092412,3,,24.99
CAN CALOPA,29/10/96,Erithacus rubecula,L103236,3,,24.99
CAN CALOPA,20/10/96,Erithacus rubecula,L103097,3,,25.01
CAN CALOPA,4/10/96,Erithacus rubecula,L092478,3,,25.03
CAN CALOPA,16/10/96,Erithacus rubecula,L092669,3,,25.03
CAN CALOPA,23/10/96,Erithacus rubecula,L103116,3,,25.03
CAN CALOPA,20/10/96,Erithacus rubecula,L103103,3,,25.05
CAN CALOPA,29/10/96,Erithacus rubecula,L103234,3,,25.05
CAN CALOPA,16/10/96,Erithacus rubecula,L092666,3,,25.09
CAN CALOPA,8/11/96,Erithacus rubecula,L103303,3,,25.09
CAN CALOPA,30/10/96,Erithacus rubecula,L103257,3,,25.1
CAN CALOPA,20/10/96,Erithacus rubecula,L103108,3,,25.11
CAN CALOPA,29/10/96,Erithacus rubecula,L103242,3,,25.11
CAN CALOPA,18/10/96,Erithacus rubecula,L092693,3,,25.13
CAN CALOPA,25/10/96,Erithacus rubecula,L103164,3,,25.13
CAN CALOPA,23/10/96,Erithacus rubecula,L103114,3,,25.14
CAN CALOPA,8/10/96,Erithacus rubecula,L092579,3,,25.15
CAN CALOPA,18/10/96,Erithacus rubecula,L092695,3,,25.15
CAN CALOPA,31/10/96,Erithacus rubecula,L103273,3,,25.15
CAN CALOPA,5/10/96,Erithacus rubecula,L092514,3,,25.17
CAN CALOPA,10/11/96,Erithacus rubecula,L103332,3,,25.17
CAN CALOPA,26/10/96,Erithacus rubecula,L103186,3,,25.22
CAN CALOPA,3/10/96,Erithacus rubecula,L092461,3,,25.24
CAN CALOPA,23/10/96,Erithacus rubecula,L103131,3,,25.24
CAN CALOPA,10/11/96,Erithacus rubecula,L103327,3,,25.25
CAN CALOPA,26/10/96,Erithacus rubecula,L103211,3,,25.26
CAN CALOPA,9/10/96,Erithacus rubecula,L092643,3,,25.27
CAN CALOPA,26/10/96,Erithacus rubecula,L103194,3,,25.27
CAN CALOPA,19/10/96,Erithacus rubecula,L103045,3,,25.28
CAN CALOPA,26/10/96,Erithacus rubecula,L103214,3,,25.28
CAN CALOPA,19/10/96,Erithacus rubecula,L103062,3,,25.29
CAN CALOPA,8/11/96,Erithacus rubecula,L103313,3,,25.29
CAN CALOPA,31/10/96,Erithacus rubecula,L103277,3,,25.3
CAN CALOPA,8/10/96,Erithacus rubecula,L092572,3,,25.31
CAN CALOPA,18/10/96,Erithacus rubecula,L103003,3,,25.31
CAN CALOPA,19/10/96,Erithacus rubecula,L103047,3,,25.31
CAN CALOPA,19/10/96,Erithacus rubecula,L103048,3,,25.33
CAN CALOPA,8/11/96,Erithacus rubecula,L103300,3,,25.33
CAN CALOPA,5/10/96,Erithacus rubecula,L092506,3,,25.34
CAN CALOPA,25/10/96,Erithacus rubecula,L103163,3,,25.34
CAN CALOPA,26/10/96,Erithacus rubecula,L103190,3,,25.34
CAN CALOPA,29/10/96,Erithacus rubecula,L103250,3,,25.34
CAN CALOPA,8/10/96,Erithacus rubecula,L092620,3,,25.35
CAN CALOPA,20/10/96,Erithacus rubecula,L103095,3,,25.35
CAN CALOPA,19/10/96,Erithacus rubecula,L103075,3,,25.36
CAN CALOPA,8/10/96,Erithacus rubecula,L092589,3,,25.37
CAN CALOPA,20/10/96,Erithacus rubecula,L103085,3,,25.37
CAN CALOPA,26/12/96,Erithacus rubecula,L103341,3,,25.38
CAN CALOPA,20/10/96,Erithacus rubecula,L103113,3,,25.4
CAN CALOPA,29/10/96,Erithacus rubecula,L103243,3,,25.4
CAN CALOPA,23/10/96,Erithacus rubecula,L103142,3,,25.41
CAN CALOPA,1/10/96,Erithacus rubecula,L092438,3,,25.42
CAN CALOPA,18/10/96,Erithacus rubecula,L103010,3,,25.42
CAN CALOPA,18/10/96,Erithacus rubecula,L103015,3,,25.42
CAN CALOPA,20/10/96,Erithacus rubecula,L103084,3,,25.42
CAN CALOPA,25/10/96,Erithacus rubecula,L103165,3,,25.42
CAN CALOPA,16/10/96,Erithacus rubecula,L092673,3,,25.43
CAN CALOPA,20/10/96,Erithacus rubecula,L103089,3,,25.44
CAN CALOPA,10/11/96,Erithacus rubecula,L103321,3,,25.46
CAN CALOPA,16/10/96,Erithacus rubecula,L092668,3,,25.47
CAN CALOPA,16/10/96,Erithacus rubecula,L092678,3,,25.49
CAN CALOPA,8/10/96,Erithacus rubecula,L092576,3,,25.5
CAN CALOPA,20/10/96,Erithacus rubecula,L103093,3,,25.5
CAN CALOPA,29/10/96,Erithacus rubecula,L103222,3,,25.52
CAN CALOPA,30/10/96,Erithacus rubecula,L103251,3,,25.52
CAN CALOPA,30/10/96,Erithacus rubecula,L103255,3,,25.54
CAN CALOPA,29/10/96,Erithacus rubecula,L103245,3,,25.57
CAN CALOPA,26/10/96,Erithacus rubecula,L103187,3,,25.59
CAN CALOPA,1/10/96,Erithacus rubecula,L092439,3,,25.6
CAN CALOPA,8/10/96,Erithacus rubecula,L092584,3,,25.6
CAN CALOPA,8/10/96,Erithacus rubecula,L092588,3,,25.6
CAN CALOPA,18/10/96,Erithacus rubecula,L103001,3,,25.6
CAN CALOPA,20/10/96,Erithacus rubecula,L103096,3,,25.6
CAN CALOPA,3/10/96,Erithacus rubecula,L092460,3,,25.64
CAN CALOPA,18/10/96,Erithacus rubecula,L103013,3,,25.65
CAN CALOPA,30/10/96,Erithacus rubecula,L103252,3,,25.65
CAN CALOPA,5/10/96,Erithacus rubecula,L092518,3,,25.66
CAN CALOPA,4/11/96,Erithacus rubecula,L103286,3,,25.66
CAN CALOPA,29/10/96,Erithacus rubecula,L103247,3,,25.69
CAN CALOPA,30/10/96,Erithacus rubecula,L103254,3,,25.69
CAN CALOPA,30/10/96,Erithacus rubecula,L103265,3,,25.69
CAN CALOPA,25/10/96,Erithacus rubecula,L103152,3,,25.73
CAN CALOPA,31/10/96,Erithacus rubecula,L103274,3,,25.73
CAN CALOPA,26/10/96,Erithacus rubecula,L103185,3,,25.74
CAN CALOPA,26/10/96,Erithacus rubecula,L103204,3,,25.74
CAN CALOPA,29/10/96,Erithacus rubecula,L103249,3,,25.74
CAN CALOPA,19/10/96,Erithacus rubecula,L103077,3,,25.76
CAN CALOPA,20/10/96,Erithacus rubecula,L103111,3,,25.76
CAN CALOPA,8/10/96,Erithacus rubecula,L092614,3,,25.77
CAN CALOPA,16/10/96,Erithacus rubecula,L092658,3,,25.77
CAN CALOPA,30/10/96,Erithacus rubecula,L103267,3,,25.77
CAN CALOPA,18/10/96,Erithacus rubecula,L092684,3,,25.78
CAN CALOPA,23/10/96,Erithacus rubecula,L103120,3,,25.78
CAN CALOPA,8/10/96,Erithacus rubecula,L092622,3,,25.81
CAN CALOPA,19/10/96,Erithacus rubecula,L103056,3,,25.81
CAN CALOPA,26/10/96,Erithacus rubecula,L103198,3,,25.81
CAN CALOPA,20/10/96,Erithacus rubecula,L103091,3,,25.82
CAN CALOPA,26/10/96,Erithacus rubecula,L103184,3,,25.82
CAN CALOPA,5/10/96,Erithacus rubecula,L092516,3,,25.83
CAN CALOPA,16/10/96,Erithacus rubecula,L092680,3,,25.83
CAN CALOPA,20/10/96,Erithacus rubecula,L103098,3,,25.83
CAN CALOPA,8/11/96,Erithacus rubecula,L103306,3,,25.86
CAN CALOPA,10/11/96,Erithacus rubecula,L103322,3,,25.86
CAN CALOPA,29/10/96,Erithacus rubecula,L103235,3,,25.89
CAN CALOPA,4/11/96,Erithacus rubecula,L103283,3,,25.89
CAN CALOPA,8/11/96,Erithacus rubecula,L103307,3,,25.91
CAN CALOPA,26/10/96,Erithacus rubecula,L103200,3,,25.95
CAN CALOPA,30/10/96,Erithacus rubecula,L103268,3,,25.95
CAN CALOPA,4/11/96,Erithacus rubecula,L103294,3,,25.95
CAN CALOPA,19/10/96,Erithacus rubecula,L103058,3,,25.96
CAN CALOPA,30/10/96,Erithacus rubecula,L103266,3,,25.96
CAN CALOPA,16/10/96,Erithacus rubecula,L092655,3,,25.98
CAN CALOPA,29/10/96,Erithacus rubecula,L103227,3,,25.98
CAN CALOPA,19/10/96,Erithacus rubecula,L103040,3,,26.01
CAN CALOPA,8/10/96,Erithacus rubecula,L092600,3,,26.02
CAN CALOPA,9/10/96,Erithacus rubecula,L092634,3,,26.05
