"RearingBrood","ChickID","NatalBrood","CrossFosteredYN","AvgOfMass","AvgOfTarsus","AvgOfAge","nMeasures","dam","sire","NbRinged","MeanA","MeanAdev","MeanAsim","MeanTotalProRate","MeanS","MeanSdev","MeanSsim","SocialMumID","SocialDadID","PairID","BreedingYear","HatchingDayAfter0401","PairBroodNb","NbHatched","XPriorResidence","GenPairID","ResMassTarsus_perChick","MeanLogAdev","MeanLogSdev","MeanLogAdevAgeCat6","MeanLogSdevAgeCat6","MeanLogAdevAgeCat10","MeanLogSdevAgeCat10","MeanTotalProRateAgeCat6","MeanTotalProRateAgeCat10"
51,2166,53,1,16.8999996185303,15.6999998092651,12,1,353,725,3,19,-3.1,22.1,28.0130293159609,10,-4.68,14.68,903,354,"354903",2005,43,4,3,FALSE,"725353",-0.369599308634374,-0.147535440708539,-0.368603514804006,-0.147535440708539,-0.368603514804006,NA,NA,28.0130293159609,NA
52,2167,53,1,19.2000007629395,16.7000007629395,12,1,353,114,2,14.3333333333333,1.18666666666667,13.1466666666667,14.380355315094,5.33333333333333,0.043333333333333,5.29,309,993,"993309",2005,43,1,3,FALSE,"114353",-0.388062988573864,0.0949379492876943,-0.035269471778596,0.131520024156761,-0.0889336032222871,0.0217737995495608,0.0720587911087864,11.6367581382039,19.8675496688742
52,2168,53,1,13.3999996185303,15,12,1,353,725,2,14.3333333333333,1.18666666666667,13.1466666666667,14.380355315094,5.33333333333333,0.043333333333333,5.29,309,993,"993309",2005,43,1,3,FALSE,"725353",-2.24667592154293,0.0949379492876943,-0.035269471778596,0.131520024156761,-0.0889336032222871,0.0217737995495608,0.0720587911087864,11.6367581382039,19.8675496688742
53,2162,52,1,22.3999996185303,17.7999992370605,12,1,309,993,3,10.6666666666667,0.826666666666666,9.84,13.1397103917695,4,0.196666666666667,3.80333333333333,353,725,"725353",2005,43,4,4,TRUE,"993309",0.261630530091071,0.0547092168704927,0.0429357385354787,-0.0818871594721843,0,0.123007405041831,0.064403607803218,9.18727898682361,15.1159260942425
53,2163,52,1,12,15,12,1,309,993,3,10.6666666666667,0.826666666666666,9.84,13.1397103917695,4,0.196666666666667,3.80333333333333,353,725,"725353",2005,43,4,4,TRUE,"993309",-3.64667554007323,0.0547092168704927,0.0429357385354787,-0.0818871594721843,0,0.123007405041831,0.064403607803218,9.18727898682361,15.1159260942425
53,2164,52,1,18.3999996185303,16.2999992370605,12,1,309,993,3,10.6666666666667,0.826666666666666,9.84,13.1397103917695,4,0.196666666666667,3.80333333333333,353,725,"725353",2005,43,4,4,TRUE,"993309",-0.260675549973554,0.0547092168704927,0.0429357385354787,-0.0818871594721843,0,0.123007405041831,0.064403607803218,9.18727898682361,15.1159260942425
55,2185,57,1,17.7999992370605,16.6000003814697,12,1,960,650,3,20,3.61,16.39,20.7967771810664,11,3.125,7.875,76,287,"28776",2005,44,3,5,TRUE,"650960",-1.55621736870037,0.197908671718285,0.319051944585699,0.253074217560398,0.329967125023796,0.142743125876172,0.308136764147602,18.8764051416429,22.71714922049
55,2187,57,1,17.7000007629395,16.3999996185303,12,1,960,650,3,20,3.61,16.39,20.7967771810664,11,3.125,7.875,76,287,"28776",2005,44,3,5,TRUE,"650960",-1.19252155131684,0.197908671718285,0.319051944585699,0.253074217560398,0.329967125023796,0.142743125876172,0.308136764147602,18.8764051416429,22.71714922049
55,2188,57,1,13.6000003814697,16,12,1,960,650,3,20,3.61,16.39,20.7967771810664,11,3.125,7.875,76,287,"28776",2005,44,3,5,TRUE,"650960",-4.36513777189378,0.197908671718285,0.319051944585699,0.253074217560398,0.329967125023796,0.142743125876172,0.308136764147602,18.8764051416429,22.71714922049
56,2170,54,1,26.5,18.2000007629395,13,1,985,1500,1,13.5,2.41,11.09,17.2230704728751,5,0.00999999999999979,4.99,988,145,"145988",2005,44,6,2,TRUE,"1500985",3.43424232855126,0.114773494174708,-0.139891266013256,0.229546988349417,0.0708743395866571,0,-0.350656871613169,18.5840714238284,15.8620695219218
57,2175,55,1,18.5,16.5,12,1,76,287,4,22.5,4.71,17.79,20.7988111772451,11.5,2.165,9.335,960,650,"650960",2005,44,5,5,TRUE,"28776",-0.624369460008608,0.225891777227074,0.184287618268767,0.225891777227074,0.184287618268767,NA,NA,20.7988111772451,NA
57,2176,55,1,15,16,12,1,76,287,4,22.5,4.71,17.79,20.7988111772451,11.5,2.165,9.335,960,650,"650960",2005,44,5,5,TRUE,"28776",-2.96513815336348,0.225891777227074,0.184287618268767,0.225891777227074,0.184287618268767,NA,NA,20.7988111772451,NA
57,2177,55,1,12,15,12,1,76,287,4,22.5,4.71,17.79,20.7988111772451,11.5,2.165,9.335,960,650,"650960",2005,44,5,5,TRUE,"28776",-3.64667554007323,0.225891777227074,0.184287618268767,0.225891777227074,0.184287618268767,NA,NA,20.7988111772451,NA
57,2178,55,1,7.19999980926514,12.3000001907349,12,1,76,287,4,22.5,4.71,17.79,20.7988111772451,11.5,2.165,9.335,960,650,"650960",2005,44,5,5,TRUE,"28776",-2.18682711713615,0.225891777227074,0.184287618268767,0.225891777227074,0.184287618268767,NA,NA,20.7988111772451,NA
58,2172,54,1,17.3999996185303,16.5,12,1,985,409,2,18.5,1.7,16.8,20.2512247298696,8,-0.515000000000001,8.515,4273,4153,"41534273",2005,44,7,5,TRUE,"409985",-1.72436984147831,0.0998387458005898,-0.039760930998901,0.156820908383137,0.0312525435041045,0.0428565832180425,-0.110774405501906,15.5844158417741,24.9180336179651
58,2173,54,1,21.7999992370605,16.7000007629395,12,1,985,409,2,18.5,1.7,16.8,20.2512247298696,8,-0.515000000000001,8.515,4273,4153,"41534273",2005,44,7,5,TRUE,"409985",2.21193548554714,0.0998387458005898,-0.039760930998901,0.156820908383137,0.0312525435041045,0.0428565832180425,-0.110774405501906,15.5844158417741,24.9180336179651
59,2190,58,1,22,17.7999992370605,12,1,4273,4153,2,18,0.969999999999999,17.03,19.088523762021,8.5,0.24,8.26,540,1053,"1053540",2005,44,1,5,TRUE,"41534273",-0.138369088439228,0.0525308296104796,-0.00442915397234769,0.0900930435270379,-0.157660994972003,0.0149686156939214,0.148802687027308,16.9381101879369,21.2389373361052
59,2191,58,1,14,15.5,12,1,4273,4153,2,18,0.969999999999999,17.03,19.088523762021,8.5,0.24,8.26,540,1053,"1053540",2005,44,1,5,TRUE,"41534273",-2.80590684671836,0.0525308296104796,-0.00442915397234769,0.0900930435270379,-0.157660994972003,0.0149686156939214,0.148802687027308,16.9381101879369,21.2389373361052
60,2205,61,1,25.7000007629395,17.5,12,1,346,1956,3,20.5,1.24,19.26,20.9545300962148,8,-0.984999999999999,8.985,646,500,"500646",2005,44,4,4,TRUE,"1956346",4.25716868964064,0.0678692215722779,-0.103062442599721,0.116837536835355,-0.0892311337279426,0.0189009063092004,-0.116893751471499,15.4189944134078,26.4900657790217
60,2206,61,1,27,19.5,12,1,346,1956,3,20.5,1.24,19.26,20.9545300962148,8,-0.984999999999999,8.985,646,500,"500646",2005,44,4,4,TRUE,"1956346",0.920242700120642,0.0678692215722779,-0.103062442599721,0.116837536835355,-0.0892311337279426,0.0189009063092004,-0.116893751471499,15.4189944134078,26.4900657790217
60,2207,61,1,26,18,12,1,346,1956,3,20.5,1.24,19.26,20.9545300962148,8,-0.984999999999999,8.985,646,500,"500646",2005,44,4,4,TRUE,"1956346",3.39793662005602,0.0678692215722779,-0.103062442599721,0.116837536835355,-0.0892311337279426,0.0189009063092004,-0.116893751471499,15.4189944134078,26.4900657790217
61,2200,60,1,28,19,12,1,646,500,3,16,2.24,13.76,16.3013462411291,6.5,1.265,5.235,346,1956,"1956346",2005,44,1,4,TRUE,"500646",3.07947400676577,0.14477955089343,0.197178896296495,0.121985401627462,0.239950669630591,0.167573700159399,0.154407122962399,17.1821311848305,15.4205612974278
61,2201,60,1,27.5,18,12,1,646,500,3,16,2.24,13.76,16.3013462411291,6.5,1.265,5.235,346,1956,"1956346",2005,44,1,4,TRUE,"500646",4.89793662005602,0.14477955089343,0.197178896296495,0.121985401627462,0.239950669630591,0.167573700159399,0.154407122962399,17.1821311848305,15.4205612974278
61,2202,60,1,24.1000003814697,18.1000003814697,12,1,646,500,3,16,2.24,13.76,16.3013462411291,6.5,1.265,5.235,346,1956,"1956346",2005,44,1,4,TRUE,"500646",1.26608985577345,0.14477955089343,0.197178896296495,0.121985401627462,0.239950669630591,0.167573700159399,0.154407122962399,17.1821311848305,15.4205612974278
62,2215,63,1,20.2000007629395,16,12,1,592,418,3,15.5,-1.29,16.79,19.7660731580237,6,-0.6,6.6,45,166,"16645",2005,44,8,5,TRUE,"418592",2.23486260957602,-0.0818315904981008,-0.0994909988435309,-0.0818315904981008,-0.0994909988435309,NA,NA,19.7660731580237,NA
62,2216,63,1,23.2999992370605,17.1000003814697,12,1,592,418,3,15.5,-1.29,16.79,19.7660731580237,6,-0.6,6.6,45,166,"16645",2005,44,8,5,TRUE,"418592",2.7845513246545,-0.0818315904981008,-0.0994909988435309,-0.0818315904981008,-0.0994909988435309,NA,NA,19.7660731580237,NA
62,2217,63,1,18.5,16.5,12,1,592,418,3,15.5,-1.29,16.79,19.7660731580237,6,-0.6,6.6,45,166,"16645",2005,44,8,5,TRUE,"418592",-0.624369460008608,-0.0818315904981008,-0.0994909988435309,-0.0818315904981008,-0.0994909988435309,NA,NA,19.7660731580237,NA
63,2210,62,1,16.5,15,12,1,45,166,1,7,1.22,5.78,10.8858061176184,2,0.02,1.98,592,418,"418592",2005,44,5,4,TRUE,"16645",0.853324459926767,0.177533040062157,0.00803217169726425,NA,NA,0.177533040062157,0.00803217169726425,NA,10.8858061176184
66,2263,73,1,14.5,15.3999996185303,11,1,419,765,2,18,1.62,16.38,19.4799003940281,7.5,-0.085,7.585,4391,4265,"42654391",2005,46,1,5,TRUE,"765419",-2.0740597009661,0.0775006636197438,-0.202319544017576,0.0308716636670871,-0.528272537369711,0.124129663572401,0.123633449334559,14.3478265628923,24.6119742251639
66,2264,73,1,12.5,15.6000003814697,11,1,419,537,2,18,1.62,16.38,19.4799003940281,7.5,-0.085,7.585,4391,4265,"42654391",2005,46,1,5,TRUE,"537419",-4.53775399247062,0.0775006636197438,-0.202319544017576,0.0308716636670871,-0.528272537369711,0.124129663572401,0.123633449334559,14.3478265628923,24.6119742251639
68,2254,71,1,20,16.3999996185303,12,1,605,1227,3,16,-1.11,17.11,22.5368134016049,11,0.955,10.045,556,23,"23556",2005,47,5,5,FALSE,"1227605",1.10747768574366,-0.064099278673336,0.0830378617938207,-0.0192082736382671,0.18681162206682,-0.108990283708405,-0.0207358984791783,22.5321895789998,22.54143722421
68,2255,71,1,18,16,12,1,605,1227,3,16,-1.11,17.11,22.5368134016049,11,0.955,10.045,556,23,"23556",2005,47,5,5,FALSE,"1227605",0.0348618466365168,-0.064099278673336,0.0830378617938207,-0.0192082736382671,0.18681162206682,-0.108990283708405,-0.0207358984791783,22.5321895789998,22.54143722421
68,2257,71,1,16.1000003814697,15,12,1,605,1227,3,16,-1.11,17.11,22.5368134016049,11,0.955,10.045,556,23,"23556",2005,47,5,5,FALSE,"1227605",0.453324841396469,-0.064099278673336,0.0830378617938207,-0.0192082736382671,0.18681162206682,-0.108990283708405,-0.0207358984791783,22.5321895789998,22.54143722421
70,2236,67,1,21.2000007629395,18,12,1,892,4435,3,12,1.16,10.84,23.5862738881184,6.5,1.325,5.175,1446,4423,"44231446",2005,47,1,4,FALSE,"4435892",-1.40206261700448,0.0824471283048681,0.163904525945406,0.114410351177744,0.325584356868701,0.0504839054319921,0.00222469502211111,19.5227772188589,27.6497705573779
70,2237,67,1,18.6000003814697,17.2000007629395,12,1,892,4435,3,12,1.16,10.84,23.5862738881184,6.5,1.325,5.175,1446,4423,"44231446",2005,47,1,4,FALSE,"4435892",-2.14729467668879,0.0824471283048681,0.163904525945406,0.114410351177744,0.325584356868701,0.0504839054319921,0.00222469502211111,19.5227772188589,27.6497705573779
70,2238,67,1,6.19999980926514,10.1999998092651,12,1,892,4435,3,12,1.16,10.84,23.5862738881184,6.5,1.325,5.175,1446,4423,"44231446",2005,47,1,4,FALSE,"4435892",1.68194525519684,0.0824471283048681,0.163904525945406,0.114410351177744,0.325584356868701,0.0504839054319921,0.00222469502211111,19.5227772188589,27.6497705573779
71,2241,68,1,19.5,16.8999996185303,12,1,556,1833,4,17,1.05,15.95,23.1231887194821,11,2.545,8.455,605,1227,"1227605",2005,47,1,5,TRUE,"1833556",-0.551753620901466,0.0154678897209398,0.225135342899842,-0.161823035245614,0.10144661633669,0.192758814687493,0.348824069462993,18.9130441056308,27.3333333333333
71,2242,68,1,21.2000007629395,17.2999992370605,12,1,556,251,4,17,1.05,15.95,23.1231887194821,11,2.545,8.455,605,1227,"1227605",2005,47,1,5,TRUE,"251556",0.220862981145397,0.0154678897209398,0.225135342899842,-0.161823035245614,0.10144661633669,0.192758814687493,0.348824069462993,18.9130441056308,27.3333333333333
71,2243,68,1,9,11.8000001907349,12,1,556,23,4,17,1.05,15.95,23.1231887194821,11,2.545,8.455,605,1227,"1227605",2005,47,1,5,TRUE,"23556",0.772404380243831,0.0154678897209398,0.225135342899842,-0.161823035245614,0.10144661633669,0.192758814687493,0.348824069462993,18.9130441056308,27.3333333333333
71,2244,68,1,17,15.5,12,1,556,23,4,17,1.05,15.95,23.1231887194821,11,2.545,8.455,605,1227,"1227605",2005,47,1,5,TRUE,"23556",0.194093153281642,0.0154678897209398,0.225135342899842,-0.161823035245614,0.10144661633669,0.192758814687493,0.348824069462993,18.9130441056308,27.3333333333333
72,2246,69,1,28.2000007629395,20,12,1,1054,823,3,26.5,3.59,22.91,27.3146670432889,15,2.025,12.975,1318,1210,"12101318",2005,47,1,3,FALSE,"8231054",0.961012156415017,0.138408645727488,0.140028759651771,0.222296452576558,0.147078969225118,0.0545208388784171,0.132978550078423,28.5714276277806,26.0579064587973
72,2247,69,1,23.2000007629395,17.3999996185303,12,1,1054,823,3,26.5,3.59,22.91,27.3146670432889,15,2.025,12.975,1318,1210,"12101318",2005,47,1,3,FALSE,"8231054",1.98901583539291,0.138408645727488,0.140028759651771,0.222296452576558,0.147078969225118,0.0545208388784171,0.132978550078423,28.5714276277806,26.0579064587973
72,2248,69,1,18.2000007629395,16.1000003814697,12,1,1054,823,3,26.5,3.59,22.91,27.3146670432889,15,2.025,12.975,1318,1210,"12101318",2005,47,1,3,FALSE,"8231054",0.00301546382374979,0.138408645727488,0.140028759651771,0.222296452576558,0.147078969225118,0.0545208388784171,0.132978550078423,28.5714276277806,26.0579064587973
76,2267,74,1,14.6000003814697,14.6000003814697,12,1,784,1095,3,31.5,4.51,26.99,33.482304762451,23.5,3.695,19.805,1069,1935,"19351069",2005,48,2,4,TRUE,"1095784",-0.11929099771067,0.167360365965793,0.233123749981722,0.205354009750711,0.350482973690811,0.129366722180874,0.115764526272632,21.592149028288,45.372460496614
76,2268,74,1,15.5,16.1000003814697,12,1,784,1095,3,31.5,4.51,26.99,33.482304762451,23.5,3.695,19.805,1069,1935,"19351069",2005,48,2,4,TRUE,"1095784",-2.69698529911575,0.167360365965793,0.233123749981722,0.205354009750711,0.350482973690811,0.129366722180874,0.115764526272632,21.592149028288,45.372460496614
76,2269,74,1,21,17.5,12,1,784,505,3,31.5,4.51,26.99,33.482304762451,23.5,3.695,19.805,1069,1935,"19351069",2005,48,2,4,TRUE,"505784",-0.442832073298858,0.167360365965793,0.233123749981722,0.205354009750711,0.350482973690811,0.129366722180874,0.115764526272632,21.592149028288,45.372460496614
78,2272,75,1,25.5,19.1000003814697,12,1,963,505,1,6,1.06,4.94,6.81044291468584,0,-0.91,0.91,1047,1226,"12261047",2005,48,1,4,FALSE,"505963",0.347626861013501,0.17802311603374,-1.03673688495002,0.17802311603374,-1.03673688495002,NA,NA,6.81044291468584,NA
81,2312,83,1,26.7000007629395,18.5,12,1,1827,1353,1,17.5,2.28,15.22,18.2984166280414,8.5,1.385,7.115,927,1717,"1717927",2005,49,1,5,FALSE,"13531827",2.93870607635039,0.135168576415252,0.171355159866779,0.178221863922698,0.195204182624968,0.0921152889078055,0.14750613710859,16.5745856353591,20.0222476207236
83,2300,81,1,16.7999992370605,15.6000003814697,12,1,927,1717,3,16.5,1.26,15.24,15.5141422151731,3,-1.975,4.975,1827,1353,"13531827",2005,49,1,5,FALSE,"1717927",-0.237754755410119,0.0796882157631367,-0.457921315746087,0.129211731480006,-0.497132296633988,0.0301647000462671,-0.418710334858185,13.8461538461538,17.1821305841924
83,2322,86,1,24.7000007629395,18,11,1,857,725,3,16.5,1.26,15.24,15.5141422151731,3,-1.975,4.975,1827,1353,"13531827",2005,49,1,5,FALSE,"725857",2.09793738299552,0.0796882157631367,-0.457921315746087,0.129211731480006,-0.497132296633988,0.0301647000462671,-0.418710334858185,13.8461538461538,17.1821305841924
83,2323,86,1,12,14.6000003814697,11,1,857,725,3,16.5,1.26,15.24,15.5141422151731,3,-1.975,4.975,1827,1353,"13531827",2005,49,1,5,FALSE,"725857",-2.71929137918037,0.0796882157631367,-0.457921315746087,0.129211731480006,-0.497132296633988,0.0301647000462671,-0.418710334858185,13.8461538461538,17.1821305841924
92,2352,93,1,24.3999996185303,18.7000007629395,12,1,1544,504,3,27.5,1.67,25.83,25.5816844750956,17,0.899999999999999,16.1,860,114,"114860",2005,52,3,4,FALSE,"5041544",0.175010640436435,0.0970369037424299,0.128818205391409,0.2086154507513,0.292136422801161,-0.01454164326644,-0.0345000120183439,18.3406107426736,32.8227582075176
92,2353,93,1,23.3999996185303,18.3999996185303,12,1,1544,504,3,27.5,1.67,25.83,25.5816844750956,17,0.899999999999999,16.1,860,114,"114860",2005,52,3,4,FALSE,"5041544",-0.129447922306543,0.0970369037424299,0.128818205391409,0.2086154507513,0.292136422801161,-0.01454164326644,-0.0345000120183439,18.3406107426736,32.8227582075176
92,2354,93,1,19.2999992370605,16.3999996185303,12,1,1544,504,3,27.5,1.67,25.83,25.5816844750956,17,0.899999999999999,16.1,860,114,"114860",2005,52,3,4,FALSE,"5041544",0.407476922804159,0.0970369037424299,0.128818205391409,0.2086154507513,0.292136422801161,-0.01454164326644,-0.0345000120183439,18.3406107426736,32.8227582075176
93,2346,91,1,13.6000003814697,15.8000001907349,12,1,256,1448,2,17,0.609999999999999,16.39,16.7326147023178,5,-1.255,6.255,1544,504,"5041544",2005,52,1,3,FALSE,"1448256",-3.90144569144747,0.0338650339477689,-0.222340719085267,-0.0298529631496812,-0.408423690147909,0.0975830310452189,-0.0362577480226242,16.8539331621811,16.6112962424546
93,2349,92,1,20.8999996185303,17.7000007629395,12,1,860,1568,2,17,0.609999999999999,16.39,16.7326147023178,5,-1.255,6.255,1544,504,"5041544",2005,52,1,3,FALSE,"1568860",-1.00652674627332,0.0338650339477689,-0.222340719085267,-0.0298529631496812,-0.408423690147909,0.0975830310452189,-0.0362577480226242,16.8539331621811,16.6112962424546
94,2366,96,1,23.5,17.7000007629395,12,1,1386,591,3,24,3.29,20.71,29.5009825119848,14,0.275,13.725,122,1448,"1448122",2005,53,1,3,TRUE,"5911386",1.59347363519639,0.172222043440468,0.060460104754443,0.342177368872246,0.289164652412004,0.00226671800869101,-0.168244442903118,23.200860051594,35.8011049723757
94,2367,96,1,22.7999992370605,17.7999992370605,12,1,1386,591,3,24,3.29,20.71,29.5009825119848,14,0.275,13.725,122,1448,"1448122",2005,53,1,3,TRUE,"5911386",0.661630148621273,0.172222043440468,0.060460104754443,0.342177368872246,0.289164652412004,0.00226671800869101,-0.168244442903118,23.200860051594,35.8011049723757
94,2368,96,1,22.5,18,12,1,1386,591,3,24,3.29,20.71,29.5009825119848,14,0.275,13.725,122,1448,"1448122",2005,53,1,3,TRUE,"5911386",-0.102063379943983,0.172222043440468,0.060460104754443,0.342177368872246,0.289164652412004,0.00226671800869101,-0.168244442903118,23.200860051594,35.8011049723757
95,2356,94,1,18.1000003814697,18,12,1,122,166,3,21.5,1.94,19.56,24.0951121069752,11,0.445,10.555,206,2018,"2018206",2005,53,2,4,TRUE,"166122",-4.50206299847428,0.0953692323479942,0.0578307557286821,0.109814866007207,0.0985461792380961,0.0809235986887818,0.0171153322192682,16.6481687014428,31.5420555125075
95,2357,94,1,21.5,18,12,1,122,1448,3,21.5,1.94,19.56,24.0951121069752,11,0.445,10.555,206,2018,"2018206",2005,53,2,4,TRUE,"1448122",-1.10206337994398,0.0953692323479942,0.0578307557286821,0.109814866007207,0.0985461792380961,0.0809235986887818,0.0171153322192682,16.6481687014428,31.5420555125075
95,2358,94,1,13,16.6000003814697,12,1,122,1448,3,21.5,1.94,19.56,24.0951121069752,11,0.445,10.555,206,2018,"2018206",2005,53,2,4,TRUE,"1448122",-6.35621660576088,0.0953692323479942,0.0578307557286821,0.109814866007207,0.0985461792380961,0.0809235986887818,0.0171153322192682,16.6481687014428,31.5420555125075
96,2360,95,1,13.5,14.1999998092651,12,1,206,2018,2,9,0.18,8.82,9.75081289010964,1,-0.22,1.22,1386,591,"5911386",2005,53,1,4,FALSE,"2018206",-0.291905007229297,0.0191291699089954,-0.136859182717197,0.0191291699089954,-0.136859182717197,NA,NA,9.75081289010964,NA
