ind	date_mesure	obs	wing	mass	tarsed	bill
15_PIRE	26/05/2007	AB	63	9,4	16,02	6,93
15_PIRE	11/06/2008	TP	62	9,6	16,2	6,85
15_PIRE	12/06/2008	NA	NA	9,4	NA	NA
150_PIRE	16/04/2015	GDM	62,5	9,9	16,07	6,67
150_PIRE	18/04/2016	CF	63	9,6	16,09	6,28
151_PIRE	22/04/2015	GDM	63	10	15,6	6,17
151_PIRE	03/06/2015	AC	61	9,3	15,64	6,49
151_PIRE	16/04/2016	RMG	63	9,8	16,51	6,22
151_PIRE	04/06/2016	AC	63	9,5	16,58	6,34
152_PIRE	18/04/2015	GDM	61,5	9	15,61	5,92
153_PIRE	03/04/2015	ST	60	8,7	15,57	5,76
153_PIRE	17/04/2015	GDM	61,5	8,5	15,44	5,89
153_PIRE	15/04/2016	RMG	62	8,9	15,4	5,82
153_PIRE	26/05/2016	CF	62,5	8,7	15,46	6,25
154_PIRE	23/04/2015	CF	63,5	9	15,71	6,12
154_PIRE	13/06/2015	SCB	62	9,3	15,57	6,37
154_PIRE	18/04/2016	RMG	64	9,3	15,52	5,77
154_PIRE	05/06/2016	CF	64	8,6	15,5	6,07
155_PIRE	18/04/2015	GDM	62	9	15,37	6,08
156_PIRE	18/04/2015	GDM	61,5	9,5	15,59	6,15
157_PIRE	23/04/2015	GDM	62	9	16,49	5,88
157_PIRE	07/06/2015	BD	62	8,6	16,55	6,58
157_PIRE	07/06/2015	AC	62	NA	16,6	6,14
157_PIRE	08/06/2016	RMG	62	9,3	16,55	6,06
158_PIRE	07/06/2014	KD	60,5	9	16,1	6,63
158_PIRE	21/06/2015	CF	61	9,2	16,32	6,82
159_PIRE	09/06/2014	KD	61	9,2	16,2	6,2
16_PIRE	15/06/2009	NA	NA	NA	NA	NA
16_PIRE	10/06/2010	CG	65	9,9	16,61	7
16_PIRE	10/06/2011	EM	65	10,25	16,51	6,92
16_PIRE	16/04/2013	GDM	65	10,2	16,75	NA
16_PIRE	08/06/2013	MOB	65	10	16,79	NA
16_PIRE	13/06/2014	GDM	65	9,75	16,5	6,58
160_PIRE	10/06/2014	KD	61	8,8	15,68	6,57
161_PIRE	12/06/2014	MS	63,5	9,4	16,5	6,8
161_PIRE	30/05/2015	ST	63,5	9,6	16,69	6,93
161_PIRE	01/06/2016	CF	66	10,3	NA	NA
162_PIRE	18/06/2014	MS	63	9,4	16,18	6,52
163_PIRE	19/04/2015	GDM	62	9	16,37	6,22
164_PIRE	07/06/2014	MS	61	7,9	15,5	NA
164_PIRE	24/04/2015	GDM	65	9,5	15,88	6,27
165_PIRE	10/06/2014	MS	60	9,1	16,2	7,3
166_PIRE	03/04/2015	CF	62	9	15,76	5,81
166_PIRE	04/06/2015	AC	60	8,7	15,74	6,18
166_PIRE	17/04/2016	RMG	63	9	15,6	6,02
166_PIRE	09/06/2016	RMG	63	8,6	15,58	6,35
167_PIRE	18/04/2015	GDM	64	10	16,62	6,3
168_PIRE	06/06/2015	PAM	64	9,3	16,02	NA
168_PIRE	18/04/2016	RMG	64	9,4	15,9	6,1
169_PIRE	01/06/2015	PAM	57	9,5	15,65	NA
17_PIRE	06/06/2011	EM	59	9,25	15,79	6,97
17_PIRE	26/04/2011	CD	59	8,7	15,72	NA
17_PIRE	12/06/2012	PP	61	9,3	15,69	6,96
