ind	date_mesure	obs	wing	mass	tarsed	bill
361_MURD	24/03/2014	AC	59,5	8,4	15,46	6,2
362_MURD	07/05/2014	CF	59,5	8,6	15,5	6,45
362_MURD	24/03/2014	AC	NA	9	15,55	6,06
362_MURD	22/05/2015	CF	NA	NA	NA	NA
363_MURD	03/05/2014	CF	59,5	9,1	16,3	6,4
363_MURD	24/03/2014	PP	60	9,9	16,19	5,77
363_MURD	22/03/2015	GDM	60	9	16,04	6,78
363_MURD	06/05/2015	CF	60	9,2	16,02	6,63
363_MURD	21/03/2016	AC	61	10,5	16,16	5,88
364_MURD	01/05/2014	CGE	58	8,75	15,66	6,56
364_MURD	25/03/2014	AC	59,5	9,6	15,62	6,37
364_MURD	21/03/2015	GDM	59,5	8,5	15,8	7,48
364_MURD	22/03/2015	AC	58	8,8	15,8	6,16
364_MURD	07/05/2015	CF	59	8,5	15,59	6,92
365_MURD	25/03/2014	AC	60	9	15,01	6,36
366_MURD	09/05/2014	MOB	NA	9,6	15,81	NA
366_MURD	25/03/2014	AC	61	9,4	15,77	5,81
367_MURD	25/03/2014	PP	61	9,6	15,4	6,19
367_MURD	22/03/2015	AC	62	9,6	15,58	6,62
368_MURD	25/03/2014	PP	64	9,2	17,03	6,38
368_MURD	22/03/2015	AC	63	9,4	17,13	6,32
368_MURD	14/05/2015	CF	62,5	9,6	16,98	7,15
369_MURD	25/03/2014	PP	62	9,6	15,55	5,82
369_MURD	20/05/2015	ST	62	9,6	17,23	6,3
37_PIRE	31/05/2010	SC	62	9	15,85	6,75
37_PIRE	03/06/2011	EM	62	9,25	16,12	7,14
37_PIRE	24/04/2011	CD	62	9,5	16,1	NA
37_PIRE	08/04/2012	GDM	62	8,5	16,02	7,81
37_PIRE	10/06/2012	PP	62	9	15,73	6,85
37_PIRE	13/04/2013	PAM	60	9,3	16,57	NA
37_PIRE	03/06/2013	VJ	60	9	15,32	NA
37_PIRE	21/04/2014	GDM	61	8,6	16,23	6,04
370_MURD	05/05/2014	CF	59,5	9,4	15,49	6,82
371_MURD	22/03/2015	AC	61,5	9,8	16,67	6,16
371_MURD	17/05/2015	ST	60,5	10,1	16,65	6,64
371_MURD	28/04/2016	CF	63	10,3	16,49	6,42
371_MURD	20/03/2016	PP	64	9,8	16,74	5,98
372_MURD	26/03/2015	AC	61,5	9,4	16,19	6,43
372_MURD	14/05/2015	CF	62	9,6	16,18	6,87
373_MURD	21/03/2015	AC	61	9,9	16,02	6,22
373_MURD	09/05/2015	CF	60,5	9,4	16,19	6,7
374_MURD	07/05/2014	CF	60	9,4	16,4	6,95
375_MURD	07/05/2014	CF	63	9,9	16,91	6,35
376_MURD	22/03/2015	PP	60	9,2	15,29	6,02
376_MURD	21/03/2016	AC	61,5	8,7	15,33	5,99
376_MURD	16/05/2016	RMG	62	8,9	15,38	6,65
377_MURD	22/03/2015	GDM	63	NA	16,06	7,02
377_MURD	10/05/2015	CF	62,5	NA	16,03	6,25
378_MURD	08/05/2014	CF	61,5	9,6	16,3	6,47
379_MURD	09/05/2014	CF	64,5	9,4	16,7	6,25
38_PIRE	22/04/2013	GDM	64	9,1	15,93	NA
38_PIRE	02/06/2013	GDM	63	9,25	15,71	NA
38_PIRE	16/04/2014	NA	NA	NA	NA	NA
38_PIRE	24/04/2014	GDM	63	8,9	15,72	5,76
380_MURD	15/05/2014	CF	61	9,7	16,4	6,2
380_MURD	24/03/2015	AC	62	9,7	16,42	5,96
380_MURD	09/05/2015	CF	62,5	10,2	16,42	6,24
381_MURD	19/06/2015	CF	64	9,5	16,15	6,61
382_MURD	19/06/2015	CF	62	10,1	16,5	6,45
383_MURD	17/05/2015	ST	61,5	9,2	16,61	6,95
384_MURD	18/05/2015	ST	59	8,7	16,12	6,67
384_MURD	30/04/2016	CF	59,5	9,2	15,82	6,48
385_MURE	12/06/2013	PP	65	10	16,76	6,44
386_MURE	19/03/2012	AC	62	9,1	16,23	6,64
386_MURE	24/05/2012	CF	62	9,4	16,28	7,07
386_MURE	23/03/2013	AC	62	9,1	16,3	6,42
386_MURE	15/05/2014	MOB	63	9,2	NA	6,99
387_MURE	19/03/2012	PP	60,5	9,5	16,39	6,29
387_MURE	21/05/2012	PAM	60	9,9	16,01	7,82
387_MURE	23/03/2013	AC	62	9,9	16,76	6,51
387_MURE	05/06/2013	CF	61,5	9,7	16,84	NA
388_MURE	10/05/2000	MM	65	9,6	16,16	6,22
388_MURE	07/05/2001	AC	64	10	16,38	6,89
388_MURE	16/05/2002	PD	65,5	10	16,44	6,81
389_MURE	24/05/2004	PB	63,5	9,2	16,25	6,37
389_MURE	19/05/2005	AM	67,5	10	16,26	6,37
39_PIRE	17/06/2012	PP	61	8,6	15,69	6,15
39_PIRE	13/06/2013	AC	63	8,6	15,46	6,12
39_PIRE	07/06/2014	KD	63	8,6	15,63	6,06
39_PIRE	23/04/2015	GDM	64	9,25	15,3	5,8
39_PIRE	27/05/2015	SCB	62	9,1	NA	6,53
39_PIRE	30/05/2016	CF	61,5	9,4	15,21	6,15
390_MURE	23/03/2013	AC	63	9,7	16,39	6
390_MURE	24/05/2013	CF	63,5	10,3	16,13	NA
391_MURE	13/05/2009	MP	61	9	15,73	7,07
391_MURE	10/05/2010	AC	63	9	15,8	7,56
391_MURE	22/03/2011	PP	63	9,1	15,39	6,19
391_MURE	03/05/2011	EM	64	9	15,92	6,93
391_MURE	11/05/2012	CF	64	9,1	15,57	7,04
391_MURE	23/03/2013	AC	62	9,1	15,57	6,43
391_MURE	13/05/2013	VJ	64	9	15,76	NA
392_MURE	20/05/2013	VJ	65	10,25	15,44	NA
392_MURE	13/05/2014	CF	65	9,4	16,97	6,73
392_MURE	24/03/2016	AC	65	9,1	16,8	6,16
392_MURE	08/05/2016	RMG	65	9,5	16,8	6,85
393_MURE	22/03/2013	AC	64	10,4	17,1	6,6
393_MURE	15/05/2013	GDM	69	9,6	17,46	NA
393_MURE	09/05/2014	MOB	64,5	10	17,32	6,6
394_MURE	13/05/2013	GDM	64	9,6	16,4	NA
394_MURE	24/03/2014	GDM	64	9,5	16,58	7,62
394_MURE	15/05/2014	MOB	64	9,5	16,45	6,8
395_MURE	18/05/2013	GDM	62	9,8	16,45	NA
395_MURE	22/06/2014	PAM	63	9,6	16,21	6,71
395_MURE	27/03/2015	GDM	61	9,6	16,38	7,29
396_MURE	16/05/2013	PAM	60,5	10,1	15,2	NA
396_MURE	09/05/2009	MP	61	10,1	15,84	6,43
396_MURE	12/05/2010	CG	60	10,2	16,78	6,76
397_MURE	20/05/2010	CG	61	9,1	16,08	6,57
397_MURE	24/03/2011	AC	64	9,2	15,92	6,31
397_MURE	06/05/2011	AC	63,5	10,2	15,93	6,52
397_MURE	20/03/2012	AC	63	NA	15,98	5,94
397_MURE	14/05/2012	CF	64	9,4	15,92	6,56
397_MURE	14/05/2013	PAM	63	9,65	15,95	NA
398_MURE	12/05/2010	MP	62	9,2	15,94	6,54
398_MURE	22/03/2011	AC	63,5	8,7	16,13	6,49
398_MURE	05/05/2011	MP	64	9,25	16,15	6,57
398_MURE	23/03/2013	AC	63,5	9,9	16,05	6,42
398_MURE	23/05/2013	VJ	64	9,75	NA	NA
398_MURE	28/03/2014	GDM	62	9,1	16,08	6,06
398_MURE	12/05/2014	GDM	64	9,25	15,85	6,53
399_MURE	26/05/2009	MP	62	9,6	15,6	7,23
399_MURE	20/05/2010	CG	61	9,7	15,47	7,01
399_MURE	24/03/2011	AC	61,5	9,6	15,33	6,84
399_MURE	10/05/2011	AC	61	9,7	15,58	7,03
399_MURE	15/05/2012	GDM	61	9,7	15,67	8,01
399_MURE	22/03/2013	AC	61	9,6	15,59	6,39
4_PIRE	01/06/2011	PP	59	8,5	15,74	6,68
4_PIRE	12/04/2012	GDM	60,5	8,25	16,08	7,57
4_PIRE	23/04/2013	GDM	62	8,9	16,8	NA
4_PIRE	06/06/2013	CF	60,5	8,8	15,7	NA
4_PIRE	24/06/2014	PAM	60	8,6	15,6	6,65
40_PIRE	17/04/2013	GDM	64	9,2	16,53	NA
40_PIRE	02/06/2013	MOB	64	9	16,52	NA
400_MURE	12/06/2013	AC	61,5	9,4	16,22	7,17
400_MURE	23/03/2015	AC	63,5	9,6	16,14	6,44
400_MURE	18/05/2015	ST	62	9,3	16,2	6,97
400_MURE	13/05/2014	CF	64	9,2	16,13	6,9
401_MURE	17/05/2012	PAM	60	8,6	15,56	6,6
401_MURE	23/03/2013	AC	61	8,8	16,04	5,85
401_MURE	23/05/2013	VJ	60	9,5	NA	NA
401_MURE	12/05/2014	CF	62	8,9	16,12	6,6
401_MURE	28/03/2015	PP	62,5	8,6	15,84	5,88
402_MURE	22/03/2013	AC	61,5	9,2	16,29	6,13
402_MURE	10/05/2013	PAM	59	9	15,8	NA
403_MURE	18/05/2012	CF	64	10,3	17,43	7,3
403_MURE	22/03/2013	AC	65	10,1	17,2	6,47
403_MURE	11/05/2014	CGE	66	10,5	17,22	6,6
403_MURE	27/03/2015	PP	67	10,2	17,11	6,17
403_MURE	18/05/2015	GDM	67	10,25	17,22	6,69
403_MURE	15/05/2016	RMG	65,5	10,4	17,3	6,73
404_MURE	28/05/2012	PAM	62	9,1	15,97	7,24
404_MURE	20/05/2013	GDM	63	9,2	16,28	NA
404_MURE	26/03/2014	GDM	63	9,1	16,49	6,85
404_MURE	11/05/2014	CF	63	9,4	16,4	6,84
405_MURE	22/03/2011	PP	64	9,6	16,2	6,03
405_MURE	23/03/2013	AC	63	9,5	16,42	6,33
405_MURE	12/06/2013	PP	63	9,9	16,25	6,6
405_MURE	28/03/2014	GDM	64	9,7	16,41	6,27
405_MURE	13/05/2014	CF	63	9,4	16,55	6,64
405_MURE	09/05/2015	CF	62,5	9,5	16,3	6,86
406_MURE	24/03/2011	AC	60,5	9,9	16,75	6,5
406_MURE	04/05/2011	EM	60	10	16,79	6,82
406_MURE	12/05/2012	CF	63,5	9,9	16,85	6,74
406_MURE	22/03/2013	AC	62	9,9	16,76	6,41
406_MURE	10/05/2013	PAM	63	9,9	16,48	NA
407_MURE	24/03/2011	AC	59,5	9,7	16,23	6,52
407_MURE	04/05/2011	EM	NA	NA	16,23	NA
407_MURE	20/03/2012	AC	62	9,7	16,17	6,32
407_MURE	09/06/2012	PP	63,5	9,3	16,16	7,11
407_MURE	06/05/2013	PAM	60	9,8	16,12	NA
407_MURE	24/03/2014	GDM	62	9,5	16,32	6,92
407_MURE	09/05/2014	CGE	62	10,2	16,24	6,8
407_MURE	27/03/2015	SP	63	9,9	16,08	6,22
407_MURE	09/05/2015	CF	62,5	9,7	16,18	6,95
407_MURE	24/03/2016	AC	60,5	9,4	16,1	6,21
407_MURE	04/05/2016	RMG	61	9,7	16,21	6,8
408_MURE	22/03/2011	AC	62	9,3	17,28	6,28
408_MURE	06/05/2011	EM	61	10,25	16,86	6,77
408_MURE	08/05/2012	AC	65,5	9,6	17,21	6,41
408_MURE	07/05/2013	PAM	66	9,6	17,12	NA
409_MURE	22/03/2011	AC	61	9,2	16,28	6,24
409_MURE	17/05/2012	PAM	65	10	16,03	6,67
409_MURE	23/03/2013	AC	64	10	16,23	6,16
409_MURE	12/06/2013	PP	65	10,3	16,23	6,54
409_MURE	28/03/2014	AC	64	9,9	16,32	6,15
409_MURE	13/05/2014	CF	64,5	10	16,35	6,35
409_MURE	12/05/2015	CF	64,5	10,7	16,37	6,68
41_PIRE	19/04/2012	GDM	63,5	9,25	16,92	7,67
41_PIRE	27/04/2012	NA	NA	9,5	NA	NA
41_PIRE	23/06/2012	GDM	63	8,8	16,76	7,83
41_PIRE	08/06/2013	VJ	64	9	16,05	NA
41_PIRE	26/06/2014	PAM	65	9,4	16,3	6,3
41_PIRE	30/05/2015	ST	62	9,4	16,62	6,55
410_MURE	22/05/2010	MP	60,5	9,4	15,47	7,04
410_MURE	14/05/2011	EM	60	9,5	15,57	6,5
410_MURE	19/03/2012	AC	60,5	NA	15,72	6,52
410_MURE	19/05/2012	CF	60	9,2	15,8	6,6
410_MURE	15/05/2013	PAM	59	9,1	15,23	NA
410_MURE	24/03/2014	AC	60,5	8,9	15,4	6,58
410_MURE	15/05/2014	MOB	60	9,1	15,27	7
410_MURE	27/03/2015	PP	60	8,5	15,42	6,13
410_MURE	19/05/2015	ST	60	8,8	15,74	7,29
411_MURE	09/05/2013	GDM	69	9,25	16,62	NA
411_MURE	28/03/2015	PP	65	9,5	16,27	6,34
411_MURE	23/03/2016	CF	65	9,9	16,45	6,32
412_MURE	22/03/2011	AC	62	9,6	16,43	6,29
412_MURE	13/05/2013	VJ	63	9,5	16,14	NA
413_MURE	16/05/2013	PAM	64	10,5	16,47	NA
414_MURE	22/03/2011	AC	63,5	10	16,71	6,21
414_MURE	19/03/2012	NA	NA	NA	NA	NA
414_MURE	23/03/2013	AC	65	10	16,36	6,38
414_MURE	05/06/2013	CF	66	9,6	16,48	NA
415_MURE	24/05/2011	MP	60	9,5	15,75	5,57
415_MURE	22/03/2013	GDM	61	9,3	16	6,04
415_MURE	21/05/2013	GDM	59	9	16,03	NA
415_MURE	24/03/2011	AC	NA	8,7	15,85	6,23
415_MURE	25/05/2012	CF	60,5	8,9	15,95	6,99
416_MURE	19/03/2012	AC	60	10,2	16,28	6,41
416_MURE	18/05/2012	CF	59,5	9,7	16,37	7,48
416_MURE	22/03/2013	AC	60	9,6	16,36	6,44
416_MURE	09/05/2013	PAM	60	9,8	16,2	NA
417_MURE	20/03/2012	AC	60	9,3	16,34	6,57
417_MURE	15/05/2012	CF	NA	NA	NA	NA
417_MURE	10/05/2013	GDM	60	9,5	16,51	NA
417_MURE	26/03/2014	AC	62	9,4	16,51	6,59
417_MURE	06/05/2014	CF	62,5	9,6	16,41	6,96
417_MURE	23/03/2015	AC	62	9,8	16,48	6,48
417_MURE	07/05/2015	CF	62	10,1	16,48	7
418_MURE	26/03/2014	AC	62,5	9,5	16,76	6,42
418_MURE	30/05/2014	CF	61,5	9,5	16,69	6,79
418_MURE	18/05/2015	ST	61	10,1	16,77	6,84
419_MURE	24/03/2014	AC	60	9,2	16,05	6,13
419_MURE	15/05/2014	NA	NA	NA	NA	NA
419_MURE	16/05/2014	CF	60,5	10,6	16,08	6,58
42_PIRE	13/04/2012	GDM	NA	NA	NA	NA
42_PIRE	25/06/2012	GDM	60	9,4	15,55	7,95
42_PIRE	20/04/2013	GDM	60	9,3	15,86	NA
42_PIRE	03/06/2013	CF	60,5	9,7	15,81	NA
420_MURE	15/05/2014	CGE	60	9,7	15,51	5,82
420_MURE	23/03/2015	AC	62	9,5	15,55	6,03
420_MURE	13/05/2015	CF	61,5	9,4	15,66	6,2
420_MURE	04/05/2016	CF	61,5	9,7	15,61	6,17
421_MURE	14/05/2013	PAM	62	9,5	16,98	NA
421_MURE	26/03/2014	AC	65	9,6	16,92	6,41
421_MURE	15/05/2014	CGE	65	9,8	16,96	6,15
421_MURE	23/03/2015	AC	65,5	9,5	NA	6,4
421_MURE	13/05/2015	CF	65	9,9	NA	6,79
422_MURE	28/03/2014	GDM	66	9,4	17,11	6,78
422_MURE	20/05/2014	MOB	65	9,25	17,04	6,7
422_MURE	17/05/2015	ST	63	10,4	17,25	6,58
423_MURE	22/03/2013	AC	62,5	9,3	16,2	8,83
423_MURE	15/05/2013	PAM	61	9,5	15,91	NA
423_MURE	24/03/2014	AC	65	9,6	16,15	6,39
423_MURE	10/05/2014	GDM	64	9,25	16,12	6,66
423_MURE	06/05/2015	CF	64	9,82	16,11	6,82
423_MURE	08/05/2016	RMG	64	9,5	16,15	6,8
424_MURE	05/06/2013	CF	60	9	15,43	NA
424_MURE	12/05/2014	CF	60,5	9	15,52	6,52
424_MURE	23/03/2015	AC	61	9,8	15,32	5,95
424_MURE	15/05/2015	ST	61	9,1	15,75	6,77
425_MURE	22/03/2013	GDM	62	9,4	15,6	6,32
425_MURE	16/05/2013	PAM	59	9,2	15,35	NA
425_MURE	26/03/2014	AC	61,5	8,9	15,78	6,05
425_MURE	17/05/2014	CF	62	9,1	15,75	6,68
426_MURE	18/05/2012	CF	61	10,2	16,11	7,11
426_MURE	13/05/2013	VJ	60,5	10	16,4	NA
427_MURE	18/05/2012	GDM	62	9,8	NA	NA
427_MURE	10/05/2013	PAM	65	10,2	17	NA
428_MURE	22/03/2013	AC	61	NA	16,31	6,22
429_MURE	22/05/2012	GDM	59,5	8,75	16,16	8,38
429_MURE	14/05/2013	GDM	61	9,7	16,46	NA
429_MURE	09/05/2014	MOB	61	9,25	16,19	6,8
43_PIRE	08/04/2012	GDM	63	8	NA	8,15
43_PIRE	13/04/2013	CD	61	9	15,97	NA
430_MURE	27/05/2012	GDM	61	9,3	16,02	7,74
430_MURE	17/05/2013	GDM	61	9,7	15,83	NA
431_MURE	20/05/2013	GDM	60,5	9,7	15,75	NA
431_MURE	11/05/2014	CGE	62	10,2	15,5	6,4
431_MURE	27/03/2015	PP	62	9,2	15,76	5,95
431_MURE	15/05/2015	ST	61	9,5	15,7	6,5
431_MURE	08/05/2016	RMG	62	10,2	15,55	6,8
432_MURE	10/05/2013	PAM	63	10,2	16,68	NA
432_MURE	26/03/2014	NA	NA	NA	NA	NA
432_MURE	08/05/2014	CGE	62	10,7	16,67	6,6
432_MURE	23/03/2015	NA	NA	NA	NA	NA
432_MURE	10/05/2015	GDM	65	10,6	16,74	6,75
432_MURE	23/03/2016	AC	63	10,6	16,72	6,15
432_MURE	03/05/2016	CF	63	10,9	16,81	6,7
433_MURE	22/05/2014	MOB	64	10,25	17,05	7,05
433_MURE	23/03/2015	GDM	61	10,3	17,12	7,54
433_MURE	15/05/2015	ST	62	10,4	17,17	6,68
433_MURE	04/05/2016	JRD	63	10,5	16,98	6,73
434_MURE	15/05/2013	PAM	59	8,6	15,6	NA
435_MURE	10/05/2013	NA	NA	NA	NA	NA
435_MURE	26/03/2014	AC	59,5	9,5	16,26	6,07
435_MURE	07/05/2014	CF	59,5	9,7	16,3	6,85
435_MURE	28/03/2015	PP	61	9,8	16,3	5,71
435_MURE	03/05/2015	CF	60	9,6	16,32	6,56
435_MURE	08/05/2016	JRD	59,5	12,3	16,07	6,47
436_MURE	30/05/2012	CF	61,5	9,1	16,66	6,63
436_MURE	14/05/2013	PAM	63	9,3	16,49	NA
436_MURE	24/03/2014	AC	65	9,5	16,8	6,12
436_MURE	16/05/2014	CF	64,5	9,3	16,96	6,36
437_MURE	18/05/2012	CF	59,5	9,2	16,23	7,35
437_MURE	22/03/2013	AC	61	9	16,28	6,48
437_MURE	16/05/2013	PAM	60	9,5	15,95	NA
438_MURE	26/03/2014	AC	64	10,2	17,01	6,04
438_MURE	13/05/2014	GDM	64	10,25	16,74	6,15
438_MURE	10/05/2015	GDM	67	10,5	16,92	6,39
439_MURE	25/05/2014	CF	60,5	9,3	15,5	6,98
439_MURE	23/03/2015	AC	61,5	9	15,46	6,37
439_MURE	16/05/2015	ST	60,5	9,4	15,93	6,48
44_PIRE	08/04/2012	CD	64	NA	16,18	7,04
44_PIRE	23/04/2012	NA	NA	10	NA	NA
44_PIRE	14/04/2013	GDM	63	9,75	16,22	NA
440_MURE	09/06/2015	CF	60	9,2	15,4	6,5
440_MURE	12/05/2016	CF	59,5	9,3	15,4	6,26
441_MURE	22/03/2013	AC	62	8,7	15,69	5,85
441_MURE	14/05/2013	PAM	61	9,5	15,51	NA
441_MURE	06/05/2014	GDM	65	9,1	15,62	6,21
441_MURE	27/03/2015	SP	65	9,3	15,62	5,78
441_MURE	11/05/2015	CF	64,5	9,5	15,62	6,21
441_MURE	24/03/2016	AC	64	9	15,98	5,77
441_MURE	04/05/2016	RMG	64,5	9,5	15,9	6,19
442_MURE	22/03/2013	AC	NA	9,2	15,75	5,91
443_MURE	22/03/2013	AC	63,5	10,2	16,34	6,46
443_MURE	15/05/2013	GDM	59	9,9	16,47	NA
443_MURE	11/05/2014	CF	65	9,9	16,5	6,31
443_MURE	13/05/2015	CF	64,5	10,1	16,37	6,46
443_MURE	08/05/2016	CF	64,5	10,2	16,2	6,3
444_MURE	15/05/2014	CF	59,5	9,5	16,09	6,81
444_MURE	23/03/2015	AC	62	9,9	15,96	6,49
444_MURE	09/05/2015	CF	61,5	9,7	16,01	6,9
445_MURE	13/05/2013	GDM	63	9,7	15,92	NA
445_MURE	24/03/2014	AC	64	9,7	16,04	6,12
445_MURE	10/05/2014	GDM	63	9,9	16,45	6,62
445_MURE	27/03/2015	SP	63	9,7	15,95	6,1
445_MURE	06/05/2015	CF	62,5	10	15,86	7
446_MURE	26/03/2014	AC	59	8,9	15,75	6,74
447_MURE	26/03/2014	PP	62	9,8	15,08	6,14
447_MURE	13/05/2014	GDM	62	9,75	14,98	6,85
448_MURE	28/03/2014	GDM	62	8,75	16,55	6,32
448_MURE	12/05/2014	CF	61,5	9,2	16,6	6,44
449_MURE	28/03/2014	AC	62	9,5	16,06	5,97
449_MURE	15/05/2014	CF	62,5	9,2	16,11	6,32
449_MURE	17/05/2015	ST	62,5	9,8	16,19	6,1
449_MURE	28/04/2016	CF	65	10	15,85	6,16
45_PIRE	08/04/2012	CD	61	8,5	15,15	7,6
45_PIRE	14/04/2013	GDM	59	9	15,53	NA
450_MURE	28/03/2014	GDM	61	9,5	16,56	7,02
450_MURE	12/05/2014	GDM	61	9,4	16,29	7,04
450_MURE	28/03/2015	PP	62	9,8	16,44	6,29
450_MURE	25/03/2016	AC	61	9,3	16,4	6,15
450_MURE	08/05/2016	JRD	61	9,9	16,38	6,81
451_MURE	28/03/2014	GDM	62,5	8,5	15,59	5,85
451_MURE	28/03/2015	GDM	61	8,6	15,19	5,78
451_MURE	25/03/2016	AC	61,5	8,3	15,23	5,84
451_MURE	09/05/2016	JRD	61	8,4	15,06	6,26
452_MURE	28/03/2015	PP	62	9,8	16,65	6,87
453_MURE	20/05/2014	MOB	60	9,75	16,26	7,1
453_MURE	23/03/2015	AC	61	9,2	16,25	6,5
453_MURE	24/05/2015	ST	60,5	9,6	16,11	6,87
454_MURE	27/03/2015	PP	64	9,5	16,54	6,2
455_MURE	20/05/2014	CF	63,5	9,6	17,06	6,66
455_MURE	23/03/2015	AC	65	9,5	16,71	6,48
455_MURE	24/05/2015	ST	63	10,2	16,71	6,51
455_MURE	23/03/2016	AC	65	9,8	16,78	6,22
455_MURE	14/05/2016	CF	64,5	10	16,67	6,61
456_MURE	23/03/2015	GDM	60	9,5	16,35	7,29
456_MURE	13/05/2015	CF	60,5	10	16,44	6,89
456_MURE	05/05/2016	CF	60	10	16,45	6,61
457_MURE	17/05/2013	GDM	63,5	10,1	17,3	NA
457_MURE	17/05/2014	CF	65,5	10,4	17,02	6,95
457_MURE	26/03/2014	PP	66	10,1	16,86	6,37
457_MURE	09/05/2015	CF	63,5	10,4	16,9	6,88
457_MURE	24/05/2015	ST	62,5	10,4	17,07	6,92
457_MURE	23/03/2016	AC	64,5	10,5	17	6,44
457_MURE	08/05/2016	CF	64,5	10,6	16,92	6,76
458_MURE	18/05/2013	CF	64	9,6	15,84	NA
458_MURE	11/05/2014	CF	66	9,4	16,05	6,54
458_MURE	26/03/2014	AC	66	9,7	15,89	6,3
459_MURE	14/05/2013	PAM	59,5	9,9	16,2	NA
459_MURE	27/03/2015	GDM	60	9,2	16,24	6,16
459_MURE	15/05/2015	ST	60	10	16,01	6,14
46_PIRE	08/04/2012	GDM	64	9,5	16,6	7,65
46_PIRE	17/04/2015	GDM	64	9,5	16,85	5,89
46_PIRE	29/05/2015	ST	62,5	9	16,63	6,33
460_MURE	23/03/2015	AC	61	9,2	15,35	6,15
460_MURE	15/05/2015	ST	60	9,3	15,16	6,44
461_MURE	23/03/2015	AC	65	9,6	16,59	6,17
462_MURE	25/05/2013	MOB	59	9,5	16,07	NA
462_MURE	11/05/2014	CGE	60	9,4	16,15	6,74
462_MURE	27/03/2015	GDM	60	9	16,51	7,33
462_MURE	15/05/2015	ST	60	9,2	16,18	6,77
462_MURE	24/03/2016	AC	60	9,2	16,14	6,01
462_MURE	09/05/2016	CF	60	9,3	16,06	6,81
463_MURE	31/05/2016	CF	63,5	9,4	16,52	6,45
463_MURE	12/05/2014	MOB	62	8,75	16,6	6,45
464_MURE	20/05/2014	MOB	62	9,25	16,55	6,5
464_MURE	23/03/2015	AC	64	9,6	16,48	6,13
464_MURE	16/05/2015	ST	61,5	9,7	16,63	6,22
465_MURE	22/05/2014	MOB	NA	8,5	15,69	6,7
465_MURE	23/03/2015	AC	59,5	8,8	15,84	6,26
465_MURE	15/05/2015	ST	59,5	8,9	16	6,61
466_MURE	23/03/2015	AC	62	9,3	16,21	6,36
466_MURE	14/05/2015	GDM	63	9,9	16,17	6,38
466_MURE	23/03/2016	AC	62	9,6	16,19	6,19
466_MURE	03/05/2016	CF	63	9,6	16,07	6,41
467_MURE	23/03/2015	AC	64,5	9,9	16,5	6,43
468_MURE	23/03/2016	AC	60,5	9,6	16,26	6,15
468_MURE	04/05/2016	CF	61	10,3	16,24	6,49
468_MURE	23/03/2015	AC	60	9,8	16,39	6,18
468_MURE	15/05/2015	ST	60	9,2	16,19	6,5
469_MURE	27/03/2015	SP	60	9,5	16,16	6,31
469_MURE	07/05/2015	CF	60	9,6	16,21	6,8
47_PIRE	09/04/2012	CF	63	8,6	16,23	6,12
47_PIRE	14/04/2013	GDM	64	9,5	16,46	NA
47_PIRE	24/05/2013	CF	64,5	9,4	16,49	NA
470_MURE	27/03/2015	SP	62,5	9	16,4	5,85
470_MURE	19/05/2015	ST	61	8,9	17,02	6,43
471_MURE	28/03/2015	PP	64	10	15,85	6,5
471_MURE	25/03/2016	AC	65	10,4	16,07	6,52
471_MURE	09/05/2016	CF	65,5	10,3	15,88	6,95
472_MURE	11/05/2014	CGE	62	10	16,75	6,48
472_MURE	27/03/2015	SP	63	10,5	17,03	6,3
472_MURE	22/05/2015	ST	61,5	10	17,32	6,8
473_MURE	28/03/2015	PP	61	9,9	16,16	6,12
473_MURE	03/05/2015	CF	61	9,6	16,29	6,7
474_MURE	23/03/2015	AC	58,5	8,8	15,9	6,14
474_MURE	14/05/2015	GDM	60	9,3	NA	6,88
475_MURE	28/03/2015	PP	61,5	9	16,31	5,74
476_MURE	14/05/2014	GDM	62	9,5	16,49	6,51
476_MURE	23/03/2015	PP	65	9,7	16,8	5,87
476_MURE	07/05/2015	CF	63	10,1	16,59	6,33
476_MURE	04/05/2016	CF	64,5	9,7	NA	6,15
477_MURE	27/03/2015	SP	63	9,9	16,62	6,47
477_MURE	08/05/2016	RMG	65	9,8	16,72	6,86
478_MURE	27/03/2015	SP	60	9,3	16,35	6,19
478_MURE	04/05/2016	RMG	60,5	9,8	16,53	7,17
479_MURE	11/05/2015	CF	62,5	10,3	16,93	6,58
48_PIRE	09/04/2012	CF	NA	9,2	16,36	6,07
48_PIRE	10/06/2012	NA	NA	NA	NA	NA
48_PIRE	14/04/2013	GDM	60	9,7	16,15	NA
48_PIRE	24/05/2013	CF	61	9,7	16,12	NA
48_PIRE	17/04/2014	CF	62	9,5	16,36	6,6
48_PIRE	31/05/2014	CGE	61	9,4	15,91	6,45
480_MURE	23/03/2015	AC	63	9,3	16,82	6,37
480_MURE	15/05/2015	ST	61,5	9,2	17,07	6,66
480_MURE	04/05/2016	CF	64	9,8	16,71	6,65
481_MURE	15/05/2015	ST	59,5	10	16,22	6,8
481_MURE	08/05/2016	RMG	63	9,8	16,24	6,85
481_MURE	11/03/2015	CF	60	9,9	16,32	6,41
482_MURE	17/05/2014	MOB	60	9,3	15,85	6,45
482_MURE	27/03/2015	SP	61	9,2	15,85	5,8
482_MURE	13/05/2015	CF	61	9,5	15,91	6,45
482_MURE	15/05/2015	ST	60,5	9,9	15,81	6,52
482_MURE	19/03/2016	AC	61	10	15,99	5,92
482_MURE	08/05/2016	RMG	60,5	9,6	15,97	6,45
