"id" "sex" "hatchisland" "hatchyear" "year" "month" "day" "island" "age" "tarsus" "wing" "billD" "billL" "mass" "totalbadge" "visiblebadge"
54 1 27 2007 2010 7 26 27 3 18.29 78.43 7.95 12.58 25.8 NA NA
55 0 27 1997 1998 6 28 27 1 18.9 83 8 13.5 29.1 18.91877374 15.76610288
55 0 27 1997 1999 7 22 27 2 19.9 84 8.2 13.7 31.3 20.87510479 15.19934209
56 0 27 1997 2001 6 9 27 4 NA NA 8.39 14.43 31.6 20.10646662 16.97557068
56 0 27 1997 1998 6 18 27 1 19.9 81 8 14 NA 19.50435849 15.95054858
56 0 27 1997 1998 6 18 27 1 19.9 81 8.3 14 33.5 18.61907624 17.36864992
56 0 27 1997 2000 8 6 27 3 20 83 8.4 13.7 34 20.7670412 19.59642825
57 0 27 1997 1998 6 28 27 1 18.2 78 8.4 14.3 28.4 21.40724177 16.57317109
57 0 27 1997 2001 6 8 27 4 18.2 81.26 8.54 14.29 29.6 20.89665045 15.0056656
57 0 27 1997 1999 5 16 27 2 18.2 78.86 8.44 14.29 28.9 21.42825238 17.90446872
57 0 27 1997 1998 5 19 27 1 18.2 77 8.5 14.2 28.7 18.91877374 15.03562436
57 0 27 1997 1999 5 30 27 2 18.2 79 8.4 14 28.3 18.7155016 14.70272084
59 1 27 1997 1998 5 19 27 1 19.5 78 8.1 13.7 35.1 NA NA
59 1 27 1997 1999 5 30 27 2 19.4 81 8 13.7 32.7 NA NA
59 1 27 1997 1999 7 28 27 2 19.5 78.86 8.14 14.29 32.3 NA NA
59 1 27 1997 1999 7 9 27 2 19.4 81 7.9 13.9 31.7 NA NA
59 1 27 1997 2000 6 4 27 3 19.68 82.83 8.09 13.83 33.4 NA NA
60 0 29 1997 1998 6 16 27 1 20 78 8.1 14.8 34.2 21.36515855 20.10646662
60 0 29 1997 1999 6 5 27 2 20.9 80.86 8.04 15.39 34.7 23.06664258 21.16412058
60 0 29 1997 1998 6 16 27 1 20.7 80 8 14.7 NA 20.07286726 16.97557068
60 0 29 1997 2000 5 24 27 3 NA 81.86 8.56 15.49 36.3 21.65802392 16.35451008
60 0 29 1997 2002 8 13 27 5 NA 81 8.63 15.25 34.5 23.33816617 20.11765394
62 0 27 1997 1998 6 16 27 1 19 80 8.1 14 30.6 20.53825699 15.57947368
63 0 27 1997 2000 5 15 27 3 18.5 82 8.2 14 30 NA 16.57317109
63 0 27 1997 1999 7 26 27 2 18.7 81.86 8.04 14.49 30.2 21.12155297 18.83533913
64 1 27 1996 1997 7 7 27 1 18.7 78 8.5 14.4 31.4 NA NA
64 1 27 1996 1998 6 18 27 2 18.5 79 8.6 14.1 30.3 NA NA
64 1 27 1996 1998 6 18 27 2 18.5 79 8.5 14.1 NA NA NA
65 0 27 1997 1998 6 18 27 1 18.3 81 8 13.6 NA 19.31890266 18.61907624
65 0 27 1997 1998 6 18 27 1 18.4 80 8.1 13.8 27.4 19.31890266 17.44620303
66 1 26 1998 2000 8 6 27 2 20.1 84 7.9 13.9 31.7 NA NA
67 0 27 1998 2001 7 1 27 3 20.9 82.86 8.36 13.99 37.3 21.96747596 18.30218566
67 0 27 1998 2006 7 13 27 8 20.78 82 8.72 13.86 33.8 20.46142713 19.09633473
67 0 27 1998 2007 5 30 27 9 20.88 83.86 8.36 14.37 37.6 20.89665045 17.87931766
67 0 27 1998 1999 6 5 27 1 20 81.86 8.44 14.49 32.9 21.12155297 19.60790657
67 0 27 1998 2000 8 6 27 2 21.38 84.83 8.49 14.63 37 21.60601768 19.00184202
