dryad_id	sex	sex_cat	area	tarsus	wing.length	body.mass	wing.white
210	0	m	HOR	19.35999985	81.8	11.87999992	43.92000012
211	1	f	HOR	19.19999981	78	13.20000029	15.94999993
212	0	m	NIL	19.80000051	83.33333333	13.83333333	33.69999997
213	0	m	KOL	20.26666705	84	13.13333321	40.66666659
214	1	f	SKO	19.89999962	80.5	15.99999953	11.75
215	1	f	HOR	19.60000038	78	16.70000076	19.59999991
216	0	m	HOR	18.89999962	82	12.39999962	23.59999967
217	1	f	HOR	19	80	14.5	12.19999993
218	1	f	KOL	19.44999981	85	15.9000001	30.75000048
219	0	m	KOL	19.45999985	85.6	13.95999985	62.7800003
220	0	m	KOL	20.60000038	85	12.80000019	23.70000005
221	0	m	ISA	19.70000076	82	12.69999981	26.99999988
222	0	m	HOR	19.16666603	83.66666667	13.29999987	43.73333359
223	1	f	KOL	19.70000076	81	15.19999981	15
224	0	m	EKE	20.26666705	83	14.0666666	61.80000019
225	1	f	EKE	19.26666705	82.33333333	15.5666666	21.13333337
226	1	f	EKE	19.90000025	82.66666667	15.5666666	37.23333311
227	0	m	HOR	19.29999924	81	12.80000019	20.10000038
228	0	m	HOR	19.35000038	83.75	12.92499972	69.72500003
229	1	f	HOR	19.50000048	82.25	14.5250001	18.32500002
230	0	m	HOR	19	81	13	24.60000038
231	1	f	HOR	18.89999962	78	15.5	19.5
232	0	m	SKO	19	82.5	12.79999972	33.05000031
233	0	m	HOR	19.74000015	82.4	12.67999992	57.00000028
234	1	f	NIL	19.79999924	81	14.30000019	21.70000017
235	0	m	HOR	19.55000019	83.75	12.80000019	65.25000036
236	0	m	HOR	19.19999981	82.5	12.84999991	23.04999972
237	0	m	RAP	19.79999924	80	13.19999981	68.09999943
238	1	f	SKO	19.29999924	83	14.10000038	9.599999905
239	0	m	KOL	18.89999962	85	12.80000019	43.09999991
240	1	f	HOR	19.39999962	83	16.39999962	11
241	0	m	HOR	19.00799942	83	13.16000004	38.33999972
242	1	f	NIL	18.60000038	80	16.29999924	15.70000005
243	0	m	KAT	19.60000038	81	13.89999962	19.30000019
244	0	m	RAP	19.42499972	83.4	13.51999989	41.11999998
245	0	m	RAP	19.39999962	85	15	51.69999981
246	0	m	KOL	19.29999924	83	12.39999962	30.99999953
247	0	m	HOR	19.50000048	85.2	12.47999992	57.32000012
248	1	f	HOR	20	80	15.30000019	10
249	0	m	SKO	19.90000025	82.33333333	12.83333365	47.56666676
250	0	m	HOR	20.29999924	86	13.5	56.69999886
251	1	f	WAT	20.10000038	79	14.30000019	16.09999991
252	0	m	LHU	19.15000057	82.5	12.4000001	51.40000069
253	0	m	NIL	NA	NA	NA	NA
254	1	f	KOL	20.25	84	15.9000001	12.05000002
255	0	m	HOR	19.23333359	82.55555556	12.83333333	46.88888884
256	0	m	HOR	20.5	86	14.30000019	29.2999996
257	0	m	HOR	18.63333321	81.66666667	13.16666667	34.7999998
258	1	f	HAL	20	84	14.19999981	16.5
259	1	f	KOL	19.75	82.5	15.85000038	32.09999991
260	1	f	NIL	19	80	15	17.4000001
261	1	f	ISA	19.64999962	78.5	15.09999991	17.4000001
262	0	m	NIL	20	84	13.89999962	36.29999995
263	1	f	EKE	19.70000076	78	15	14.49999964
264	0	m	NIL	19.10000038	83	12.5	65.90000057
265	0	m	RAP	18.10000038	83	12.39999962	39.20000076
266	0	m	RAP	18.20000076	83	12.5	11.50000024
267	0	m	HOR	17.70000076	83	12.80000019	20.59999991
268	0	m	RAP	17.5	83	12.39999962	39.79999971
269	0	m	HAL	19.63333321	86	13.16666667	50.78333364
270	0	m	NIL	19.70000076	84	12.89999962	45.09999943
271	0	m	WAT	19.03333346	85	14.03333346	43.80000051
272	0	m	HAL	19.85000038	82.25	13.1500001	61.72500015
273	1	f	HOR	20	81.5	15.89999962	19.70000005
274	1	f	HOR	19.13333321	82.33333333	14.5	12.06666672
275	0	m	ALU	18.85000038	80	12.14999962	32.85000003
276	0	m	NIL	18.95000029	83.5	12.42499995	41.75000048
277	1	f	HOR	19.23333295	85.66666667	15.19999981	26.63333301
278	1	f	HOR	19.75	82	14.5	11.14999998
279	0	m	ALU	19.70000076	82.33333333	13.10000006	55.633334
280	1	f	KOL	19.89999962	81.25	15.89999986	33.32500005
281	1	f	HOR	19.66666667	82.33333333	16.26666641	23.63333321
282	0	m	HOR	18.79999924	82	12.30000019	33.80000019
283	1	f	KOL	20.70000076	84	14.5	9.100000142
284	0	m	HOR	19.10000038	81	12.30000019	28
285	1	f	HOR	18.69999981	81.83333333	15.16666667	24.45000017
286	0	m	HOR	18.96666591	82	12.96666654	43.86666656
287	0	m	HOR	18.94999981	81.5	11.9000001	45
288	1	f	KOL	19.20000076	83	15	13.0999999
289	1	f	HOR	19.67499972	80	14.87499976	17.12499982
290	1	f	HOR	18.82500029	81.75	15.57500005	22.32499984
291	1	f	SKO	19.59999943	84.5	15.37499976	16.50000003
292	1	f	NIL	19	83	14.69999981	19.09999991
293	1	f	HAL	19.65000057	83	15.99999953	11.50000006
294	1	f	HOR	19	80	14.30000019	7.800000012
295	0	m	HOR	19.60000038	84	12.30000019	49.89999962
296	1	f	KOL	18.89999962	79	15.10000038	11.4000001
297	0	m	HOR	19.51428604	84	13.07142871	47.95714261
298	0	m	HOR	19.19999949	82	12.63333321	66.09999943
299	0	m	KOL	19.12500019	83.5	13.04999991	47.90000017
300	0	m	SKO	19.17999992	84	12.86000004	55.53999996
301	0	m	NIL	19.76666705	83.33333333	13.36666679	59.29999924
302	0	m	NIL	18.29999924	84	13.19999981	43.20000029
303	1	f	KOL	19.75	82.5	15.25	28.20000017
304	1	f	KOL	19.5	82	15.19999981	17.4000001
305	1	f	HOR	18.5	82	13.5	10.59999991
306	0	m	HOR	18.73333359	83	12.83333302	57.40000041
307	1	f	HAL	17.89999962	81.5	13.64999962	22.74999976
308	0	m	KOL	19.80999947	81.5	12.3000001	46.10999971
309	1	f	ISA	19.05000019	79.5	13.4000001	13.89999986
310	1	f	ISA	18.83333333	81	14.39999994	30.9333334
311	0	m	NIL	19.93333308	82.66666667	13	36.13333352
312	0	m	ISA	19.32500029	84.75	12.70000005	58.19999969
313	0	m	HOR	18.59999943	83	11.79999972	43.29999948
314	0	m	KOL	19.05000019	83	12.5	34.19999981
315	0	m	KOL	18.79999924	83	11.39999962	62.90000057
316	1	f	HOR	20.06666629	82	13.96666686	18.46666642
317	1	f	KOL	18.70000013	82	14.79999987	14.96666646
318	0	m	LOT	19.34999943	84	13.69999981	45.89999938
319	1	f	LOT	19.20000076	79	13.30000019	13.20000029
320	1	f	KOL	20.06666692	83	16.53333346	14.46666686
321	1	f	RAP	19.76666641	79.33333333	15	30.39999978
322	1	f	HAL	19.46666654	79.66666667	14.96666654	24.76666661
323	1	f	HAL	19.80000051	81.33333333	15.43333308	18.80000017
324	1	f	RAL	20.10000038	82.5	15.59999991	35.44999957
325	1	f	VIC	18.99999937	80	15.0666666	29.56666696
326	0	m	HOR	19.64000015	82.8	13	37.59999997
327	0	m	KOL	19.60000038	84	13.5	20.19999981
328	0	m	HOR	19.57500029	86.25	14.67500019	46.70000017
329	0	m	SKO	19.54999924	83.5	13.10000038	41.30000067
330	1	f	KOL	20.06666692	84	16.80000019	22.23333335
331	0	m	HOR	19.20000076	85	13.5	47.90000009
332	1	f	HOR	19.89999962	82.66666667	16.20000029	15.06666676
333	1	f	KOL	19.70000076	84	15.45000029	25.45000017
334	1	f	ALU	19.56666692	83	14.20000013	36.60000007
335	1	f	KOL	18.70000076	80	14.19999981	14.99999976
336	1	f	HOR	19.1500001	81.5	16.12500024	17.47500002
337	1	f	HOR	19.63333321	79	14.53333314	16.39999998
338	1	f	KOL	19.76666641	84	15.0666666	26.33333345
339	1	f	ALU	19.29999924	81	16.10000038	11.79999959
340	1	f	HOR	19.52499962	80.5	15.22500014	25.50000012
341	1	f	HOR	19.90000057	81	15.95000029	28.84999991
342	1	f	HOR	19.53999977	79.6	14.74000015	24.43999982
343	1	f	HOR	19.64999962	82.5	16.25	18.44999999
344	1	f	KOL	20.19999981	81	16.19999981	8.949999929
345	1	f	HOR	19.27499962	81	15.0250001	14.02500001
346	0	m	NIL	19.60000038	82	13.5	40.39999986
347	1	f	KOL	19.60000038	84.5	16.04999972	29.50000015
348	1	f	HOR	19.90000025	81	14.76666673	12.43333324
349	1	f	KOL	18.30000019	79	14.59999991	14.69999993
350	0	m	KOL	19.55000019	82.5	12.75	45.09999997
351	0	m	KOL	19.83333333	85.66666667	12.9333334	64.96666622
352	0	m	HOR	19.89999962	81	12.5	52.20000076
353	0	m	HOR	19.625	85.125	13.82500005	53.29999996
354	1	f	KOL	19.76666641	80	15.46666654	14.80000015
355	0	m	SKO	19.2	82.8	12.76000004	53.16000032
356	0	m	HOR	20.20000013	84.33333333	13.03333314	66.96666591
357	1	f	ALU	20	81	13.30000019	8.700000227
358	1	f	KOL	19.82500029	82.25	14.32499981	25.65000001
359	0	m	KOL	18.89999962	81	NA	48.29999972
360	1	f	HOR	18.70000076	82	16.10000038	20.40000033
361	0	m	HOR	19.44999981	86.5	11.75	47.34999955
362	1	f	HOR	19.70000076	82	15.80000019	30.80000019
363	1	f	KOL	20.39999962	80	14	11.70000029
364	0	m	KOL	19.70000076	83	12.89999962	20.79999971
365	1	f	KOL	19.04999924	82	14.34999943	15.85000003
366	0	m	KOL	19.25	77.5	12.35000038	34.10000003
367	1	f	HOG	19.29999924	78	14.30000019	13.4000001
368	0	m	HOR	18.89999962	85	12	49.49999976
369	1	f	RAP	20.20000076	80	16.10000038	14.00000024
370	0	m	HOR	19.5	84	12.89999962	70.89999962
371	1	f	HOR	20.34999943	82	14.55000019	21.4000001
372	0	m	HOR	18.86666743	83.66666667	13.26666641	43.09999975
373	0	m	R_L	19.65000057	83.5	13.25	36.39999974
374	1	f	KOL	19.66666603	84	15.9333334	22.26666657
375	0	m	KOL	18.89999962	82	13	9.600000382
376	1	f	HOR	19.79999924	83	15.69999981	17.95000017
377	1	f	HOR	18.60000038	80	16	5.799999952
378	1	f	HOR	19.60000038	82.5	15.30000019	28.25
379	0	m	WAT	20.63999977	83.6	13.98000008	55.18000006
380	0	m	EKE	19.4800003	82.4	11.95000005	54.39999991
381	1	f	HAL	19.625	83.25	14.4000001	30.32500032
382	1	f	HAL	21.29999924	78	17.29999924	12.39999962
383	1	f	BOR	20.39999962	81	16.20000076	15.79999995
384	0	m	RAL	19.58333302	85.33333333	13.58999996	35.55000007
385	0	m	BOR	19.875	85	13.29999987	47.70000005
386	0	m	HAL	19.83333333	82.33333333	12.80000019	36.73333311
387	0	m	NIL	17.70000044	82.5	12.25000016	52.53333338
