country,year,ring,age,sex,ltarsus,lwing,tail,brightness.belly,laying.date
RO,2013,X053032,0,2,11.94,126,88,NA,40
RO,2013,R008469,1,1,11.18,122,105.5,NA,29
RO,2013,X052263,1,1,11.13,126,106,NA,31
RO,2013,X053033,0,2,11.4,124,86.3,NA,36
RO,2013,X052059,1,1,10.9,125,108,NA,30
RO,2013,X053041,0,2,11.5,121,87.5,NA,43
RO,2013,X053045,0,2,10.79,120,86.5,NA,43
RO,2013,R008334,1,1,11.05,126,111.5,NA,33
RO,2013,R008332,1,1,10.64,122,112,NA,34
RO,2013,X053046,0,2,11.24,120,84,NA,45
RO,2013,X052042,1,1,10.98,127,111,NA,34
RO,2013,X052220,1,1,11.07,127,104.8,NA,35
RO,2013,R008331,1,1,10.68,123.5,101,NA,40
RO,2013,X052035,1,1,10.95,128,101,NA,35
RO,2013,X052077,1,1,11.2,127,112.5,NA,35
RO,2013,X053071,0,1,10.41,119.5,98,NA,37
RO,2013,X053072,0,2,12.28,125.5,91.3,NA,47
RO,2013,R008312,1,1,11.07,125,105.3,NA,37
RO,2013,R008349,1,1,11.72,125.5,108,NA,37
RO,2013,R008839,1,1,11.42,125,98.5,NA,37
RO,2013,R008823,1,1,10.89,126,106.5,NA,37
RO,2013,R008378,1,1,11.26,123,110.3,NA,38
RO,2013,X052066,1,1,11.22,121,104,NA,39
RO,2013,R008004,0,2,10.96,119.5,82.5,NA,50
RO,2013,R008005,0,2,11.52,124,91.5,NA,51
RO,2013,R008006,0,1,10.48,127,115,NA,44
RO,2013,R008649,1,1,11.83,125,110.5,NA,39
RO,2013,R008333,1,1,10.77,128,120.5,NA,40
RO,2013,X054859,1,1,11.08,123,103.5,NA,40
RO,2013,R008640,1,1,11.33,124,109,NA,40
RO,2013,R008399,1,1,10.85,125,100,NA,39
RO,2013,R008034,0,2,11.67,124,92,NA,54
RO,2013,R008035,0,2,11.3,122,89.8,NA,53
RO,2013,R008036,0,2,10.47,117,87.5,NA,52
RO,2013,R008037,0,2,10.84,122.5,86,NA,54
RO,2013,R008038,0,2,10.81,125,85,NA,52
RO,2013,R008353,1,1,10.8,127,117.5,NA,52
RO,2013,R008344,1,1,11.73,130,137,NA,41
RO,2013,R008039,0,1,10.94,126,109,NA,34
RO,2013,X052041,1,1,10.33,122,109,NA,36
RO,2013,R008683,1,1,10.83,127.5,109,NA,43
RO,2013,R008049,0,2,10.73,124,82,NA,55
RO,2013,R008050,0,2,11.62,129,95,NA,54
RO,2013,X052224,1,1,11.64,129.5,117,NA,45
RO,2013,R008476,1,1,11.19,134,122,NA,43
RO,2013,R008054,0,1,10.88,122,105,NA,47
RO,2013,R008060,0,2,11.54,123,90.5,NA,62
RO,2013,R008062,0,2,11.29,120,81,NA,52
RO,2013,R008072,0,2,11.14,127,95.5,NA,65
RO,2013,R008646,1,2,11.13,128,96,NA,64
RO,2013,R008086,0,1,10.99,127,121,NA,51
RO,2013,R008087,0,1,10.63,127,108,NA,53
RO,2013,R008840,1,1,10.76,126,97,NA,52
RO,2013,R008091,0,2,11.17,125,101,NA,67
RO,2013,R008092,0,2,10.9,119,81.5,NA,67
