BANDNO,NESTNO,YEAR,SEX,PATERNITY,TARSUS,HEMATOCRIT,PHA,MASS
234022256,49,2004,MALE,WITHIN,18.4,.,0.130,9.6
234022257,49,2004,FEMALE,WITHIN,19.2,.,.,8.6
234022801,50,2004,MALE,WITHIN,19.4,.,0.017,.
234022802,50,2004,FEMALE,WITHIN,19.2,.,0.147,.
234022803,50,2004,MALE,WITHIN,19.0,.,0.123,.
234022804,50,2004,MALE,WITHIN,19.1,.,0.067,.
234022805,50,2004,MALE,WITHIN,19.3,.,0.287,.
234022806,50,2004,FEMALE,WITHIN,19.0,.,0.127,.
234022807,50,2004,MALE,WITHIN,19.6,.,0.217,.
234022808,50,2004,MALE,WITHIN,19.3,.,0.000,.
237034044,51,2004,FEMALE,WITHIN,17.8,.,1.190,9.2
237034045,51,2004,FEMALE,WITHIN,18.5,.,0.843,10.2
237034046,51,2004,MALE,EXTRA,19.1,.,1.067,10.6
237034047,51,2004,MALE,WITHIN,16.6,.,1.203,7.3
237034048,51,2004,FEMALE,EXTRA,18.9,.,0.783,10.4
237034049,51,2004,FEMALE,WITHIN,19.2,.,1.077,9.4
237034050,51,2004,MALE,EXTRA,18.3,.,1.003,11.1
237034057,52,2004,FEMALE,WITHIN,.,.,0.713,10.6
237034058,52,2004,MALE,WITHIN,.,.,0.413,11.3
237034059,52,2004,FEMALE,WITHIN,.,.,0.530,11.4
237034060,52,2004,FEMALE,WITHIN,.,.,0.777,10.9
237034061,52,2004,FEMALE,WITHIN,.,.,0.840,10.8
237035439,53,2004,MALE,WITHIN,.,42,0.660,9.9
237035440,53,2004,MALE,WITHIN,.,42,0.753,10.0
237035441,53,2004,MALE,.,.,41,0.650,9.7
237035442,53,2004,MALE,WITHIN,.,51,0.640,9.5
237035443,53,2004,FEMALE,WITHIN,.,42,0.700,9.8
237034036,54,2004,FEMALE,EXTRA,17.5,.,1.333,9.3
237034037,54,2004,MALE,EXTRA,17.7,.,0.853,10.4
237034038,54,2004,FEMALE,EXTRA,17.5,.,1.240,10.2
237034039,54,2004,FEMALE,EXTRA,17.4,.,0.750,9.7
237034040,54,2004,MALE,EXTRA,18.7,.,1.110,11.0
237034041,54,2004,FEMALE,EXTRA,17.7,.,0.747,10.3
237034279,55,2004,FEMALE,WITHIN,.,.,1.253,10.2
237034280,55,2004,FEMALE,WITHIN,.,.,1.223,10.3
237034281,55,2004,FEMALE,EXTRA,.,.,0.747,9.5
237034282,55,2004,MALE,WITHIN,.,.,1.097,10.1
237034283,55,2004,FEMALE,EXTRA,.,.,1.080,9.5
237034284,55,2004,MALE,WITHIN,.,.,1.250,10.7
237035513,56,2004,FEMALE,WITHIN,17.8,42,0.687,8.6
237035514,56,2004,FEMALE,WITHIN,18.0,51,0.947,9.2
237035515,56,2004,MALE,WITHIN,18.0,45,0.287,8.9
237035516,56,2004,MALE,WITHIN,19.0,34,0.490,5.9
237034261,57,2004,MALE,WITHIN,19.7,.,1.240,10.5
237034262,57,2004,MALE,WITHIN,18.2,.,1.280,9.7
237034263,57,2004,MALE,WITHIN,18.5,.,1.277,9.1
237034264,57,2004,MALE,WITHIN,18.8,.,0.930,10.0
237034265,57,2004,MALE,WITHIN,19.2,.,0.997,10.7
237034854,58,2004,MALE,WITHIN,18.9,.,1.150,10.3
237034855,58,2004,FEMALE,WITHIN,19.2,.,0.880,9.6
237034856,58,2004,FEMALE,WITHIN,17.2,.,0.863,8.2
237034857,58,2004,MALE,WITHIN,19.5,.,1.143,9.1
237034858,58,2004,FEMALE,WITHIN,18.5,.,0.617,9.9
237034859,58,2004,FEMALE,WITHIN,18.0,.,1.000,9.0
237034860,58,2004,MALE,WITHIN,19.4,.,0.983,9.8
232024778,59,2004,MALE,EXTRA,18.2,.,1.800,10.3
232024779,59,2004,FEMALE,WITHIN,18.1,.,0.700,10.4
232024780,59,2004,MALE,WITHIN,19.0,.,0.787,10.3
232024781,59,2004,MALE,WITHIN,19.1,.,1.640,10.3
232024782,59,2004,MALE,.,18.7,.,1.373,9.9
232024783,59,2004,MALE,WITHIN,19.0,.,1.557,10.2
232024784,59,2004,FEMALE,WITHIN,18.8,.,1.087,9.8
237035407,60,2004,.,WITHIN,.,45,0.900,9.9
237035408,60,2004,FEMALE,EXTRA,.,43,0.527,9.6
237035409,60,2004,MALE,.,.,38,0.777,10.0
237035410,60,2004,.,EXTRA,.,44,0.860,9.5
237035411,60,2004,FEMALE,EXTRA,.,35,0.810,10.1
237035412,60,2004,FEMALE,WITHIN,.,44,0.747,9.7
237035444,61,2004,MALE,WITHIN,.,43,0.717,9.5
237035445,61,2004,MALE,WITHIN,.,43,0.543,10.3
237035446,61,2004,FEMALE,EXTRA,.,45,0.630,10.2
237035447,61,2004,FEMALE,WITHIN,.,42,0.593,8.8
237035448,61,2004,FEMALE,WITHIN,.,40,0.640,10.0
232024792,62,2004,MALE,WITHIN,17.8,.,1.027,9.9
232024793,62,2004,FEMALE,WITHIN,17.3,.,0.807,10.4
232024794,62,2004,FEMALE,WITHIN,18.5,.,0.573,10.2
232024795,62,2004,FEMALE,EXTRA,18.2,.,1.127,10.7
232024796,62,2004,MALE,WITHIN,18.5,.,0.540,10.7
232024797,62,2004,MALE,WITHIN,19.4,.,1.147,11.0
232024798,62,2004,FEMALE,WITHIN,18.5,.,0.630,10.9
234022292,63,2004,MALE,WITHIN,18.7,.,1.187,10.1
234022293,63,2004,MALE,WITHIN,19.5,.,0.920,10.3
234022294,63,2004,MALE,WITHIN,19.4,.,0.787,9.9
234022295,63,2004,MALE,WITHIN,18.7,.,0.757,8.4
234022296,63,2004,FEMALE,WITHIN,18.7,.,0.943,9.2
234022297,63,2004,FEMALE,WITHIN,18.3,.,1.387,9.6
237034759,64,2004,MALE,.,18.4,.,0.717,9.9
237034760,64,2004,FEMALE,.,17.9,.,0.057,10.7
237034761,64,2004,MALE,.,18.1,.,1.040,10.7
237034762,64,2004,FEMALE,.,19.0,.,0.947,10.6
237034763,64,2004,FEMALE,.,19.0,.,0.847,9.9
237034764,64,2004,.,.,19.4,.,0.883,10.9
234022264,65,2004,MALE,WITHIN,18.5,.,0.093,9.8
234022265,65,2004,MALE,WITHIN,18.3,.,0.340,10.1
234022266,65,2004,MALE,WITHIN,18.0,.,0.307,9.9
234022267,65,2004,FEMALE,WITHIN,17.9,.,0.080,9.2
234022268,65,2004,MALE,WITHIN,18.6,.,0.203,10.7
234022269,65,2004,MALE,WITHIN,17.5,.,0.587,10.2
237035449,66,2004,FEMALE,WITHIN,.,44,1.117,10.0
237035450,66,2004,FEMALE,WITHIN,.,26,0.790,9.5
237035451,66,2004,FEMALE,WITHIN,.,37,0.757,9.8
237035452,66,2004,FEMALE,WITHIN,.,.,0.903,9.8
237035453,66,2004,MALE,WITHIN,.,32,0.597,9.3
237035454,66,2004,MALE,WITHIN,.,38,0.727,8.3
237034273,67,2004,MALE,WITHIN,18.6,.,0.923,9.4
237034274,67,2004,MALE,WITHIN,17.3,.,0.877,9.4
237034275,67,2004,MALE,WITHIN,18.4,.,1.163,9.6
237034276,67,2004,MALE,WITHIN,18.6,.,0.900,11.1
237034277,67,2004,MALE,WITHIN,18.7,.,1.123,10.1
237034278,67,2004,MALE,EXTRA,19.6,.,0.557,10.5
234022270,68,2004,FEMALE,WITHIN,18.4,.,0.033,10.8
234022271,68,2004,FEMALE,WITHIN,18.6,.,0.810,10.5
234022272,68,2004,FEMALE,WITHIN,18.3,.,0.597,10.3
234022273,68,2004,FEMALE,WITHIN,18.3,.,0.217,9.6
