NEST,CS,E1D,BD0,NY4,NY11,BANDNUM,RECRUIT,MASS11,TARSUS11,HCT11,BLEED_TIME,BLEED_TIME2,SAMPLE_TIME_SEC,PLASMA_VOL_uL,PLASMA_CORT_ngml,LOG_CORT_NGML,CHANGE_IN_CORT_ngml,LOG_CHANGE_ngml,EIA_PLATE,NFATE,TDAY,FEM_TREAT,MWS_INITIATED,MW_DAYS,SWAP_NEST,NESTLING_TREAT,BIOL_MOTHER,BIOL_MOTHER_MASS,BIOL_MOTHER_TARSUS,FBAND,FEM_MASS_DAY,FEM_MASS_HR,FEM_MASS,FEM_TARSUS,NOTES
U 16-1,7,140,160,7,7,197036965,0,10.5,18.7,41,0,1,160,10,1.347830045,0.370666656,0,1,1,success,175,CON,133,7,V 16-1,NAT,270046677,14.5,20.3,197035850,153,9,12.2,18.2,.
U 14-1,7,134,152,7,7,197036547,0,10.3,19.7,.,.,.,.,.,.,.,.,.,.,success,165,CON,131,3,Y 13-1,NAT,197035842,12.9,19,270044456,146,8,12.6,18.8,.
U 14-1,7,134,152,7,7,197036546,0,10.2,19.8,.,.,.,.,.,.,.,.,.,.,success,165,CON,131,3,Y 13-1,NAT,197035842,12.9,19,270044456,146,8,12.6,18.8,.
U 14-1,7,134,152,7,7,197036545,0,10.1,19.7,27,30,3,.,31,27.05054133,1.447941247,26.38828513,1.560961589,5,success,165,CON,131,3,Y 13-1,NAT,197035842,12.9,19,270044456,146,8,12.6,18.8,.
U 14-1,7,134,152,7,7,197036544,0,10.6,19.7,.,.,.,.,.,.,.,.,.,.,success,165,CON,131,3,Y 13-1,NAT,197035842,12.9,19,270044456,146,8,12.6,18.8,.
U 14-1,7,134,152,7,7,197036543,0,10.1,19.1,39,15,2,.,22,16.07454081,1.232349033,16.07454081,1.416216669,5,success,165,CON,131,3,Y 13-1,NAT,197035842,12.9,19,270044456,146,8,12.6,18.8,.
U 14-1,7,134,152,7,7,197036542,0,9.7,18.8,.,.,.,.,.,.,.,.,.,.,success,165,CON,131,3,Y 13-1,NAT,197035842,12.9,19,270044456,146,8,12.6,18.8,.
U 14-1,7,134,152,7,7,197036541,0,10,19,24,0,1,75,28,0.662256209,0.220697964,0,1,5,success,165,CON,131,3,Y 13-1,NAT,197035842,12.9,19,270044456,146,8,12.6,18.8,.
U  7-1,7,143,161,6,6,197037071,0,10.5,19.3,.,.,.,.,.,.,.,.,.,.,success,175,CON,140,3,YB 5-1,NAT,197035876,12.5,18.6,197035857,155,8,12.2,18.7,.
U  7-1,7,143,161,6,6,197037070,0,10.2,19.1,.,.,.,.,.,.,.,.,.,.,success,175,CON,140,3,YB 5-1,NAT,197035876,12.5,18.6,197035857,155,8,12.2,18.7,.
U  7-1,7,143,161,6,6,197037069,0,10,18.3,.,.,.,.,.,.,.,.,.,.,success,175,CON,140,3,YB 5-1,NAT,197035876,12.5,18.6,197035857,155,8,12.2,18.7,.
U  7-1,7,143,161,6,6,197037068,0,10.3,19,44,15,2,.,20,20.59499959,1.3343532,20.59499959,1.485650452,3,success,175,CON,140,3,YB 5-1,NAT,197035876,12.5,18.6,197035857,155,8,12.2,18.7,.
U  7-1,7,143,161,6,6,197037067,0,10.5,19.5,40,30,3,.,21,41.06911634,1.62396339,39.85860933,1.697740161,5,success,175,CON,140,3,YB 5-1,NAT,197035876,12.5,18.6,197035857,155,8,12.2,18.7,.
U  7-1,7,143,161,6,6,197037066,0,10.1,19.4,37.7,0,1,110,37,1.210507007,0.344491896,0,1,3,success,175,CON,140,3,YB 5-1,NAT,197035876,12.5,18.6,197035857,155,8,12.2,18.7,.
S 27-1,6,146,162,6,6,197037082,0,10,19.2,.,.,.,.,.,.,.,.,.,.,success,178,CON,140,6,Q 15-1,NAT,197035853,11,18.6,275085106,140,7,12.3,18.4,.
S 27-1,6,146,162,6,6,197037081,0,9.7,18.3,.,.,.,.,.,.,.,.,.,.,success,178,CON,140,6,Q 15-1,NAT,197035853,11,18.6,275085106,140,7,12.3,18.4,.
S 27-1,6,146,162,6,6,197037080,0,9.7,19,.,.,.,.,.,.,.,.,.,.,success,178,CON,140,6,Q 15-1,NAT,197035853,11,18.6,275085106,140,7,12.3,18.4,.
S 27-1,6,146,162,6,6,197037079,0,10.3,19.1,42.3,15,2,.,22,13.1448663,1.150598847,13.1448663,1.364454676,2,success,178,CON,140,6,Q 15-1,NAT,197035853,11,18.6,275085106,140,7,12.3,18.4,.
S 27-1,6,146,162,6,6,197037078,0,8.9,18.4,38,30,3,.,11,26.95283128,1.446425803,25.18773047,1.546391257,2,success,178,CON,140,6,Q 15-1,NAT,197035853,11,18.6,275085106,140,7,12.3,18.4,.
S 27-1,6,146,162,6,6,197037077,0,9.9,19,35,0,1,135,11,1.765100814,0.44171097,0,1,2,success,178,CON,140,6,Q 15-1,NAT,197035853,11,18.6,275085106,140,7,12.3,18.4,.
R 26-1,6,133,153,7,7,197036707,0,10.2,18.8,43,30,3,.,17,42.80477912,1.641521495,41.87270689,1.714938912,5,success,167,CON,129,4,S 21-1,NAT,197035558,.,19.3,197036115,149,9,12,19.6,.
R 26-1,6,133,153,7,7,197036706,0,10.3,19.1,37.7,15,2,.,17,8.745213598,0.988791363,8.745213598,1.272890393,1,success,167,CON,129,4,S 21-1,NAT,197035558,.,19.3,197036115,149,9,12,19.6,.
R 26-1,6,133,153,7,7,197036705,0,10.5,18.2,.,.,.,.,.,.,.,.,.,.,success,167,CON,129,4,S 21-1,NAT,197035558,.,19.3,197036115,149,9,12,19.6,.
R 26-1,6,133,153,7,7,197036704,0,10.4,18.5,.,.,.,.,.,.,.,.,.,.,success,167,CON,129,4,S 21-1,NAT,197035558,.,19.3,197036115,149,9,12,19.6,.
R 26-1,6,133,153,7,7,197036703,0,10.1,18.3,.,.,.,.,.,.,.,.,.,.,success,167,CON,129,4,S 21-1,NAT,197035558,.,19.3,197036115,149,9,12,19.6,.
R 26-1,6,133,153,7,7,197036702,0,10.6,18.8,.,.,.,.,.,.,.,.,.,.,success,167,CON,129,4,S 21-1,NAT,197035558,.,19.3,197036115,149,9,12,19.6,.
R 26-1,6,133,153,7,7,197036701,0,10.7,18.2,41,0,1,165,17,0.932072228,0.286023358,0,1,1,success,167,CON,129,4,S 21-1,NAT,197035558,.,19.3,197036115,149,9,12,19.6,.
R 24-1,8,132,153,7,7,197036578,0,10.4,19,.,.,.,.,.,.,.,.,.,.,success,167,CON,129,3,T 15-1,NAT,266056759,12.6,19.4,270046645,146,9,12.1,19.6,.
R 24-1,8,132,153,7,7,197036577,0,11.1,19.3,.,.,.,.,.,.,.,.,.,.,success,167,CON,129,3,T 15-1,NAT,266056759,12.6,19.4,270046645,146,9,12.1,19.6,.
R 24-1,8,132,153,7,7,197036576,0,10.6,19.2,.,.,.,.,.,.,.,.,.,.,success,167,CON,129,3,T 15-1,NAT,266056759,12.6,19.4,270046645,146,9,12.1,19.6,.
R 24-1,8,132,153,7,7,197036575,0,10.8,18.9,33,30,3,.,23,5.767380586,0.830420601,5.445361919,1.188798089,5,success,167,CON,129,3,T 15-1,NAT,266056759,12.6,19.4,270046645,146,9,12.1,19.6,.
R 24-1,8,132,153,7,7,197036574,0,10.9,19.5,38,15,2,.,23,6.510261815,0.875655077,6.510261815,1.21775396,5,success,167,CON,129,3,T 15-1,NAT,266056759,12.6,19.4,270046645,146,9,12.1,19.6,.
