NestBox,FemaleNumber,YoungOrigin,MWStartDate,MWEndDate,MaternalEffect,E1D,BD0,BD2Mass,BD4Mass,BD4YgN,BD11Mass,BD11Tarsus,BD11Wing,NestlingNumber,RECRUIT,MaternalID,MadeToFledging,TimeInNest
F20-1,197036419,EXP,179,185,CON,180,198,2.8,5.1,6,9.5,19.4,34.5,197036798,0,197036311,210,12
F20-1,197036419,CON,179,185,CON,180,197,2,4,6,10,18.3,29.5,197036799,0,197036419,210,13
F20-1,197036419,CON,179,185,CON,180,197,2.4,4.4,6,8.9,17.9,32.5,197036800,0,197036419,210,13
F20-1,197036419,CON,179,185,CON,180,197,2.4,5.1,6,9.8,18.4,34,197036796,0,197036419,210,13
O1-2,197036017,EXP,170,185,EXP,179,198,1.4,.,4,.,.,.,.,.,197036017,.,.
O1-2,197036017,EXP,170,185,EXP,179,198,.,.,4,.,.,.,.,.,197036017,.,.
O1-2,197036017,EXP,170,185,EXP,179,198,1.9,4.1,4,9.9,19.4,31,275085997,0,197036017,212,14
O1-2,197036017,CON,179,185,EXP,181,197,2.2,4,4,10.4,18.6,28.5,275085996,0,197036123,212,15
O1-2,197036017,CON,179,185,EXP,181,197,3,5.7,4,11.1,19,32.5,275085994,0,197036123,212,15
O1-2,197036017,CON,179,185,EXP,181,197,3,5.2,4,10,18.1,31,275085995,0,197036123,212,15
I28-2,197036123,EXP,170,185,CON,179,198,2.6,5,5,9.1,18.7,30.5,197037473,0,197036017,213,15
I28-2,197036123,EXP,170,185,CON,179,198,2.5,5.1,5,9.2,19,30.5,197037474,0,197036017,213,15
I28-2,197036123,EXP,170,185,CON,179,198,2.8,5.1,5,8.7,18.5,32,197037471,0,197036017,213,15
I28-2,197036123,CON,179,185,CON,181,197,3.8,5.9,5,9.9,18.5,34.5,197037470,0,197036123,213,16
I28-2,197036123,CON,179,185,CON,181,197,3.2,5.7,5,10.4,19.1,32,197037472,0,197036123,213,16
Q4-1,270046929,EXP,179,185,EXP,180,198,1.9,3.5,5,9.2,18.2,31,197037478,0,270046929,214,16
Q4-1,270046929,EXP,179,185,EXP,180,198,.,.,5,.,.,.,.,.,270046929,.,.
Q4-1,270046929,EXP,179,185,EXP,180,198,3,5.4,5,11,18.5,34,197037475,0,270046929,214,16
Q4-1,270046929,CON,182,187,EXP,182,199,1.4,1.9,5,8.6,17.1,24,197037476,0,270046566,214,15
Q4-1,270046929,CON,182,187,EXP,182,199,2,3.8,5,10.1,18.6,33,197037479,0,270046566,214,15
Q4-1,270046929,CON,182,187,EXP,182,199,2.4,4.3,5,10.6,18.9,30.5,197037477,0,270046566,214,15
M3-1,270046566,EXP,179,185,CON,180,198,3.2,5.5,6,9.9,18.8,37,197037375,0,270046929,214,16
M3-1,270046566,EXP,179,185,CON,180,198,3.4,5.5,6,10.1,19.5,36.5,197037376,0,270046929,214,16
M3-1,270046566,EXP,179,185,CON,180,198,3.2,4.9,6,9.8,19.4,34.5,197037379,0,270046929,214,16
M3-1,270046566,CON,182,187,CON,182,199,3.3,5.5,6,10.4,18.4,35,197037377,0,270046566,214,15
M3-1,270046566,CON,182,187,CON,182,199,3.1,5.1,6,9.4,18.5,35,197037374,0,270046566,214,15
M3-1,270046566,CON,182,187,CON,182,199,2.5,4.8,6,9.4,17.8,33,197037378,0,270046566,214,15
E24-1,197036401,EXP,179,187,EXP,183,198,2.7,4.9,6,9.8,19.1,31.5,197037253,0,197036401,215,17
E24-1,197036401,EXP,179,187,EXP,183,198,2.9,5.4,6,10.6,19.4,33.5,197037249,0,197036401,215,17
E24-1,197036401,EXP,179,187,EXP,183,198,2.8,5,6,10.2,19.8,33,197037248,0,197036401,215,17
E24-1,197036401,CON,182,187,EXP,182,199,2.2,4,6,10.5,19.3,30,197037252,0,275085792,215,16
E24-1,197036401,CON,182,187,EXP,182,199,2.4,4.1,6,9.3,19.4,30,197037250,0,275085792,215,16
E24-1,197036401,CON,182,187,EXP,182,199,2.2,4.1,6,9.7,19.1,33,197037251,0,275085792,215,16
F26-1,275085792,EXP,179,187,CON,183,198,1.7,3.4,6,10.5,19.6,28,197037255,0,197036401,216,18
F26-1,275085792,EXP,179,187,CON,183,198,2.1,4.2,6,10.4,19.1,31,197037259,0,197036401,216,18
F26-1,275085792,EXP,179,187,CON,180,199,1.6,3.5,6,9.3,18.6,27,197037254,0,197035917,216,17
F26-1,275085792,CON,182,187,CON,182,199,1.4,3,6,9.5,18.5,24,197037257,0,275085792,216,17
F26-1,275085792,CON,182,187,CON,182,199,2,4.3,6,9.5,19.2,29.5,197037258,0,275085792,216,17
F26-1,275085792,CON,182,187,CON,182,199,1.8,3.2,6,8.7,18.2,28,197037256,0,275085792,216,17
J27-2,197035917,EXP,176,186,EXP,180,199,3.2,5.8,6,10.2,18.9,35,197037386,0,197035917,214,15
J27-2,197035917,EXP,176,186,EXP,180,199,3.3,5.4,6,9.7,18.4,35,197037390,0,197035917,214,15
J27-2,197035917,EXP,176,186,EXP,180,199,2.9,4.9,6,9.6,18.9,35,197037388,0,197035917,214,15
J27-2,197035917,CON,179,186,EXP,180,199,2.7,4.6,6,9.2,18.2,33,197037391,0,275085795,214,15
J27-2,197035917,CON,179,186,EXP,180,199,2.8,4.5,6,9.1,17.8,33,197037387,0,275085795,214,15
J27-2,197035917,CON,179,186,EXP,180,199,2.6,4.7,6,10,18.5,34.5,197037389,0,275085795,214,15
L2-1,275085795,EXP,176,186,CON,180,199,2.8,5.3,6,10.7,18.6,35,197037385,0,197035917,214,15
