habitat,fledg,sex,date,hour,age,wing,mass,TD,obs,tail,id
rur,4,2,16/05/13,10:15,1,74,17.2,18.89,CL,61,1735
rur,8,1,17/05/13,09:00,1,78,18.2,19.64,CL,,1737
rur,10,2,19/05/13,10:40,2,79,17,19.2,CL,,1740
rur,7,1,20/05/13,09:30,1,80,18.2,19.77,CL,62,1748
rur,8,1,12/05/13,,2,75,17,20.04,PG,65,1751
rur,5,1,16/05/14,12:35,2,75,18.1,19.93,VD,66,1751
rur,0,1,13/05/13,10:45,2,75,18.1,20.35,PG,65,1760
rur,0,2,17/05/13,10:25,2,74,17.3,19.55,PG,,1761
rur,5,1,20/05/13,09:50,1,75,17.6,19.78,PG,,1769
rur,9,1,09/05/14,12:59,2,73,17.2,19.85,AC,66.5,1769
rur,0,2,21/05/13,09:30,1,73,17,19.76,PG,57,1785
rur,0,1,21/05/13,09:45,1,75,17.6,19.73,PG,60,1789
rur,8,1,27/05/13,09:05,2,75,17,19.69,PG,68,1792
rur,7,1,20/05/15,16:40,2,77,17,19.91,VD,69,1792
rur,8,2,27/05/13,09:45,1,72,17.7,19.24,PG,58,1801
rur,0,2,24/05/13,11:05,1,72,17.5,19.97,PG,63,1809
rur,7,2,13/05/15,11:50,2,75,17.4,19.99,SP,64.5,1809
rur,6,2,06/05/16,08:44,2,73,17.5,19.89,SP,64,1809
rur,0,1,24/05/13,11:20,2,78,17.5,20.3,PG,66,1823
rur,8,1,06/05/14,08:48,2,77.5,16.7,20.44,AC,67,1823
urb,6,1,02/05/16,15:45,2,80,18.1,20.2,AC,69,1834
urb,0,2,02/05/13,,2,73.5,17,19.4,AG,61.5,1837
urb,0,1,02/05/13,,2,75,17.5,19.39,AG,65.5,1844
urb,7,2,02/05/13,,2,72,16.7,19.58,AG,62,1846
urb,5,2,30/04/14,10:55,2,72,16.6,19.7,AC,61,1846
urb,8,1,02/05/13,,2,73.5,18.1,19.91,AG,63,1860
urb,6,2,03/05/13,,2,72,16.75,19.6,AG,60,1869
urb,6,2,03/05/13,,2,72.5,17.5,19.47,AG,63.5,1870
urb,7,2,28/04/14,10:00,2,70.5,16.4,19.7,AC,62,1870
urb,4,2,04/05/16,10:20,2,71,16.5,19.32,VD,61,1870
urb,6,1,03/05/13,,2,74,17.5,19.98,AG,65,1888
urb,7,1,03/05/13,10:50,2,76.5,18.5,20.67,AG,67,1894
urb,8,1,14/05/13,09:30,2,75.5,17.3,20.2,AG,65,1899
urb,4,1,05/05/14,10:25,2,75,17,20.36,AC,65.5,1899
urb,10,2,14/05/13,,2,76.5,17.8,19.24,ML,58.5,1911
urb,6,2,15/05/15,09:25,2,79,17.9,19.34,SP,62,1911
urb,9,2,11/05/16,08:07,2,74,17,19.79,AG,64,1911
urb,5,2,15/05/15,09:15,2,73,17.9,19.39,SP,61,1930
urb,7,2,14/05/16,12:58,2,73,17.9,19.41,AC,63,1930
urb,5,2,15/05/15,,2,,,,,,1943
urb,7,1,14/05/13,,2,78,19,20.29,AG,68,1949
urb,3,1,11/05/15,09:10,2,78,17.8,20.21,AC,68,1949
urb,5,1,05/05/16,10:50,2,79,18.9,20.31,VD,68,1949
urb,0,2,14/05/13,,2,76.5,15.9,18.67,AG,60,1963
urb,0,2,14/05/13,,1,73,16.3,19.76,AG,60,1967
urb,0,1,14/05/13,,1,73,16.6,20.19,AG,60.5,1971
urb,5,1,14/05/13,,1,76,16.8,19.27,AG,61,1978
urb,6,2,14/05/13,,2,72.5,16.2,19.52,ML,60,1987
urb,5,1,15/05/13,,2,76,17,20.31,AG,67,1988
urb,6,1,15/05/13,10:00,2,76.5,17.7,20.79,ML,65,1996
urb,8,1,18/05/15,09:00,2,77,17,19.87,SP,66,1996
urb,5,1,06/05/16,11:40,2,76,17.5,19.81,SP,67,1996
urb,5,2,08/07/13,11:00,2,73,17.1,19.68,ML,58,2013
urb,5,2,17/05/13,09:15,2,73,15.6,19.13,VD,60,2019
urb,5,1,17/05/13,09:45,2,76,17.3,19.76,VD,62,2021
urb,6,2,07/05/15,11:20,2,72,15.4,19.13,AC,60.5,2027
urb,7,1,17/05/13,11:25,2,77,17.8,19.36,AG,61,2034
urb,7,2,17/05/13,12:00,1,69,17,19.32,AG,58,2042
urb,2,2,21/04/14,09:38,2,72,17.6,19.53,VD,60,2042
urb,8,1,17/05/13,13:40,2,76.5,18.2,19.92,VD,65,2049
urb,8,2,17/05/13,13:50,2,73,15.4,18.75,VD,59,2052
urb,0,2,17/05/13,14:50,1,74,16.8,20.14,AG,61.5,2057
urb,0,1,17/05/13,,2,73,16.7,20.15,AG,61,2060
urb,7,1,17/05/13,17:00,2,76,17.5,19.73,VD,64,2065
urb,5,1,12/05/15,16:05,2,77,18.2,19.79,SP,65.5,2069
urb,6,2,22/05/15,10:25,2,73,16.8,19.6,AC,62,2077
urb,5,2,07/05/14,12:19,1,73,16.5,19.05,AC,61,2078
urb,4,2,07/05/15,16:50,2,75.5,16.7,19.16,AC,63,2078
urb,4,2,03/05/16,09:40,2,73,16.9,19,SP,68,2078
urb,0,1,03/05/16,08:30,2,78,17.3,20.66,SP,68,2096
urb,4,2,05/05/15,10:00,2,75,17.7,20.51,AC,62.5,2100
urb,4,2,15/06/15,09:35,2,74,17.9,20.48,SP,64,2100
urb,0,2,05/05/16,09:10,2,74,17.8,20.4,SP,64,2100
urb,5,1,15/05/15,09:30,2,78,18.5,20.85,SP,66.5,2124
urb,7,1,14/05/16,13:14,2,78,18.7,20.9,AC,67,2124
urb,1,2,24/04/14,14:30,1,72,17.6,20.2,AC,60,2133
urb,6,1,22/05/15,10:10,2,77,18.3,19.6,AC,66,2141
urb,6,1,14/05/16,13:08,2,78,18.9,19.75,AC,66,2141
urb,7,1,20/05/13,,1,76,17.5,19.9,VD,63,2153
urb,7,2,20/05/13,,2,76,16.7,19.7,VD,63,2160
urb,4,1,16/05/13,,2,76.5,19,19.9,VD,64,2163
urb,7,2,22/05/15,09:20,2,75,15.8,19.21,AC,62.5,2165
urb,5,2,20/05/13,,2,72,15.6,17.49,VD,58,2168
urb,7,2,20/05/13,,2,74,17.1,19.93,VD,59,2171
urb,7,1,20/05/13,,2,78,18.2,19.24,VD,67.5,2176
urb,8,1,20/05/13,,2,78.5,19.4,19.98,VD,66.5,2181
urb,8,2,20/05/13,,2,75,19,20.18,VD,66,2186
urb,6,2,20/05/13,15:20,2,73,16.9,18.87,VD,59,2193
urb,6,1,20/05/13,15:30,2,80,18.1,19.58,VD,66,2197
urb,1,1,24/04/14,14:45,2,76.5,17,19.82,AC,67,2197
urb,8,1,02/07/13,11:20,2,75,17.4,19.57,VD,64,2212
urb,8,2,21/05/13,,2,73.5,16.4,19.07,VD,60.5,2220
urb,4,2,21/05/13,,2,75,19.4,18.86,VD,63,2224
urb,4,2,07/05/14,09:00,2,72.5,15.6,18.83,AC,59,2224
urb,5,2,12/05/15,09:35,2,73,16.4,18.57,AC,,2224
urb,8,1,21/05/13,,2,78,17.5,19.28,VD,64,2247
urb,8,2,21/05/13,,2,74,17,19.19,VD,60,2251
urb,5,2,21/05/13,15:20,2,72,16.1,19.05,VD,65,2260
urb,4,2,07/05/14,14:15,2,71,15.6,19.09,AC,60,2260
urb,5,1,22/05/13,,2,78,18.1,19.53,VD,66,2271
urb,4,1,07/05/14,14:10,2,76,17.7,19.76,VD,69,2271
urb,9,1,22/05/13,11:30,2,80.5,18.7,19.91,VD,70,2278
urb,9,2,22/05/13,,2,74,16.6,19.11,VD,64,2287
urb,7,2,07/05/14,10:32,2,71,16.4,19.36,AC,61,2287
urb,9,1,22/05/13,12:00,2,75,17.1,20.06,VD,61,2305
urb,10,2,22/05/13,,1,71.5,15.5,18.25,VD,59,2313
urb,10,1,22/05/13,,2,75,18.5,20.63,VD,63,2317
urb,8,2,24/04/14,13:50,1,69.5,16.5,19.67,AC,61,2321
urb,6,2,12/05/15,13:25,2,72,16.5,19.5,AC,60.5,2321
urb,9,2,22/05/13,14:35,2,73,16,19.12,VD,59,2326
urb,7,2,14/05/14,11:30,2,73.5,15.6,19.1,AG,63,2326
urb,7,1,23/05/13,,2,78,17.6,20.01,VD,67.5,2340
