BirdID,BloodID,LayYear,Ageclass,MumHz,MumHomo,DadHz,DadHomo,ParentsHz,CatchDate,SexEstimate,FieldPeriodID,BreedGroupID,LastOfStatus,BodyMass,DeathDate,TerritoryID,RTL,Hz,Homozygosity,CatchYear,CatchMonth,DeathYear,Age,Agemonths,RemainingLife,RemainingLifeFig,SurvivedNext,SurvivedNextFig,Lifespan,Sex,Tarsus,TQcorrected,LogTQ,YearQuality,Food,SpaceTQ
5155,4206,2007,SA,0.6939,1.3061,1.0408,0.9592,1.7347,07/08/2008,0,87,4531,H,14.9,10/09/2010,51,0.871710361,0.902,1.098,2008,8,2010,1,9,2,2,1,Yes,3,Females,24.9,5366.31,8.5878958,Low food availability,11.5,22021.24
1594,915,2000,FL,0.9714,1.0286,1.1796,0.8204,2.151,11/08/2000,1,39,3052,FL,14.5,02/10/2002,38,0.877429616,0.9714,1.0286,2000,8,2002,0,3,2,2,1,Yes,2,Males,24.5,31160.32,10.34690077,,,16200.95
5325,4301,2009,FL,1.0408,0.9592,0.902,1.098,1.9428,30/06/2009,1,92,4793,OFL,15.1,19/03/2010,157,0.910371991,0.7633,1.2367,2009,6,2010,0,3,1,1,1,Yes,1,Males,26.3,23217.63,10.05266718,High food availability,17,15098.25
5315,4268,2009,FL,0.9714,1.0286,1.3184,0.6816,2.2898,20/06/2009,0,92,4715,OFL,13.7,29/02/2012,25,0.916067982,1.249,0.751,2009,6,2012,0,3,3,3,1,Yes,3,Females,24.8,13979.18,9.545324359,High food availability,17,14698.2
1511,772,1999,FL,1.1102,0.8898,0.8327,1.1673,1.9429,19/08/1999,0,28,362,AB,14.6,02/10/2002,20,0.932666206,0.4163,1.5837,1999,8,2002,0,3,3,3,1,Yes,3,Females,23.7,30852.67,10.33697857,High food availability,15,26574.26
5123,3920,2007,FL,0.9714,1.0286,1.1796,0.8204,2.151,27/01/2008,0,85,4360,ABX,14.1,27/02/2013,63,0.937727415,0.9714,1.0286,2008,1,2013,1,3,5,4+,1,Yes,6,Females,24.2,18975.14,9.85088498,Low food availability,11.5,20268.53
5160,4234,2007,SA,1.0408,0.9592,0.6245,1.3755,1.6653,12/08/2008,0,87,4576,AB,14.5,30/09/2012,112,0.938443847,1.0408,0.9592,2008,8,2012,1,9,4,4+,1,Yes,5,Females,24.2,2195.34,7.694092211,Low food availability,11.5,20145.88
1515,903,1999,SA,1.0408,0.9592,1.1102,0.8898,2.151,05/08/2000,1,39,3050,H,16.1,02/10/2002,35,0.955290674,1.249,0.751,2000,8,2002,1,9,2,2,1,Yes,3,Males,25.6,13343.33,9.498771914,,,23926.92
5168,3567,2007,FL,1.249,0.751,1.1102,0.8898,2.3592,21/01/2008,0,85,4324,OFL,13.1,10/09/2010,14,0.960164988,0.5551,1.4449,2008,1,2010,1,3,2,2,1,Yes,3,Females,24.1,2489.33,7.819768877,Low food availability,11.5,22787.64
1510,771,1999,FL,0.8327,1.1673,0.8327,1.1673,1.6654,19/08/1999,0,28,364,FL,14,03/03/2009,23,0.960815633,0.5551,1.4449,1999,8,2009,0,3,10,4+,1,Yes,10,Females,24.3,30995.12,10.34158505,High food availability,15,20546.86
3444,3163,2004,SA,0.6939,1.3061,1.0408,0.9592,1.7347,11/08/2006,0,75,3843,H,15,10/09/2010,112,0.930484022,1.0408,0.9592,2006,8,2010,2,9,4,4+,1,Yes,6,Females,24.3,7539.86,8.927958893,Low food availability,13,20145.88
5323,4293,2008,FL,0.7633,1.2367,1.1102,0.8898,1.8735,28/06/2009,0,92,4786,OFL,13.9,30/09/2013,135,0.973352802,0.8327,1.1673,2009,6,2013,1,3,4,4+,1,Yes,5,Females,23.8,27495.28,10.22176963,High food availability,17,11446.08
5237,3635,2008,FL,1.1102,0.8898,0.9714,1.0286,2.0816,31/07/2008,1,87,4529,OFL,17.1,04/03/2014,48,0.990042011,0.902,1.098,2008,7,2014,0,3,6,4+,1,Yes,6,Males,26.2,11602.54,9.358979319,Low food availability,11.5,16692.72
5226,4126,2008,SA,0.902,1.098,0.8327,1.1673,1.7347,20/02/2009,1,90,4155,ABX,15.7,04/10/2014,137,0.996486633,0.7633,1.2367,2009,2,2014,1,9,5,4+,1,Yes,6,Males,24.7,21153.97,9.959582874,High food availability,17,12597.94
5099,3496,2006,SA,0.9714,1.0286,1.3184,0.6816,2.2898,04/08/2007,1,82,4201,ABX,17,18/09/2009,16,1.001209385,0.9714,1.0286,2007,8,2009,1,9,2,2,1,Yes,3,Males,25.8,11945.51,9.388110755,Low food availability,9,15366.17
3578,3129,2005,SA,1.0408,0.9592,0.9714,1.0286,2.0122,28/07/2006,1,75,3845,ABX,17.8,07/09/2008,116,1.00305865,0.8327,1.1673,2006,7,2008,1,9,2,2,1,Yes,3,Males,24.8,13711.51,9.525990905,Low food availability,13,12817.33
1596,920,2000,FL,1.4572,0.5428,1.0408,0.9592,2.498,12/08/2000,1,39,3089,FL,15.1,13/08/2000,89,1.013418395,0.902,1.098,2000,8,2000,0,3,0,0,0,No,0,Males,24.6,130031.38,11.77553108,,,44601.11
1557,852,1999,FL,1.249,0.751,0.902,1.098,2.151,02/12/1999,1,29,2562,FL,13.6,14/01/2004,47,1.048364521,1.0408,0.9592,1999,12,2004,0,3,5,4+,1,Yes,5,Males,25.3,58799.79,10.98189356,High food availability,15,24063.4
