BirdID,BloodID,LayYear,Ageclass,CatchDate,SexEstimate,FieldPeriodID,BreedGroupID,LastOfStatus,BodyMass,DeathDate,TerritoryID,Hz,Homozygosity,RTL,CatchYear,CatchMonth,DeathYear,Age,Agemonths,RemainingLife,RemainingLifeFig,SurvivedNext,SurvivedNextFig,Lifespan,Sex,Tarsus,TQcorrected,LogTQ,BirdID,LayYear,CatchYear,SpaceTQ,Food,MeanAdultFood,AllYears?,PropCovered,SumFood,SumFood2
1213,211,1997,A,27/08/2003,1,30,495,BrM,16.3,12/01/2005,68,1.5265,0.4735,1.000391376,2003,8,2005,6,24,2,2,1,Yes,8,Males,25,20482.59,9.927330536,1213,1997,2003,15419.47,19.5,18.16666667,NO,0.5,19.5,19.5
1195,4162,1996,A,24/07/2008,0,87,4564,BrF,16.1,10/09/2010,94,0.902,1.098,0.455021954,2008,7,2010,12,24,2,2,1,Yes,14,Females,23.6,20201.64,9.913519068,1195,1996,2008,17117.23,11.5,14.66666667,NO,0.75,31,31
1356,4008,1997,A,12/01/2009,1,90,4123,BrM,17.2,18/09/2009,82,0.7633,1.2367,0.457990056,2009,1,2009,12,24,0,0,0,No,12,Males,26.2,20580.15,9.932082298,1356,1997,2009,20580.15,17,13.875,NO,0.833333333,59,59
504,712,1993,A,28/01/1999,0,26,2405,BrF,15.5,13/08/2000,5,0.902,1.098,0.459159875,1999,1,2000,6,24,1,1,1,Yes,7,Females,24.1,31606.99,10.36113358,504,1993,1999,31606.99,15,20.5,NO,0.666666667,35,35
4866,3922,2005,A,29/01/2008,1,85,4409,BrM,16.9,30/09/2013,137,0.8327,1.1673,0.462303278,2008,1,2013,3,24,5,4+,1,Yes,8,Males,26.4,12597.94,9.441288588,4866,2005,2008,12597.94,11.5,11.16666667,YES,1,40,40
1739,3914,2002,A,25/01/2008,1,85,4351,BrM,16.1,07/09/2008,53,1.249,0.751,0.462593871,2008,1,2008,6,24,0,0,0,No,6,Males,25.3,12727.44,9.451515572,1739,2002,2008,24210.09,11.5,14.25,YES,1,33.5,33.5
1390,1127,1998,A,12/09/2002,0,41,802,BrF,15.5,02/09/2003,46,1.1102,0.8898,0.621852083,2002,9,2003,4,24,1,1,1,Yes,5,Females,24.4,22931.85,10.04028205,1390,1998,2002,24250.015,,15,NO,0.25,,
1848,3755,2003,A,19/07/2007,1,82,4207,BrM,16.4,19/03/2010,26,1.249,0.751,0.471307399,2007,7,2010,4,24,3,3,1,Yes,7,Males,25.8,8956.46,9.100130339,1848,2003,2007,22774.32,9,12,YES,1,40,40
1895,3997,2003,A,23/07/2008,0,87,4555,BrF,14.8,19/03/2010,81,1.0408,0.9592,0.588662137,2008,7,2010,5,24,2,2,1,Yes,7,Females,24.6,6874.67,8.835598921,1895,2003,2008,14279.07,11.5,11.25,YES,1,20.5,20.5
2988,4243,2004,A,14/08/2008,1,87,4506,BrM,16.9,10/09/2010,14,1.1102,0.8898,0.477282725,2008,8,2010,4,24,2,2,1,Yes,6,Males,25.8,2489.33,7.819768877,2988,2004,2008,22787.64,11.5,11.875,YES,1,11.5,11.5
4890,3979,2006,A,18/07/2008,1,87,4512,ABX,16.2,04/10/2014,24,0.9714,1.0286,0.477527897,2008,7,2014,2,24,6,4+,1,Yes,8,Males,25.1,1219.76,7.106409397,4890,2006,2008,14415.37,11.5,10.25,YES,1,23,23
1158,1072,1996,A,20/08/2002,0,41,819,BrF,15.2,02/10/2002,77,0.8327,1.1673,0.477942431,2002,8,2002,6,24,0,0,0,No,6,Females,24.6,48866.3,10.79684328,1158,1996,2002,29921.32,,18.66666667,NO,0.5,41,41
1744,462,2001,A,04/01/2005,1,35,2914,BrM,15.8,10/09/2010,60,0.8327,1.1673,0.477948749,2005,1,2010,4,24,5,4+,1,Yes,9,Males,25.4,11099.96,9.314696784,1744,2001,2005,14001.03,14,14.16666667,NO,0.75,71,71
1705,668,2002,A,05/09/2005,0,37,646,H,15.4,11/12/2005,1,0.9714,1.0286,0.479023688,2005,9,2005,3,24,0,0,0,No,3,Females,24.2,12097.775,9.40077683,1705,2002,2005,15983.72,14,14.16666667,YES,1,14,14
1744,3764,2001,A,21/07/2007,1,82,4232,BrM,15.7,10/09/2010,60,0.8327,1.1673,0.48994998,2007,7,2010,6,24,3,3,1,Yes,9,Males,24.9,4705.96,8.456585069,1744,2001,2007,14001.03,9,12.9,NO,0.833333333,71,71
1165,1147,1996,A,19/09/2002,1,41,796,BrM,17,11/12/2005,38,1.1796,0.8204,0.490491365,2002,9,2005,6,24,3,3,1,Yes,9,Males,26,6872.67,8.835307956,1165,1996,2002,16200.95,,18.66666667,NO,0.5,9,9
2991,3168,2003,A,12/08/2006,1,75,3874,BrM,16.7,04/10/2014,179,0.8327,1.1673,0.494383196,2006,8,2014,3,24,8,4+,1,Yes,11,Males,25.4,8456.83,9.042729678,2991,2003,2006,8656.62,13,12,YES,1,22,22
51,72,1986,A,18/06/2003,1,30,481,BrM,15.9,02/09/2003,51,0.5551,1.4449,0.495015875,2003,6,2003,17,24,0,0,0,No,17,Males,26,18830.1,9.843211932,51,1986,2003,22021.24,19.5,20.3,NO,0.294117647,19.5,
1187,3744,1996,A,17/07/2007,1,82,4192,BrM,16,10/09/2010,5,1.0408,0.9592,0.498911475,2007,7,2010,11,24,3,3,1,Yes,14,Males,26.4,7931.91,8.978649143,1187,1996,2007,31606.99,9,15.0625,NO,0.818181818,100,100
3089,3881,2004,A,14/01/2008,1,85,4378,BrM,18.2,04/10/2014,86,1.3184,0.6816,0.502330854,2008,1,2014,4,24,6,4+,1,Yes,10,Males,26.8,3693.02,8.21419983,3089,2004,2008,7239.03,11.5,13.5,YES,1,42.5,42.5
1753,4084,2002,A,04/02/2009,0,90,4074,BrF,15,02/10/2011,16,0.9714,1.0286,0.599211329,2009,2,2011,7,24,2,2,1,Yes,9,Females,24.2,20900.58,9.947532189,1753,2002,2009,15366.17,17,19.5,YES,1,36.5,36.5
2990,3833,2004,A,23/08/2007,1,82,4223,BrM,15.7,10/09/2010,48,0.9714,1.0286,0.619754516,2007,8,2010,3,24,3,3,1,Yes,6,Males,26.7,16546.17,9.713909934,2990,2004,2007,16692.72,9,14,YES,1,47.5,47.5
4897,3962,2006,A,16/07/2008,1,87,4513,BrM,16.5,19/03/2010,25,1.3184,0.6816,0.508115263,2008,7,2010,2,24,2,2,1,Yes,4,Males,26.3,2989.42,8.002834668,4897,2006,2008,14698.2,11.5,10.25,YES,1,40,40
3519,3901,2005,A,20/01/2008,1,85,4322,BrM,16.5,10/09/2010,12,1.1102,0.8898,0.510003905,2008,1,2010,3,24,2,2,1,Yes,5,Males,26.5,17407.99,9.764684575,3519,2005,2008,20415.49,11.5,11,YES,1,29.5,29.5
1394,4098,1998,A,11/02/2009,1,90,4136,BrM,15.3,19/03/2010,100,0.8327,1.1673,0.511473984,2009,2,2010,11,24,1,1,1,Yes,12,Males,25.7,19370.88,9.871526186,1394,1998,2009,14097.02,17,13.5,NO,0.727272727,48,28.5
2991,3823,2003,A,22/08/2007,1,82,4303,BrM,17.3,04/10/2014,179,0.8327,1.1673,0.515114869,2007,8,2014,4,24,7,4+,1,Yes,11,Males,25.9,8096.14,8.999142684,2991,2003,2007,8656.62,9,12,YES,1,22,22
1536,3126,1999,A,28/07/2006,0,75,3786,BrF,16,07/09/2008,36,0.6939,1.3061,0.761079315,2006,7,2008,7,24,2,2,1,Yes,9,Females,24.1,9666.79,9.176451579,1536,1999,2006,12955.9,13,13.875,NO,0.571428571,27,27
3574,3921,2005,A,29/01/2008,0,85,4409,BrF,14,04/10/2014,137,0.902,1.098,0.614938833,2008,1,2014,3,24,6,4+,1,Yes,9,Females,23.3,12597.94,9.441288588,3574,2005,2008,12597.94,11.5,11.16666667,YES,1,40,40
509,2222,1993,A,25/06/1995,1,19,2176,BrM,16.3,02/10/2002,172,0.8327,1.1673,0.522891994,1995,6,2002,2,24,7,4+,1,Yes,9,Males,26.1,27582.52,10.22493752,509,1993,1995,10384.55,,,NO,0,20,20
3569,3976,2005,A,18/07/2008,0,87,4610,BrF,12.9,10/09/2010,407,0.9714,1.0286,0.523802511,2008,7,2010,3,24,2,2,1,Yes,5,Females,24.1,1699.36,7.438006989,3569,2005,2008,19088.81,11.5,11.16666667,YES,1,11.5,11.5
3085,4314,2004,A,13/07/2009,0,92,4710,BrF,15.3,04/10/2014,20,1.1796,0.8204,0.523833865,2009,7,2014,5,24,5,4+,1,Yes,10,Females,23.9,26574.26,10.18769836,3085,2004,2009,26574.26,17,13.5,YES,1,30,30
1187,3955,1996,A,13/07/2008,1,87,4499,BrM,15.5,10/09/2010,5,1.0408,0.9592,0.525162055,2008,7,2010,12,24,2,2,1,Yes,14,Males,26.8,2433.87,7.797237862,1187,1996,2008,31606.99,11.5,14.66666667,NO,0.75,100,100
1720,88,2001,A,25/06/2003,1,30,463,H,15,02/09/2006,25,0.9714,1.0286,0.528893657,2003,6,2006,2,24,3,3,1,Yes,5,Males,26.2,14698.2,9.595480316,1720,2001,2003,14698.2,19.5,19.5,NO,0.5,19.5,19.5
3093,3963,2004,A,16/07/2008,1,87,4523,BrM,16,29/02/2012,40,0.9714,1.0286,0.529677136,2008,7,2012,4,24,4,4+,1,Yes,8,Males,26.7,13584.07,9.516653062,3093,2004,2008,14591.88,11.5,12,YES,1,20.5,20.5
604,2199,1993,A,12/06/1995,0,19,2103,BrF,13.6,13/08/2000,47,1.249,0.751,0.53182299,1995,6,2000,2,24,5,4+,1,Yes,7,Females,24.3,39152.64,10.57522313,604,1993,1995,24063.4,,,NO,0,20,20
1412,4213,1998,A,08/08/2008,1,87,4586,BrM,17,10/09/2010,129,0.902,1.098,0.533226514,2008,8,2010,10,24,2,2,1,Yes,12,Males,26,2712.65,7.905681296,1412,1998,2008,16394.41,11.5,13,NO,0.7,25.5,25.5
3086,4040,2004,A,04/01/2009,0,90,4063,H,16.2,04/10/2014,3,0.8327,1.1673,0.53408866,2009,1,2014,5,24,5,4+,1,Yes,10,Females,24,21205.79,9.962029537,3086,2004,2009,24501.73,17,12.9,YES,1,17,17
1059,1006,1996,A,21/07/2002,0,41,792,BrF,17.8,14/01/2004,24,1.249,0.751,0.534101407,2002,7,2004,6,24,2,2,1,Yes,8,Females,24.3,8161.35,9.007164875,1059,1996,2002,14415.37,,18.66666667,NO,0.5,,0
1672,2940,2001,A,05/12/2005,0,54,6295,BrF,15,29/01/2007,99,0.8327,1.1673,0.537818997,2005,12,2007,4,24,2,2,1,Yes,6,Females,23.8,12375.585,9.423480859,1672,2001,2005,12565.45,14,14.16666667,NO,0.75,23,23
1018,2897,1995,A,27/11/2005,1,54,6377,BrM,17,21/02/2008,110,0.6245,1.3755,0.539756759,2005,11,2008,10,24,3,3,1,Yes,13,Males,25.8,17418.615,9.765294741,1018,1995,2005,21312.76,14,17.78571429,NO,0.7,41,41
1024,3227,1995,A,30/08/2006,0,75,3851,BrF,14.5,21/02/2008,127,1.3184,0.6816,0.541127658,2006,8,2008,11,24,2,2,1,Yes,13,Females,25.1,6504.4,8.78023415,1024,1995,2006,13432.58,13,17.1875,NO,0.727272727,13,13
1196,4000,1996,A,14/01/2009,1,90,4128,BrM,17.2,18/09/2009,88,0.8327,1.1673,0.542436013,2009,1,2009,13,24,0,0,0,No,13,Males,26.6,11335.47,9.335692027,1196,1996,2009,11335.47,17,14.66666667,NO,0.846153846,51,51
911,3740,1994,A,17/07/2007,1,82,4191,BrM,16.6,10/09/2010,4,1.1796,0.8204,0.542515057,2007,7,2010,13,24,3,3,1,Yes,16,Males,26.4,8265.39,9.019832196,911,1994,2007,14217.22,9,16.27777778,NO,0.692307692,83.5,83.5
1804,646,2003,A,30/08/2005,1,37,649,H,15.7,07/09/2008,4,0.8327,1.1673,0.586381363,2005,8,2008,2,24,3,3,1,Yes,5,Males,25.7,23039.055,10.0449461,1804,2003,2005,14217.22,14,11.5,YES,1,48.5,48.5
1857,463,2003,A,10/06/2005,0,37,667,H,14.7,04/10/2014,28,0.8327,1.1673,0.548519596,2005,6,2014,2,24,9,4+,1,Yes,11,Females,24.4,10143.62,9.224600215,1857,2003,2005,12253.02,14,11.5,YES,1,14,14
