BirdID,BloodID,LayYear,AgeClass,CatchDate,SexEstimate,FieldPeriodID,BreedGroupID,LastOfStatus,BodyMass,DeathDate,TerritoryID,Hz,Homozygosity,RTL,CatchYear,CatchMonth,DeathYear,Age,Agemonths,RemainingLife,RemainingLifeFig,SurvivedNext,SurvivedNextFig,Lifespan,Sex,Tarsus,TQcorrected,LogTQ,YearQuality,Food,FoodFP,SpaceTQ
1552,843,1999,FL,01/12/1999,0,29,2567,FL,13.7,02/10/2002,60,1.4572,0.5428,1.523803599,1999,12,2002,0,3,3,3,1,Yes,3,Females,24.2,69654.27,11.15129928,High food availability,15,,14001.03
1542,841,1999,FL,22/11/1999,1,29,2574,FL,16.1,27/02/2013,112,0.6939,1.3061,1.626499675,1999,11,2013,0,3,14,4+,1,Yes,14,Males,25.8,28872.07,10.27062997,High food availability,15,,20145.88
1570,867,1999,FL,06/12/1999,1,29,2578,FL,14,12/01/2005,164,0.7633,1.2367,,1999,12,2005,0,3,6,4+,1,Yes,6,Males,25.2,5364.17,8.587496937,High food availability,15,,28458.18
1864,235,2003,FL,15/12/2003,0,31,2612,OFL,13.7,04/03/2014,30,1.249,0.751,1.304152209,2003,12,2014,0,3,11,4+,1,Yes,11,Females,25.6,16676.56,9.72175942,High food availability,19.5,,14620.63
1585,899,2000,FL,05/08/2000,1,39,3033,FL,15.4,02/10/2002,9,1.3878,0.6122,0.461653131,2000,8,2002,0,3,2,2,1,Yes,2,Males,25.3,62038.33,11.0355077,,,,23258.14
1575,876,2000,FL,01/08/2000,0,39,3075,OFL,14,26/07/2001,72,0.9714,1.0286,0.582090794,2000,8,2001,0,3,1,1,1,Yes,1,Females,24.8,16155.58,9.69002078,,,,18354.98
1574,872,2000,FL,29/07/2000,1,39,3062,OFL,15.4,13/08/2000,53,0.8327,1.1673,0.644913494,2000,7,2000,0,3,0,0,0,No,0,Males,25.2,19802.33,9.893554887,,,,24210.09
1589,907,2000,FL,07/08/2000,0,39,3118,OFL,14.1,07/09/2008,138,1.1796,0.8204,0.69861041,2000,8,2008,0,3,8,4+,1,Yes,8,Females,23.9,72647.26,11.19337095,,,,12623.83
1586,900,2000,FL,05/08/2000,0,39,3049,OFL,14.7,26/07/2001,33,0.902,1.098,0.759757087,2000,8,2001,0,3,1,1,1,Yes,1,Females,24.4,16512.36,9.71186447,,,,17046.12
1573,871,2000,FL,29/07/2000,0,39,3065,OFL,14.2,02/10/2002,57,1.1796,0.8204,0.764690647,2000,7,2002,0,3,2,2,1,Yes,2,Females,23.5,38831.26,10.56698087,,,,19264.4
1581,892,2000,FL,04/08/2000,1,39,3095,OFL,15.6,03/03/2009,99,1.1102,0.8898,0.792557735,2000,8,2009,0,3,9,4+,1,Yes,9,Males,25.7,49801.15,10.81579336,,,,12565.45
1572,870,2000,FL,29/07/2000,1,39,3066,FL,14.4,29/05/2004,60,1.0408,0.9592,0.804708081,2000,7,2004,0,3,4,4+,1,Yes,4,Males,24.9,69654.27,11.15129928,,,,14001.03
1584,898,1999,SA,05/08/2000,0,39,3032,U,13.6,13/08/2000,8,0.902,1.098,0.806478803,2000,8,2000,1,9,0,0,0,No,1,Females,23.1,17696.45,9.781119333,,,,19626.265
1527,895,1999,SA,04/08/2000,0,39,3097,ABX,14.4,26/07/2001,101,0.5551,1.4449,0.821247881,2000,8,2001,1,9,1,1,1,Yes,2,Females,24.5,98071.4,11.49345106,,,,12526.34
1592,913,2000,FL,11/08/2000,0,39,3100,FL,15,26/07/2001,109,0.902,1.098,0.840545804,2000,8,2001,0,3,1,1,1,Yes,1,Females,24.3,23564.7,10.06750511,,,,12492.47
1582,893,2000,FL,04/08/2000,1,39,3095,OFL,16.5,13/08/2000,99,0.6939,1.3061,0.848369227,2000,8,2000,0,3,0,0,0,No,0,Males,26,49801.15,10.81579336,,,,12565.45
1591,912,2000,FL,11/08/2000,1,39,3042,FL,15.5,11/12/2005,24,1.249,0.751,0.856683654,2000,8,2005,0,3,5,4+,1,Yes,5,Males,25.7,27418.49,10.21897288,,,,14415.37
1595,916,2000,FL,11/08/2000,1,39,3129,OFL,15.4,16/09/2007,168,0.902,1.098,0.871659533,2000,8,2007,0,3,7,4+,1,Yes,7,Males,24.5,39560.78,10.5855935,,,,39560.78
1594,915,2000,FL,11/08/2000,1,39,3052,FL,14.5,02/10/2002,38,0.9714,1.0286,0.877429616,2000,8,2002,0,3,2,2,1,Yes,2,Males,24.5,31160.32,10.34690077,,,,16200.95
1576,877,2000,FL,01/08/2000,0,39,3036,OFL,14.7,19/03/2010,15,1.249,0.751,0.901603091,2000,8,2010,0,3,10,4+,1,Yes,10,Females,23.8,30557.81,10.32737558,,,,30557.81
1580,891,2000,FL,04/08/2000,0,39,3097,FL,14.1,04/10/2014,101,0.6939,1.3061,0.943865333,2000,8,2014,0,3,14,4+,1,Yes,14,Females,24,98071.4,11.49345106,,,,12526.34
1515,903,1999,SA,05/08/2000,1,39,3050,H,16.1,02/10/2002,35,1.249,0.751,0.955290674,2000,8,2002,1,9,2,2,1,Yes,3,Males,25.6,13343.33,9.498771914,,,,23926.92
1596,920,2000,FL,12/08/2000,1,39,3089,FL,15.1,13/08/2000,89,0.902,1.098,1.013418395,2000,8,2000,0,3,0,0,0,No,0,Males,24.6,130031.38,11.77553108,,,,44601.11
1579,887,2000,FL,03/08/2000,1,39,3093,OFL,15.5,07/09/2008,95,1.1102,0.8898,1.059165947,2000,8,2008,0,3,8,4+,1,Yes,8,Males,25.1,62076.76,11.03612696,,,,14297.3
1597,921,2000,FL,12/08/2000,0,39,3105,OFL,14.2,02/09/2004,117,1.1102,0.8898,1.099136241,2000,8,2004,0,3,4,4+,1,Yes,4,Females,24.5,84523.45,11.34478429,,,,47641.305
1512,897,1999,SA,04/08/2000,1,39,3088,ABX,16.5,21/02/2008,88,1.1102,0.8898,1.115734444,2000,8,2008,1,9,8,4+,1,Yes,9,Males,26.1,20136.96,9.910312211,,,,11335.47
1598,922,2000,FL,12/08/2000,0,39,3105,OFL,14.6,29/01/2007,117,0.8327,1.1673,1.559917386,2000,8,2007,0,3,7,4+,1,Yes,7,Females,24,84523.45,11.34478429,,,,47641.305
1583,894,2000,FL,04/08/2000,1,39,3088,OFL,15.6,02/10/2002,88,0.7633,1.2367,,2000,8,2002,0,3,2,2,1,Yes,2,Males,26,20136.96,9.910312211,,,,11335.47
