BirdID,BloodID,LayYear,Ageclass,CatchDate,SexEstimate,FieldPeriodID,BreedGroupID,LastOfStatus,BodyMass,DeathDate,MumHz,MumHomo,DadHz,DadHomo,TerritoryID,RTL,Hz,Homozygosity,CatchYear,CatchMonth,DeathYear,Age,Agemonths,RemainingLife,RemainingLifeFig,SurvivedNext,SurvivedNextFig,Lifespan,Sex,Tarsus,TQcorrected,LogTQ,SpaceTQ,Food,LayYearFood,MeanAdultFood,PropCovered
1743,381,2002,A,27/07/2004,1,34,589,BrM,17.1,03/03/2009,0.9714,1.0286,0.6245,1.3755,39,,1.3878,0.6122,2004,7,2009,2,24,5,4+,1,Yes,7,Males,25.3,26060.02,10.16815762,10178.43,9,#N/A,14.25,1
1766,376,2003,A,26/07/2004,1,34,589,ABX,16.4,03/03/2009,0.9714,1.0286,0.6245,1.3755,39,,1.0408,0.9592,2004,7,2009,1,12,5,4+,1,Yes,6,Males,25.3,26060.02,10.16815762,10178.43,9,#N/A,9,1
1808,3334,2003,A,17/01/2007,1,77,3986,BrM,18.4,21/02/2008,0.9714,1.0286,0.902,1.098,169,,1.3184,0.6816,2007,1,2008,4,24,1,1,1,Yes,5,Males,26.8,18493.87,9.825194605,18493.87,9,#N/A,11.25,1
3087,3811,2004,A,15/08/2007,1,82,4208,BrM,16.1,04/10/2014,0.9714,1.0286,1.3184,0.6816,27,,1.1102,0.8898,2007,8,2014,3,24,7,4+,1,Yes,10,Males,25.3,6649.25,8.802259345,22224.98,9,#N/A,12,1
1766,3869,2003,A,11/01/2008,1,85,4341,H,14.8,03/03/2009,0.9714,1.0286,0.6245,1.3755,39,,1.0408,0.9592,2008,1,2009,5,24,1,1,1,Yes,6,Males,25.4,1629.43,7.395985539,10178.43,11.5,#N/A,9,1
3596,4158,2005,A,24/07/2008,0,87,4582,ABX,16.5,04/10/2014,0.9714,1.0286,1.0408,0.9592,125,,1.249,0.751,2008,7,2014,3,24,6,4+,1,Yes,9,Females,24.3,16926.94,9.736661715,25302.74,11.5,9,11,1
1762,3099,2002,A,06/07/2006,1,75,3772,BrM,17.5,04/10/2014,1.0408,0.9592,1.1102,0.8898,15,,1.3184,0.6816,2006,7,2014,4,24,8,4+,1,Yes,12,Males,25.7,23112.13,10.04811287,30557.81,13,#N/A,13.875,1
1499,3908,1999,A,22/01/2008,1,85,4320,BrM,16.1,30/09/2013,1.0408,0.9592,0.7633,1.2367,9,,1.1102,0.8898,2008,1,2013,9,24,5,4+,1,Yes,14,Males,25.3,1948.45,7.574789464,23258.14,11.5,20,12.66666667,0.666666667
1762,3905,2002,A,21/01/2008,1,85,4325,BrM,17.2,04/10/2014,1.0408,0.9592,1.1102,0.8898,15,,1.3184,0.6816,2008,1,2014,6,24,6,4+,1,Yes,12,Males,26.4,23835.53,10.0789326,30557.81,11.5,#N/A,13.875,1
4888,3878,2006,A,13/01/2008,1,85,4371,B,17.2,02/10/2011,1.0408,0.9592,0.902,1.098,77,,0.902,1.098,2008,1,2011,2,24,3,3,1,Yes,5,Males,26.1,9834.94,9.19369663,29921.32,11.5,13,1.25,1
1063,890,1996,A,03/08/2000,1,39,3091,BrM,15.7,13/08/2000,1.1102,0.8898,0.7633,1.2367,92,,0.4857,1.5143,2000,8,2000,4,24,0,0,0,No,4,Males,24.9,55320.02,10.92089015,13578.27,,#N/A,18.66666667,0.75
1409,1030,1998,A,31/07/2002,0,41,788,BrF,15.5,29/07/2006,1.1102,0.8898,0.8327,1.1673,16,,0.7633,1.2367,2002,7,2006,4,24,4,4+,1,Yes,8,Females,24.8,14886.81,9.608230865,15366.17,,21,15,0.25
1503,216,1999,A,27/08/2003,0,30,467,BrF,15.4,21/02/2008,1.1102,0.8898,0.6939,1.3061,30,,1.3184,0.6816,2003,8,2008,4,24,5,4+,1,Yes,9,Females,25,16676.56,9.72175942,14620.63,19.5,20,19.5,0.25
1523,605,1999,A,08/08/2005,1,37,688,BrM,17.5,30/09/2013,1.1102,0.8898,0.902,1.098,58,,0.8327,1.1673,2005,8,2013,6,24,8,4+,1,Yes,14,Males,26.6,11713.74,9.368517791,13884.67,14,20,14.16666667,0.5
1559,3116,1999,A,18/07/2006,0,75,3776,BrF,15,18/09/2009,1.1102,0.8898,1.0408,0.9592,23,,0.7633,1.2367,2006,7,2009,7,24,3,3,1,Yes,10,Females,23.7,32280.28,10.3822118,20546.86,13,20,13.875,0.571428571
1664,3156,2002,A,09/08/2006,0,75,3815,BrF,13.9,03/03/2009,1.1102,0.8898,0.8327,1.1673,74,,0.9714,1.0286,2006,8,2009,4,24,3,3,1,Yes,7,Females,23.8,18341.43,9.816917714,19657.21,13,#N/A,13.875,1
1664,3875,2002,A,12/01/2008,0,85,4368,BrF,14,03/03/2009,1.1102,0.8898,0.8327,1.1673,74,,0.9714,1.0286,2008,1,2009,6,24,1,1,1,Yes,7,Females,23.5,11515.17,9.351420575,19657.21,11.5,#N/A,13.875,1
4829,3961,2006,A,16/07/2008,1,87,4497,BrM,16.7,19/03/2010,1.1102,0.8898,1.4572,0.5428,3,,1.0408,0.9592,2008,7,2010,2,24,2,2,1,Yes,4,Males,25.4,2429.05,7.795255513,24501.73,11.5,13,1.25,1
1523,4054,1999,A,19/01/2009,1,90,4103,BrM,17.5,30/09/2013,1.1102,0.8898,0.902,1.098,58,,0.8327,1.1673,2009,1,2013,10,24,4,4+,1,Yes,14,Males,26.3,12189.63,9.408340869,13884.67,17,20,13.28571429,0.7
1429,156,1999,A,31/07/2003,0,30,3318,BrF,14.7,02/09/2006,1.1796,0.8204,1.0408,0.9592,134,,1.0408,0.9592,2003,7,2006,4,24,3,3,1,Yes,7,Females,23.5,14141.8,9.55689023,10799.82,19.5,20,19.5,0.25
1429,2892,1999,A,26/11/2005,0,54,6386,BrF,13.1,02/09/2006,1.1796,0.8204,1.0408,0.9592,134,,1.0408,0.9592,2005,11,2006,6,24,1,1,1,Yes,7,Females,22.9,8775.16,9.079680282,10799.82,14,20,14.16666667,0.5
2962,3140,2004,A,06/08/2006,1,75,3778,BrM,16.5,16/09/2007,1.249,0.751,1.0408,0.9592,25,,0.8327,1.1673,2006,8,2007,2,24,1,1,1,Yes,3,Males,24.5,10732.59,9.281040186,14698.2,13,#N/A,13.5,1
3085,3138,2004,A,07/08/2006,0,75,3762,H,15,04/10/2014,1.249,0.751,1.0408,0.9592,3,,1.1796,0.8204,2006,8,2014,2,24,8,4+,1,Yes,10,Females,23.5,7100.3,8.867892316,24501.73,13,#N/A,13.5,1
1678,4215,2002,A,08/08/2008,0,87,4586,BrF,14.2,04/03/2014,1.249,0.751,1.1102,0.8898,129,,0.8327,1.1673,2008,8,2014,6,24,6,4+,1,Yes,12,Females,23.4,2712.65,7.905681296,16394.41,11.5,#N/A,12.66666667,1
1752,4065,2002,A,23/01/2009,1,90,4095,BrM,16.1,10/09/2010,1.3184,0.6816,0.8327,1.1673,47,,0.7633,1.2367,2009,1,2010,7,24,1,1,1,Yes,8,Males,25.2,14505.83,9.582305917,24063.4,17,#N/A,13.875,1
1042,292,1996,A,06/06/2004,0,34,604,BrF,15.8,04/10/2014,1.3878,0.6122,1.1102,0.8898,63,,0.9714,1.0286,2004,6,2014,8,24,10,4+,1,Yes,18,Females,24.9,7180.3,8.879096444,20268.53,9,#N/A,16.9,0.625
921,55,1994,A,10/06/2003,1,30,477,BrM,15.2,14/01/2004,1.4572,0.5428,1.249,0.751,47,,0.902,1.098,2003,6,2004,9,24,1,1,1,Yes,10,Males,24.5,11542.08,9.353754766,24063.4,19.5,#N/A,2.3,0.555555556
1029,585,1996,A,29/07/2005,1,37,677,BrM,16.5,10/09/2010,1.4572,0.5428,1.0408,0.9592,43,,1.1796,0.8204,2005,7,2010,9,24,5,4+,1,Yes,14,Males,26.7,10742.96,9.282005935,9655.045,14,#N/A,16.41666667,0.666666667
1029,658,1996,A,01/09/2005,1,37,677,BrM,15.7,10/09/2010,1.4572,0.5428,1.0408,0.9592,43,,1.1796,0.8204,2005,9,2010,9,24,5,4+,1,Yes,14,Males,26.4,10742.96,9.282005935,9655.045,14,#N/A,16.41666667,0.666666667
1415,380,1998,A,26/07/2004,0,34,589,BrF,15.9,30/09/2013,1.5959,0.4041,1.1796,0.8204,39,,0.9714,1.0286,2004,7,2013,6,24,9,4+,1,Yes,15,Females,23.8,26060.02,10.16815762,10178.43,9,21,14.5,0.5
