bird_id,mass,tarsus,Sex,Age
Bird-0691,21.47,21.4,Male,1+
Bird-0692,20.96,21,,1+
Bird-0647,20.68,21.7,Male,1+
Bird-0663,20.39,21.5,,1+
Bird-0268,20.64,20.7,Female,3+
Bird-0693,19.76,20.1,Male,1+
Bird-0508,21.83,21.8,Female,2+
Bird-0616,19.9,20.1,Female,1
Bird-0694,21.23,21.5,Female,1+
Bird-0409,21.22,20.5,Male,3+
Bird-0695,19.43,21.5,,1+
Bird-0696,21.07,20.8,,1+
Bird-0697,21.84,21.2,Male,1+
Bird-0456,22.29,20,Male,2
Bird-0698,20.84,21.3,Female,1+
Bird-0699,20.68,20.8,,1+
Bird-0627,20.08,20.6,Female,1
Bird-0700,20.56,20.6,Male,1+
Bird-0701,21.31,21.35,Female,1+
Bird-0663,20.18,21.7,,1+
Bird-0663,,,,
Bird-0702,21.57,21.6,Male,1+
Bird-0664,,20.2,Male,1+
Bird-0703,18.95,21.3,,1+
Bird-0692,21,21.5,,1+
Bird-0704,21.16,21.1,Male,1+
Bird-0256,,20.6,Male,4+
Bird-0677,22.7,21.8,Female,1+
Bird-0705,21.41,21.4,Male,1+
Bird-0690,20.7,20.2,Male,1+
Bird-0675,23.64,20.7,Male,1+
Bird-0623,19.18,20.85,Male,1
Bird-0702,21.48,21.2,Male,1+
Bird-0706,20.89,22.6,,1+
Bird-0707,21.03,21.2,Male,1+
Bird-0267,22.27,22.15,Male,4+
Bird-0708,23.58,21.2,Female,1+
Bird-0362,20.21,21.5,Male,5+
Bird-0709,21.42,21,Male,1+
Bird-0471,26.1,20.3,Female,2+
Bird-0616,19.36,21.5,Female,1
Bird-0710,21.3,20.6,Unknown,1+
Bird-0672,20.79,21.1,,1+
Bird-0711,20.15,21.2,Male,1+
Bird-0712,19.35,20.1,Female,1+
Bird-0713,22.19,20.8,Male,1+
Bird-0691,22.28,21.3,Male,1+
Bird-0472,21.24,20,Male,2+
Bird-0288,20.9,21.2,Male,5+
Bird-0716,18.67,20.8,Female,1+
Bird-0685,19.64,21.3,Male,1+
Bird-0645,22.67,21.4,Male,2+
Bird-0691,21.73,21.1,Male,1+
Bird-0717,21.98,21.4,Female,1+
Bird-0700,19.25,20.5,Male,1+
Bird-0256,20.72,20.6,Male,4+
Bird-0318,21.21,21.1,Male,3+
Bird-0728,20.79,20.2,Female,1+
Bird-0729,19.93,20.3,Male,1+
Bird-0586,22.76,20.8,Female,1
Bird-0429,22.68,20.6,Female,2+
Bird-0730,20.05,21.6,Male,1+
Bird-0446,22.24,21.7,Male,3
Bird-0702,20.41,21.7,Male,1+
Bird-0664,20.64,20.9,Male,1+
Bird-0732,18.42,21.6,Female,1+
Bird-0730,19.74,21.6,Male,1+
Bird-0673,,20.8,Male,1+
Bird-0759,20.79,23.2,Male,Fledgling
Bird-0541,19.66,20.9,Male,+1
Bird-0709,20.84,21.3,Male,1+
Bird-0477,19.6,21.1,Male,2+
Bird-0431,19.16,19.2,Female,1+
Bird-0760,20.73,20.8,Female,1+
Bird-0802,20.46,22.1,,Fledgling
Bird-0803,19.13,21.6,Female,Fledgling
Bird-0804,19.32,21.3,,Fledgling
Bird-0805,19.67,20.8,Male,Fledgling
Bird-0806,19.36,21.6,,Fledgling
Bird-0807,19.01,20.8,Female,Fledgling
Bird-0471,20.27,20.6,Female,1+
Bird-0742,20.03,20.9,Male,Fledgling
Bird-0337,20.77,20.9,Male,
Bird-0828,18.64,20.5,Unknown,Fledgling
Bird-0829,20.99,21.5,Male,1+
Bird-0830,18.06,,,Fledgling
Bird-0831,18.24,21.15,Female,Fledgling
Bird-0832,19.88,20.8,Unknown,FLedgling
Bird-0738,17.51,20.3,Unknown,
Bird-0506,21.26,21.6,Male,2+
Bird-0267,21,22.3,Male,4+
Bird-0279,21.4,22,Male,4+
Bird-0881,13.54,19.8,,Fledgling
Bird-0882,20.34,20.75,Female,Fledgling
Bird-0883,19.32,20.3,Female,Fledgling
Bird-0884,20.78,21.9,Male,1+
Bird-0904,19.86,20.8,Female,1+
Bird-0908,18.21,20.8,,
Bird-0909,21.43,21.4,Female,1+
Bird-0910,21.33,21.2,Female,Fledgling
Bird-0911,21.53,20.9,,Fledgeling
Bird-0807,21.32,19.9,Female,Fledgling
Bird-0777,21.27,20.7,Male,Fledgling
Bird-0920,22.72,20.6,Female,Fledgling
Bird-0921,18.3,20.7,,Flefdling
Bird-0922,22.37,21.6,Unknown,1+
Bird-0777,21.58,21.7,Male,Juvenile
Bird-0860,20.46,19.5,Female,Juvenile
Bird-0923,20.88,21.5,Female,1+
Bird-0759,23.05,22.1,Male,1
Bird-0780,23.04,22.5,Male,1+
Bird-0475,24.91,21.5,Male,3+
Bird-0475,25.45,21.1,Male,3+
Bird-0471,22.38,20.1,Female,3+
Bird-0924,22,21.2,Male,1+
Bird-0340,22.38,20.1,Female,6+
Bird-0783,20.81,21.9,Unknown,Juvenile
Bird-0925,23.23,22.1,Male,1+
Bird-0694,21.51,21.1,Female,2+
Bird-0409,21.47,20.9,Male,4+
Bird-0268,21.55,20.7,Female,4+
Bird-0926,20.05,20.9,Male,1+
Bird-0334,19.72,20.7,Male,6+
Bird-0771,20.12,20.1,Male,0
Bird-0742,22.21,20.9,Male,Fledgling
Bird-0408,22.55,20.5,Male,4+
Bird-0701,,21.6,Female,2+
Bird-0470,20.78,20.4,Male,3+
Bird-0759,22.82,22.3,Male,1
Bird-0927,22.16,21.3,Male,1+
Bird-0616,21.36,21,Female,2
Bird-0685,19.96,20.8,Male,2+
Bird-0928,20.94,22,Male,1+
Bird-0476,22.24,22.1,Male,3+
Bird-0511,20.45,21.4,Female,2+
Bird-0627,19.94,20.1,Female,2
Bird-0691,22.29,21.6,Male,2+
Bird-0860,19.27,20.8,Female,Adult
Bird-0105,22.32,21.2,Male,4
Bird-0749,21.85,21.6,Male,1
Bird-0293,20.35,20,Female,5+
Bird-0446,20.4,21.9,Male,4
Bird-0929,20.24,20.8,Male,1+
Bird-0930,21.76,22,Male,1+
Bird-0541,20.16,20.9,Male,+2
Bird-0920,20.75,21.2,Female,1
Bird-0709,22.11,21.2,Male,2+
Bird-0073,22.72,21.6,Male,5
Bird-0771,20.15,20.3,Male,1
Bird-0742,22.51,21.5,Male,Juvenile?
Bird-0322,22.59,22,Male,6+
Bird-0344,19.64,20.4,Female,5+
Bird-0805,20.71,20.8,Male,1
Bird-0926,20.03,20.9,Male,1+
Bird-0471,22.68,20.7,Female,3+
Bird-0362,21.74,21,Male,6+
Bird-0931,19.89,20.3,Female,1+
Bird-0831,21.14,21.5,Female,1
Bird-0338,21.41,22.1,Male,6+
Bird-0318,21.65,21.5,Male,4+
Bird-0777,20.62,20.5,Male,1
Bird-0728,19.41,20,Female,2+
Bird-0932,20.78,21.4,Female,1+
Bird-0258,22.73,20.8,Male,6+
Bird-0805,20.67,20.8,Male,1
Bird-0771,20.43,20.1,Male,1
Bird-0933,23.94,22.2,Male,1+
Bird-0319,23.21,20.9,Male,6+
Bird-0270,19.89,20.8,Female,5+
Bird-0934,23.33,21.7,Male,1+
Bird-0474,20.56,21.2,Female,3+
Bird-0809,21.43,20.5,Unknown,1
Bird-0745,18.83,19.9,Female,1
Bird-0697,21.54,21.5,Male,2+
Bird-0446,21.47,21.9,Male,4
Bird-0673,21.43,20.5,Male,2+
Bird-0473,20.36,20.6,Female,3+
Bird-0298,20.12,21,Female,5+
Bird-0882,20.28,20,Female,1
Bird-0910,19.59,21.5,Female,1
Bird-0470,20.82,21,Male,3+
Bird-0691,21.93,21.2,Male,2+
Bird-0909,22.07,21.7,Female,2+
Bird-0476,22.03,21.8,Male,3+
Bird-0935,20.76,20.9,Male,1+
Bird-0208,22.3,21.4,Male,3
Bird-0803,20.03,21.4,Female,1
Bird-0780,22.43,22.5,Male,1+
Bird-0729,20.67,20.4,Male,2+
Bird-0340,20.84,21.5,Female,6+
Bird-0936,20.89,20,Male,1+
Bird-0933,24.23,21.5,Male,1+
Bird-0934,23.61,21.9,Male,1+
Bird-0645,22.65,21.5,Male,3+
Bird-0293,19.81,19.8,Female,5+
Bird-0930,21.78,21.7,Male,1+
Bird-0258,22.46,21,Male,6+
Bird-0073,22.33,21.5,Male,5
Bird-0298,20.36,20.8,Female,5+
Bird-0749,22.45,21.5,Male,1
Bird-0339,21.44,21.1,Male,6+
Bird-0408,22.85,20.8,Male,4+
Bird-0627,20.14,20.8,Female,2
Bird-0883,19.15,19.9,Female,1
Bird-0288,21.88,21,Male,6+
Bird-0506,21.01,21.25,Male,3+
Bird-0809,21.15,21,Unknown,1
Bird-0831,20.42,20.1,Female,1
Bird-0338,21.37,21.6,Male,6+
Bird-0268,19.73,20.3,Female,4+
Bird-0934,22.81,21.1,Male,1+
Bird-0490,20.85,21,Male,3+
Bird-0968,22.3,21.8,Female,1+
Bird-0742,21.07,20.7,Male,1
Bird-0944,20.64,20.2,,fledgling
Bird-0777,,20.4,Male,1
Bird-0318,21.27,21.1,Male,4+
Bird-0994,25.95,20.6,Female,adult
Bird-0995,22.32,21.6,Unknown,juvenile
Bird-0805,20.03,21.1,Male,1
Bird-0073,21.02,21.4,Male,5
Bird-0947,20.38,20.8,,Juvenile
Bird-0673,20.89,21.3,Male,2+
Bird-0541,20.02,20.6,Male,+2
Bird-0685,19.19,20.7,Male,2+
Bird-0926,20.13,20.1,Male,1+
Bird-0319,22,20.8,Male,6+
Bird-0780,21.39,22.5,Male,1+
Bird-0997,21.04,19.9,Male,1+
Bird-0950,,21.4,,fledgling
Bird-0930,21.33,21.6,Male,1+
Bird-0691,21.47,21.5,Male,2+
Bird-0807,24.51,20.7,Female,1
Bird-0935,19.7,21.5,Male,1+
Bird-0409,19.5,20.8,Male,4+
Bird-0934,22.22,21.4,Male,1+
Bird-0073,20.71,21.3,Male,5
Bird-0742,20.33,21,Male,1
Bird-0691,21.56,21.5,Male,2+
Bird-0924,20.51,20.6,Male,1+
Bird-0995,22.63,21.7,Unknown,juvenile
Bird-0929,20.48,21.2,Male,1+
Bird-0645,22.13,21.5,Male,3+
Bird-0700,20.96,20.9,Male,2+
Bird-0339,20.55,20.5,Male,6+
Bird-0780,20.64,22.4,Male,1+
Bird-1040,21.42,21.1,Unknown,juvenile
Bird-0362,21.08,20.9,Male,6+
Bird-1041,19.87,21.5,Unknown,juvenile
Bird-0338,19.64,21.6,Male,6+
Bird-1042,21.38,21.7,Unknown,juvenile
Bird-0933,24.22,21.8,Male,1+
Bird-0475,,,Male,3+
Bird-0932,19.75,21,Female,1+
Bird-0334,20.88,20.8,Male,6+
Bird-1062,17.54,21,,>1
Bird-0759,21.35,22.2,Male,1
Bird-0760,21.1,20.9,Female,2+
Bird-1019,19.06,20.5,,Juvenil
Bird-0073,21.64,21.2,Male,5
Bird-1038,21.08,21.6,Male,Juvenile
Bird-0362,19.05,20.4,Male,6+
Bird-0771,20.97,21,Male,1
Bird-1036,19.34,21.3,,Juvenile
Bird-1067,20.55,20,,Juvenile
Bird-1062,19.77,20.6,,>1
