Age,bird_id,chick_id,mass,NestID,tarsus,Sex
9,-98,c55.2,15.32,55,18.3,Female
10,-98,c55.2,14.86,55,18.8,Female
7,-100,c57.1,14.83,57,18.7,Female
8,-100,c57.1,17.59,57,19.6,Female
9,-100,c57.1,16.4,57,20.3,Female
7,-101,c57.2,14.22,57,17.6,Male
8,-101,c57.2,18.37,57,19.5,Male
9,-101,c57.2,17.38,57,19.9,Male
7,-102,c57.3,16.35,57,19.6,Male
8,-102,c57.3,19.89,57,20.5,Male
9,-102,c57.3,18.45,57,21.3,Male
7,-103,c57.4,13.19,57,17.2,Male
8,-103,c57.4,16.88,57,18.4,Male
9,-103,c57.4,16.3,57,19.3,Male
10,-100,c57.1,16.94,57,20.9,Female
10,-101,c57.2,18.52,57,20.7,Male
10,-102,c57.3,18.34,57,21.1,Male
10,-103,c57.4,18.42,57,20,Male
1,-105,c61.1,2.75,61,6.5,Male
3,-105,c61.1,5.88,61,10.5,Male
1,-106,c61.2,3.12,61,7,Male
3,-106,c61.2,6.6,61,11,Male
1,-107,c62.1,1.92,62,6,Female
3,-107,c62.1,4.89,62,10,Female
1,-108,c62.2,1.8,62,5,Female
3,-108,c62.2,4.44,62,10.5,Female
1,-109,c62.3,2.87,62,7,Male
3,-109,c62.3,6.66,62,11.5,Male
1,-110,c62.4,2.32,62,6,Female
3,-110,c62.4,5.65,62,10,Female
1,-111,c69.1,1.95,69,6,Male
3,-111,c69.1,4.44,69,9.5,Male
1,-113,c69.3,2.1,69,5.5,Female
3,-113,c69.3,4.85,69,9,Female
1,-114,c54.1,2.8,54,7.5,Female
1,-115,c54.2,3.56,54,8,Male
3,-115,c54.2,7.14,54,11.5,Male
1,-116,c54.3,3.8,54,7.5,Female
3,-116,c54.3,7.88,54,12.5,Female
1,-117,c54.4,3.45,54,7.5,Female
3,-117,c54.4,6.63,54,10.5,Female
5,-105,c61.1,10.59,61,15.6,Male
5,-106,c61.2,10.06,61,15.6,Male
5,-107,c62.1,8.62,62,13.8,Female
5,-108,c62.2,6.31,62,13,Female
5,-109,c62.3,10.79,62,17.6,Male
5,-110,c62.4,10.45,62,15.7,Female
1,-119,c68.1,2.77,68,7,Male
3,-119,c68.1,5.66,68,10.5,Male
1,-120,c68.2,3.1,68,7,Female
3,-120,c68.2,5.98,68,11,Female
1,-121,c68.3,3.33,68,7.5,Female
3,-121,c68.3,6.35,68,11.5,Female
1,-122,c68.4,3.41,68,6.5,Male
3,-122,c68.4,6.4,68,11.5,Male
1,-112,c69.2,1.84,69,6,Female
3,-112,c69.2,4.62,69,10,Female
1,-123,c72.1,2.81,72,6.5,Male
1,-124,c72.2,2.26,72,6.5,Female
1,-125,c72.3,2.32,72,6.5,Female
5,-111,c69.1,6.81,69,12.5,Male
5,-113,c69.3,7.41,69,13.4,Female
7,-105,c61.1,15.22,61,18.7,Male
7,-106,c61.2,16.01,61,18.4,Male
7,-107,c62.1,12.96,62,18.5,Female
7,-108,c62.2,9.94,62,16.7,Female
7,-109,c62.3,14.94,62,20.1,Male
7,-110,c62.4,14.89,62,19.4,Female
5,-115,c54.2,11.99,54,17,Male
5,-116,c54.3,13.56,54,17.5,Female
5,-117,c54.4,11.53,54,16.1,Female
1,-126,c71.1,2.35,71,6.5,Male
5,-119,c68.1,9.22,68,15.2,Male
5,-120,c68.2,10.45,68,15.6,Female
5,-121,c68.3,11.04,68,16.2,Female
5,-122,c68.4,11.25,68,15.4,Male
1,-127,c65.1,2.63,65,7,Male
1,-128,c65.2,2.24,65,6.5,Male
1,-129,c65.3,2.35,65,6.5,Male
7,-111,c69.1,10.76,69,17.6,Male
7,-113,c69.3,11.6,69,16.8,Female
8,-105,c61.1,17.56,61,20.1,Male
8,-106,c61.2,16.88,61,19.2,Male
8,-107,c62.1,13.94,62,19.8,Female
8,-108,c62.2,11.57,62,19.2,Female
8,-109,c62.3,16.88,62,21.5,Male
8,-110,c62.4,16.31,62,20.2,Female
3,-130,c72.4,1.89,72,6,Female
3,-123,c72.1,6.03,72,11,Male
3,-124,c72.2,5.14,72,10,Female
3,-125,c72.3,4.95,72,9.5,Female
7,-115,c54.2,15.38,54,20.4,Male
7,-116,c54.3,17.45,54,20.2,Female
7,-117,c54.4,15.21,54,19.7,Female
7,-119,c68.1,12.48,68,18.7,Male
7,-120,c68.2,12.17,68,19.1,Female
7,-121,c68.3,13.89,68,19.4,Female
7,-122,c68.4,13.29,68,19.2,Male
9,-107,c62.1,15.56,62,20.9,Female
9,-108,c62.2,12.56,62,20.4,Female
9,-109,c62.3,18.25,62,22.1,Male
9,-110,c62.4,17.47,62,21.2,Female
9,-105,c61.1,19.13,61,21.5,Male
9,-106,c61.2,17.09,61,20.4,Male
8,-111,c69.1,13.39,69,19.2,Male
8,-113,c69.3,14.13,69,19.4,Female
3,-126,c71.1,4.11,71,9.5,Male
1,-131,c63.1,2.56,63,7,Female
1,-132,c63.2,1.54,63,6,Female
3,-127,c65.1,5.4,65,10.5,Male
3,-128,c65.2,4.21,65,10,Male
3,-129,c65.3,5.28,65,10,Male
1,-133,c66.1,2.83,66,7,Female
5,-123,c72.1,10.57,72,15.4,Male
5,-124,c72.2,9.75,72,14.8,Female
5,-125,c72.3,9.67,72,14.3,Female
5,-130,c72.4,2,72,7,Female
2,-134,c78.1,3.64,78,7.5,Male
3,-134,c78.1,4,78,9,Male
2,-135,c78.2,3.87,78,7.5,Female
3,-135,c78.2,4.86,78,9,Female
2,-136,c78.3,3.78,78,8,Female
3,-136,c78.3,4.47,78,8.5,Female
2,-137,c78.4,4.03,78,7.5,Female
3,-137,c78.4,4.84,78,9.5,Female
10,-105,c61.1,20.04,61,22.1,Male
10,-106,c61.2,17.44,61,21.3,Male
9,-111,c69.1,14.72,69,20.6,Male
9,-113,c69.3,15.1,69,20.9,Female
8,-119,c68.1,11.85,68,19.7,Male
8,-120,c68.2,13.2,68,19.9,Female
8,-121,c68.3,15.05,68,20.9,Female
8,-122,c68.4,14.15,68,20.1,Male
8,-115,c54.2,17.98,54,21.2,Male
8,-116,c54.3,18.76,54,20.8,Female
8,-117,c54.4,16.74,54,20,Female
10,-107,c62.1,15.6,62,22,Female
10,-108,c62.2,13.14,62,21,Female
10,-109,c62.3,18.79,62,22.6,Male
10,-110,c62.4,17.28,62,21.7,Female
9,-119,c68.1,10.74,68,19.1,Male
9,-121,c68.3,15.82,68,20.7,Female
3,-133,c66.1,6,66,10,Female
1,-140,c73.1,1.91,73,6,Male
1,-141,c73.2,1.99,73,6,Male
1,-142,c73.3,1.77,73,5.5,Female
10,-111,c69.1,16.48,69,20.8,Male
10,-113,c69.3,17.32,69,21.1,Female
1,-143,c67.1,4.02,67,7,Male
3,-131,c63.1,3.28,63,7.5,Female
9,-115,c54.2,20.08,54,21.6,Male
10,-115,c54.2,17.94,54,21.7,Male
9,-116,c54.3,20.17,54,21.1,Female
10,-116,c54.3,18.56,54,21.4,Female
9,-117,c54.4,19.42,54,21,Female
10,-117,c54.4,17.28,54,21.1,Female
7,-123,c72.1,12.34,72,17.1,Male
7,-124,c72.2,11.75,72,16.5,Female
7,-125,c72.3,11.6,72,15.9,Female
5,-134,c78.1,7.01,78,12.5,Male
5,-135,c78.2,8.1,78,12.5,Female
5,-136,c78.3,6.62,78,13,Female
5,-137,c78.4,7.62,78,12,Female
1,-144,c70.1,2.18,70,6.5,Female
5,-133,c66.1,8.47,66,12.5,Female
7,-133,c66.1,11.57,66,16.3,Female
3,-143,c67.1,5.95,67,10.5,Male
5,-143,c67.1,10.93,67,15,Male
3,-144,c70.1,4.71,70,9.5,Female
8,-123,c72.1,13.45,72,17.5,Male
8,-125,c72.3,12.31,72,17.1,Female
9,-125,c72.3,13.28,72,18.1,Female
10,-125,c72.3,15.29,72,19,Female
3,-140,c73.1,2.84,73,8,Male
5,-140,c73.1,4.93,73,10.5,Male
3,-141,c73.2,2.68,73,7,Male
5,-141,c73.2,4.42,73,10,Male
3,-142,c73.3,2.15,73,,Female
5,-142,c73.3,3.49,73,,Female
7,-134,c78.1,12.69,78,16.7,Male
8,-134,c78.1,13.9,78,18.2,Male
7,-135,c78.2,13.63,78,17.2,Female
8,-135,c78.2,13.99,78,17.9,Female
7,-136,c78.3,11.44,78,16.9,Female
8,-136,c78.3,12.35,78,18.4,Female
7,-137,c78.4,13.45,78,17.8,Female
8,-137,c78.4,15.19,78,18.7,Female
8,-133,c66.1,13.75,66,17.6,Female
9,-134,c78.1,16.09,78,19.4,Male
9,-135,c78.2,17.24,78,20,Female
9,-136,c78.3,14.77,78,19.1,Female
9,-137,c78.4,16.55,78,20.02,Female
5,-144,c70.1,9.09,70,14,Female
1,-145,c79.1,2.54,79,6.5,Female
1,-146,c79.2,2.62,79,6.5,Male
1,-147,c79.3,2.55,79,6,Male
1,-148,c79.4,2.61,79,6.5,Female
9,-133,c66.1,13.87,66,18.1,Female
7,-140,c73.1,8.91,73,16,Male
7,-141,c73.2,8.25,73,15.2,Male
7,-142,c73.3,5.7,73,,Female
10,-134,c78.1,17.33,78,20.6,Male
10,-135,c78.2,17.42,78,20.9,Female
10,-136,c78.3,16.39,78,21.1,Female
10,-137,c78.4,17.25,78,21,Female
7,-143,c67.1,14.76,67,18.2,Male
7,-144,c70.1,16.71,70,18.9,Female
8,-144,c70.1,15.85,70,20.3,Female
8,-143,c67.1,17.99,67,19.7,Male
9,-143,c67.1,17.05,67,19.8,Male
3,-145,c79.1,5.84,79,11.5,Female
3,-146,c79.2,7.39,79,11.5,Male
3,-147,c79.3,5.78,79,11,Male
3,-148,c79.4,7.42,79,12.5,Female
10,-133,c66.1,16.85,66,19.8,Female
9,-144,c70.1,18.18,70,20.8,Female
10,-143,c67.1,18.15,67,20.5,Male
5,-145,c79.1,8.03,79,15.5,Female
5,-146,c79.2,10.14,79,16.7,Male
5,-147,c79.3,7.93,79,15.3,Male
5,-148,c79.4,10.8,79,16.7,Female
10,-144,c70.1,19.04,70,21.9,Female
1,-149,c74.1,2.23,74,7,Female
1,-150,c74.2,3.21,74,8,Male
1,-151,c74.3,2.6,74,7,Female
1,-152,c74.4,3.54,74,7.5,Female
7,-145,c79.1,11.38,79,19.2,Female
7,-146,c79.2,13.69,79,19.5,Male
7,-147,c79.3,10.22,79,18.2,Male
7,-148,c79.4,13.61,79,19.4,Female
8,-145,c79.1,12.52,79,20,Female
8,-146,c79.2,15.38,79,21,Male
8,-147,c79.3,11.17,79,19.1,Male
8,-148,c79.4,14.94,79,20.1,Female
3,-149,c74.1,4.66,74,11,Female
3,-150,c74.2,7.33,74,12.5,Male
3,-151,c74.3,5.26,74,11.5,Female
3,-152,c74.4,7.85,74,12.5,Female
9,-145,c79.1,12.97,79,20.9,Female
9,-146,c79.2,15.58,79,21.4,Male
9,-147,c79.3,11.45,79,20.1,Male
9,-148,c79.4,16.65,79,21,Female
1,-153,c77.1,3.09,77,7,Female
1,-154,c77.2,2.44,77,6.5,Male
1,-155,c77.3,3.82,77,8,Male
1,-156,c84.1,4.61,84,9,Female
1,-157,c84.2,3.98,84,8,Male
1,-158,c84.3,3.78,84,8,Unknown
1,-159,c84.4,3.25,84,7.5,Male
5,-149,c74.1,10.4,74,16,Female
5,-150,c74.2,14.34,74,18.3,Male
5,-151,c74.3,11.8,74,16.3,Female
5,-152,c74.4,14.52,74,18.1,Female
1,-160,c82.1,4.06,82,8.5,Male
1,-161,c82.2,5.44,82,9.5,Female
1,-162,c82.3,5.4,82,9,Male
10,-145,c79.1,14.94,79,21.4,Female
10,-146,c79.2,15.67,79,21.5,Male
10,-147,c79.3,12.16,79,20.5,Male
10,-148,c79.4,16.74,79,21.1,Female
3,-156,c84.1,9.17,84,14.5,Female
3,-157,c84.2,7.2,84,13,Male
3,-158,c84.3,7.51,84,13,Unknown
3,-159,c84.4,5.56,84,10.5,Male
3,-153,c77.1,6.08,77,10.5,Female
3,-154,c77.2,4.03,77,9,Male
3,-155,c77.3,7.48,77,12,Male
1,-164,c86.1,2.37,86,7,Male
1,-165,c86.2,3,86,7,Female
1,-166,c86.3,3.11,86,7,Female
5,-156,c84.1,11.82,84,17.5,Female
5,-157,c84.2,12.16,84,17.8,Male
5,-158,c84.3,12.58,84,18.5,Unknown
5,-159,c84.4,10.8,84,15.5,Male
5,-153,c77.1,6.78,77,11.5,Female
5,-154,c77.2,3.87,77,10.5,Male
7,-149,c74.1,10.88,74,17.5,Female
8,-149,c74.1,11.26,74,18.6,Female
9,-149,c74.1,9.95,74,19.5,Female
7,-150,c74.2,14.66,74,19.8,Male
8,-150,c74.2,16.07,74,20.1,Male
9,-150,c74.2,15.59,74,20.5,Male
7,-151,c74.3,12.12,74,18.4,Female
8,-151,c74.3,12.72,74,19.5,Female
9,-151,c74.3,13.45,74,20.1,Female
7,-152,c74.4,15.14,74,19.4,Female
8,-152,c74.4,15.25,74,20,Female
9,-152,c74.4,15.61,74,20.5,Female
7,-153,c77.1,5.92,77,12,Female
8,-153,c77.1,7.07,77,13,Female
9,-153,c77.1,10.08,77,14.5,Female
10,-153,c77.1,10.18,77,15,Female
7,-156,c84.1,15.46,84,21.5,Female
8,-156,c84.1,17,84,21.9,Female
9,-156,c84.1,17.83,84,21.9,Female
10,-156,c84.1,16.43,84,22.4,Female
7,-157,c84.2,16.41,84,21.3,Male
8,-157,c84.2,19.12,84,22.1,Male
9,-157,c84.2,20.74,84,22,Male
10,-157,c84.2,19.18,84,22.5,Male
7,-158,c84.3,15.83,84,20.6,Unknown
8,-158,c84.3,17.45,84,21.6,Unknown
9,-158,c84.3,18.58,84,21.7,Unknown
10,-158,c84.3,17.47,84,21.9,Unknown
7,-159,c84.4,15.05,84,19.4,Male
8,-159,c84.4,16.96,84,20.6,Male
