"nestlingID","nestID","year","age","hatchdate","hatchsize","fledgedate","fledgesize","mass","tarsus","ninprim","year2"
"1991-NESC15 nestling 3","1991-NESC15",1991,16,153,6,170,6,20,,47,1.4
"2016-AGG9 nestling 4","2016-AGG9",2016,12,147,6,169,6,19,13.7,51,3.9
"1991-NESC15 nestling 4","1991-NESC15",1991,12,153,6,170,6,24,,26,1.4
"1991-NESC15 nestling 4","1991-NESC15",1991,16,153,6,170,6,22,,43,1.4
"2016-AGG9 nestling 5","2016-AGG9",2016,12,147,6,169,6,19,13.2,47,3.9
"1991-NESC15 nestling 5","1991-NESC15",1991,12,153,6,170,6,23,,24,1.4
"1991-NESC15 nestling 5","1991-NESC15",1991,16,153,6,170,6,22.5,,42,1.4
"2016-AGG9 nestling 6","2016-AGG9",2016,12,147,6,169,6,22.25,13.4,55,3.9
"1991-NESC15 nestling 6","1991-NESC15",1991,12,153,6,170,6,23,,26,1.4
"1991-NESC15 nestling 6","1991-NESC15",1991,16,153,6,170,6,22,,45,1.4
"1995-BGH2 nestling 1","1995-BGH2",1995,15,152,6,173,8,19.1,11.46,1,1.8
"1995-BGH2 nestling 2","1995-BGH2",1995,15,152,6,173,8,17.9,11.04,1,1.8
"1995-BGH2 nestling 3","1995-BGH2",1995,15,152,6,173,8,21.2,11.91,3,1.8
"1995-BGH2 nestling 4","1995-BGH2",1995,15,152,6,173,8,18.4,10.9,1,1.8
"1995-BGH2 nestling 5","1995-BGH2",1995,15,152,6,173,8,19.4,11.6,2,1.8
"1995-BGH2 nestling 6","1995-BGH2",1995,15,152,6,173,8,17.4,10.57,1,1.8
"1995-BGH2 nestling 7","1995-BGH2",1995,15,152,6,173,8,20.1,11.1,1,1.8
"1995-BGH2 nestling 8","1995-BGH2",1995,15,152,6,173,8,21.5,11.44,2,1.8
"2015-BGI3 nestling 1","2015-BGI3",2015,12,146,5,168,3,20.75,11.5,42,3.8
"1992-LS6 nestling 1","1992-LS6",1992,12,153,4,175,4,25,,27,1.5
"1996-NESG9 nestling 1","1996-NESG9",1996,14,160,4,178,3,22,14.82,36,1.9
"1998-NESG7 nestling 1","1998-NESG7",1998,15,151,6,,5,20.5,14.79,56.5,2.1
"2015-BGI3 nestling 2","2015-BGI3",2015,12,146,5,168,3,20.75,12.2,44,3.8
"1992-LS6 nestling 2","1992-LS6",1992,12,153,4,175,4,22.5,,25,1.5
"1996-NESG9 nestling 2","1996-NESG9",1996,14,160,4,178,3,21.7,14.57,41,1.9
"1998-NESG7 nestling 2","1998-NESG7",1998,15,151,6,,5,14.2,15.32,46,2.1
"2015-BGI3 nestling 3","2015-BGI3",2015,12,146,5,168,3,19.5,12.6,44.5,3.8
"1992-LS6 nestling 3","1992-LS6",1992,12,153,4,175,4,23.5,,26,1.5
"1979-BMA2 nestling 3","1979-BMA2",1979,12,152,3,173,1,18.2,,,0.2
"1979-BMA2 nestling 3","1979-BMA2",1979,15,152,3,173,1,22.5,,,0.2
"1996-NESG9 nestling 3","1996-NESG9",1996,14,160,4,178,3,25.1,14.92,48,1.9
"1998-NESG7 nestling 3","1998-NESG7",1998,15,151,6,,5,18,15.33,58,2.1
"2015-BGI3 nestling 4","2015-BGI3",2015,12,146,5,168,3,18.5,11.5,36,3.8
"1992-LS6 nestling 4","1992-LS6",1992,12,153,4,175,4,24.5,,26,1.5
"1998-NESG7 nestling 4","1998-NESG7",1998,15,151,6,,5,19.1,15.54,58,2.1
"2015-BGI3 nestling 5","2015-BGI3",2015,12,146,5,168,3,13.25,11.2,27,3.8
"1998-NESG7 nestling 5","1998-NESG7",1998,15,151,6,,5,17,15.01,55.5,2.1
"1998-NESG7 nestling 6","1998-NESG7",1998,15,151,6,,5,20.4,14.92,60,2.1
"1998-NESG7 nestling 7","1998-NESG7",1998,15,151,6,,5,13.9,15.16,45,2.1
"1998-NESG7 nestling 8","1998-NESG7",1998,15,151,6,,5,13.7,14.42,42,2.1
"2017-BGF6 nestling 1","2017-BGF6",2017,10,150,6,169,5,15.8,13.6,34,4
"2017-BGF6 nestling 1","2017-BGF6",2017,12,150,6,169,5,20,14.5,50,4
"2017-BGF6 nestling 2","2017-BGF6",2017,10,150,6,169,5,17.5,13.9,36,4
"2017-BGF6 nestling 2","2017-BGF6",2017,12,150,6,169,5,20.5,14.2,53,4
"2017-BGF6 nestling 3","2017-BGF6",2017,10,150,6,169,5,15.5,13.1,28,4
"2017-BGF6 nestling 3","2017-BGF6",2017,12,150,6,169,5,20.2,14,43,4
"2017-BGF6 nestling 4","2017-BGF6",2017,10,150,6,169,5,15,13.4,28,4
"2017-BGF6 nestling 4","2017-BGF6",2017,12,150,6,169,5,20,14,44,4
"2017-BGF6 nestling 5","2017-BGF6",2017,10,150,6,169,5,13.5,13.3,26,4
"2017-BGF6 nestling 5","2017-BGF6",2017,12,150,6,169,5,20,14,41,4
"2017-BGF6 nestling 6","2017-BGF6",2017,10,150,6,169,5,17.5,13.1,34,4
"2017-BGF6 nestling 6","2017-BGF6",2017,12,150,6,169,5,23.5,14.5,48,4
"1983-GCHS2 nestling 1","1983-GCHS2",1983,11,153,5,172,5,22.2,,,0.6
"1983-GCHS2 nestling 1","1983-GCHS2",1983,14,153,5,172,5,23,,,0.6
"1996-DL13 nestling 1","1996-DL13",1996,15,169,5,188,5,20.9,15.03,55,1.9
"1990-HUD4 nestling 1","1990-HUD4",1990,12,157,4,175,4,25.5,,28,1.3
"1983-GCHS2 nestling 2","1983-GCHS2",1983,11,153,5,172,5,20.4,,,0.6
"1983-GCHS2 nestling 2","1983-GCHS2",1983,14,153,5,172,5,22.7,,,0.6
"1996-DL13 nestling 2","1996-DL13",1996,15,169,5,188,5,21.4,15.62,54,1.9
"1990-HUD4 nestling 2","1990-HUD4",1990,12,157,4,175,4,26,,30,1.3
"1983-GCHS2 nestling 3","1983-GCHS2",1983,11,153,5,172,5,21.8,,,0.6
"1983-GCHS2 nestling 3","1983-GCHS2",1983,14,153,5,172,5,21.8,,,0.6
"1996-DL13 nestling 3","1996-DL13",1996,15,169,5,188,5,21.8,15.26,58,1.9
"1990-HUD4 nestling 3","1990-HUD4",1990,12,157,4,175,4,24.5,,29,1.3
"1983-GCHS2 nestling 4","1983-GCHS2",1983,11,153,5,172,5,19.7,,,0.6
"1983-GCHS2 nestling 4","1983-GCHS2",1983,14,153,5,172,5,22.1,,,0.6
"1996-DL13 nestling 4","1996-DL13",1996,15,169,5,188,5,22.3,15.29,56,1.9
"1990-HUD4 nestling 4","1990-HUD4",1990,12,157,4,175,4,24,,29,1.3
"1983-GCHS2 nestling 5","1983-GCHS2",1983,11,153,5,172,5,19.3,,,0.6
"1983-GCHS2 nestling 5","1983-GCHS2",1983,14,153,5,172,5,21.3,,,0.6
"1996-DL13 nestling 5","1996-DL13",1996,15,169,5,188,5,22.9,15.09,57,1.9
"1990-SPA1 nestling 1","1990-SPA1",1990,12,153,6,174,6,23.5,,26,1.3
"1983-GCGS2 nestling 1","1983-GCGS2",1983,11,151,6,172,4,19.9,,,0.6
"1983-GCGS2 nestling 1","1983-GCGS2",1983,14,151,6,172,4,21.8,,,0.6
"2000-HUE7 nestling 1","2000-HUE7",2000,10,159,5,174,0,19.3,,43,2.3
"1990-SPA1 nestling 2","1990-SPA1",1990,12,153,6,174,6,22,,23,1.3
"1983-GCGS2 nestling 2","1983-GCGS2",1983,11,151,6,172,4,21.9,,,0.6
"1983-GCGS2 nestling 2","1983-GCGS2",1983,14,151,6,172,4,21,,,0.6
"2000-HUE7 nestling 2","2000-HUE7",2000,10,159,5,174,0,20.2,,43,2.3
"1990-SPA1 nestling 3","1990-SPA1",1990,12,153,6,174,6,23.5,,23,1.3
"1983-GCGS2 nestling 3","1983-GCGS2",1983,10,151,6,172,4,19,,,0.6
"1983-GCGS2 nestling 3","1983-GCGS2",1983,13,151,6,172,4,21.5,,,0.6
"2000-HUE7 nestling 3","2000-HUE7",2000,10,159,5,174,0,20.6,,46,2.3
"1990-SPA1 nestling 4","1990-SPA1",1990,12,153,6,174,6,23,,27,1.3
"1983-GCGS2 nestling 4","1983-GCGS2",1983,10,151,6,172,4,21,,,0.6
"1983-GCGS2 nestling 4","1983-GCGS2",1983,13,151,6,172,4,23.2,,,0.6
"2000-HUE7 nestling 4","2000-HUE7",2000,10,159,5,174,0,19.8,,45,2.3
"1990-SPA1 nestling 5","1990-SPA1",1990,12,153,6,174,6,21.5,,27,1.3
"1983-GCGS2 nestling 5","1983-GCGS2",1983,10,151,6,172,4,19.4,,,0.6
"1983-GCGS2 nestling 5","1983-GCGS2",1983,13,151,6,172,4,23.4,,,0.6
"2000-HUE7 nestling 5","2000-HUE7",2000,10,159,5,174,0,20,,40,2.3
"1990-SPA1 nestling 6","1990-SPA1",1990,12,153,6,174,6,23,,25,1.3
"1983-GCGS2 nestling 6","1983-GCGS2",1983,10,151,6,172,4,19.9,,,0.6
"1983-GCGS2 nestling 6","1983-GCGS2",1983,13,151,6,172,4,21.4,,,0.6
"2013-NBB2 nestling 1","2013-NBB2",2013,12,160,4,183,1,19.66,14,49,3.6
"1988-HUF1 (2) nestling 1","1988-HUF1 (2)",1988,12,178,3,,3,22.5,,35,1.1
"2013-NBB2 nestling 2","2013-NBB2",2013,12,160,4,183,1,19.75,14.2,49,3.6
"1994-NBD2 nestling 2","1994-NBD2",1994,12,162,3,183,3,23,,,1.7
"1988-HUF1 (2) nestling 2","1988-HUF1 (2)",1988,12,178,3,,3,21.5,,31,1.1
"2013-NBB2 nestling 3","2013-NBB2",2013,12,160,4,183,1,20.74,14.1,48,3.6
"1994-NBD2 nestling 3","1994-NBD2",1994,12,162,3,183,3,21,,,1.7
"1988-HUF1 (2) nestling 3","1988-HUF1 (2)",1988,12,178,3,,3,22,,33,1.1
"2013-NBB2 nestling 4","2013-NBB2",2013,12,160,4,183,1,21.14,13.5,50,3.6
"2017-AGG5 (2) nestling 1","2017-AGG5 (2)",2017,13,164,5,186,4,20,14.3,42,4
"2009-NBC3 nestling 1","2009-NBC3",2009,12,176,3,195,3,24.5,15.8,,3.2
"1982-HU01 nestling 1","1982-HU01",1982,11,171,4,181,0,8,,,0.5
"1984-GCJS3 nestling 1","1984-GCJS3",1984,13,156,6,179,3,20.8,,,0.7
"1983-GCJS2 nestling 1","1983-GCJS2",1983,11,156,5,175,5,21.5,,,0.6
"1983-GCJS2 nestling 1","1983-GCJS2",1983,14,156,5,175,5,21.8,,,0.6
"1992-BGA5 nestling 1","1992-BGA5",1992,13,155,6,176,4,20.5,,,1.5
"2017-AGG5 (2) nestling 2","2017-AGG5 (2)",2017,13,164,5,186,4,21.5,15,48,4
"2009-NBC3 nestling 2","2009-NBC3",2009,12,176,3,195,3,24.5,16.3,,3.2
"1984-GCJS3 nestling 2","1984-GCJS3",1984,13,156,6,179,3,19.9,,,0.7
