NID,FS,ND,LD,PID,NS,SES,AGE,SE,RA,MO,BS,BSM,EC,ECM,BM,TA,FA,FE
G52,0,0,119,G52P4,0,4,,,,,,,,,,,,
G52,0,0,119,G52P4,0,5,,,,,,,,,,,,
G52,0,0,119,G52P5,0,1,,,,,,,,,,,,
G52,0,0,119,G52P5,1,2,2,1,3,0,3,3,,0.67,14.8,,,
G52,0,0,119,G52P5,0,3,5,1,3,,3,3,0.67,0.67,25.9,,,
G52,0,0,119,G52P5,0,4,7,1,3,,3,3,0.67,0.67,43.2,18.4,22,
G52,0,0,119,G52P5,0,5,14,1,3,,3,3,,0.67,97.7,,,
G55,1,0,119,G55P1,1,1,0,0,1,0,2,4,1.33,1.67,13.1,,,
G55,1,0,119,G55P1,0,2,2,0,1,,2,4,1.67,1.67,24.3,,,
G55,1,0,119,G55P1,0,3,5,0,1,,3,4,0.67,1.67,55.7,,,
G55,1,0,119,G55P1,0,4,7,0,1,,4,4,0.33,1.67,67.5,21.8,30.9,
G55,1,0,119,G55P1,0,5,16,0,1,,2,4,,1.67,127.3,,,54
G55,1,0,119,G55P2,1,1,0,0,2,0,2,4,0,1,12.3,,,
G55,1,0,119,G55P2,0,2,2,0,2,,2,4,0,1,21.7,,,
G55,1,0,119,G55P2,0,3,5,0,2,,3,4,0,1,51.5,,,
G55,1,0,119,G55P2,0,4,7,0,2,,4,4,1,1,65.1,21.5,28.9,
G55,1,0,119,G55P2,0,5,16,0,2,,2,4,,1,131.4,,,49
G55,1,0,119,G55P3,0,1,,,,,,,,,,,,
G55,1,0,119,G55P3,0,2,,,,,,,,,,,,
G55,1,0,119,G55P3,1,3,1,0,3,1,3,4,0,0,14.4,,,
G55,1,0,119,G55P3,0,4,3,0,3,,4,4,0,0,16.4,11.3,13.9,
G55,1,0,119,G55P3,0,5,,,,,,,,,,,,
G55,1,0,119,G55P4,0,1,,,,,,,,,,,,
G55,1,0,119,G55P4,0,2,,,,,,,,,,,,
G55,1,0,119,G55P4,0,3,,,,,,,,,,,,
G55,1,0,119,G55P4,1,4,0,,4,1,4,4,0,0,7.8,,,
G55,1,0,119,G55P4,0,5,,,,,,,,,,,,
G55,1,0,119,G55P5,0,1,,,,,,,,,,,,
G55,1,0,119,G55P5,0,2,,,,,,,,,,,,
G55,1,0,119,G55P5,0,3,,,,,,,,,,,,
G55,1,0,119,G55P5,0,4,,,,,,,,,,,,
G55,1,0,119,G55P5,0,5,,,,,,,,,,,,
G04,0,0,120,G04P1,1,1,0,1,1,0,2,2,,1.67,11.7,,,
G04,0,0,120,G04P1,0,2,3,1,1,,2,2,1.67,1.67,19.9,,,
G04,0,0,120,G04P1,0,3,5,1,1,,2,2,1.33,1.67,33.9,,,
G04,0,0,120,G04P1,0,4,7,1,1,,2,2,0.33,1.67,54.7,19,25.8,
G04,0,0,120,G04P1,0,5,17,1,1,,2,2,,1.67,140.9,,,38
G04,0,0,120,G04P2,1,1,0,1,2,0,2,2,,1,10.8,,,
G04,0,0,120,G04P2,0,2,3,1,2,,2,2,0.33,1,17.4,,,
G04,0,0,120,G04P2,0,3,5,1,2,,2,2,0.33,1,29.1,,,
G04,0,0,120,G04P2,0,4,7,1,2,,2,2,1,1,67.7,17.4,23.9,
G04,0,0,120,G04P2,0,5,17,1,2,,2,2,,1,144.9,,,41
G04,0,0,120,G04P3,0,1,,,,,,,,,,,,
G04,0,0,120,G04P3,0,2,,,,,,,,,,,,
G04,0,0,120,G04P3,0,3,,,,,,,,,,,,
G04,0,0,120,G04P3,0,4,,,,,,,,,,,,
G04,0,0,120,G04P3,0,5,,,,,,,,,,,,
G04,0,0,120,G04P4,0,1,,,,,,,,,,,,
G04,0,0,120,G04P4,0,2,,,,,,,,,,,,
G04,0,0,120,G04P4,0,3,,,,,,,,,,,,
G04,0,0,120,G04P4,0,4,,,,,,,,,,,,
G04,0,0,120,G04P4,0,5,,,,,,,,,,,,
G04,0,0,120,G04P5,0,1,,,,,,,,,,,,
G04,0,0,120,G04P5,0,2,,,,,,,,,,,,
G04,0,0,120,G04P5,0,3,,,,,,,,,,,,
G04,0,0,120,G04P5,0,4,,,,,,,,,,,,
G04,0,0,120,G04P5,0,5,,,,,,,,,,,,
M18,0,0,121,M18P1,1,1,1,0,1,0,2,2,,0.67,11.3,,,
M18,0,0,121,M18P1,0,2,5,0,1,,2,2,0.67,0.67,38.8,,,
M18,0,0,121,M18P1,0,3,7,0,1,,2,2,0,0.67,61.6,,,
M18,0,0,121,M18P1,0,4,9,0,1,,2,2,0.33,0.67,71.1,21.6,29.5,
M18,0,0,121,M18P1,0,5,16,0,1,,2,2,,0.67,144.2,,,39
M18,0,0,121,M18P2,1,1,0,1,2,0,2,2,,1,9.4,,,
M18,0,0,121,M18P2,0,2,4,1,2,,2,2,1,1,30.2,,,
M18,0,0,121,M18P2,0,3,6,1,2,,2,2,0.33,1,52.6,,,
M18,0,0,121,M18P2,0,4,8,1,2,,2,2,1,1,60.2,20.5,29,
M18,0,0,121,M18P2,0,5,15,1,2,,2,2,,1,121.6,,,38
M18,0,0,121,M18P3,0,1,,,,,,,,,,,,
M18,0,0,121,M18P3,0,2,,,,,,,,,,,,
M18,0,0,121,M18P3,0,3,,,,,,,,,,,,
M18,0,0,121,M18P3,0,4,,,,,,,,,,,,
M18,0,0,121,M18P3,0,5,,,,,,,,,,,,
M18,0,0,121,M18P4,0,1,,,,,,,,,,,,
M18,0,0,121,M18P4,0,2,,,,,,,,,,,,
M18,0,0,121,M18P4,0,3,,,,,,,,,,,,
M18,0,0,121,M18P4,0,4,,,,,,,,,,,,
M18,0,0,121,M18P4,0,5,,,,,,,,,,,,
M18,0,0,121,M18P5,0,1,,,,,,,,,,,,
M18,0,0,121,M18P5,0,2,,,,,,,,,,,,
M18,0,0,121,M18P5,0,3,,,,,,,,,,,,
M18,0,0,121,M18P5,0,4,,,,,,,,,,,,
M18,0,0,121,M18P5,0,5,,,,,,,,,,,,
P09,0,0,124,P09P1,1,1,0,0,1,0,1,4,,1.33,10.2,,,
P09,0,0,124,P09P1,0,2,3,0,1,,2,4,1.33,1.33,25.3,,,
P09,0,0,124,P09P1,0,3,5,0,1,,4,4,0,1.33,43.2,,,
P09,0,0,124,P09P1,0,4,7,0,1,,4,4,0.67,1.33,47.1,18.7,25,
P09,0,0,124,P09P1,0,5,17,0,1,,2,4,,1.33,144.8,,,34
P09,0,0,124,P09P2,0,1,,,,,,,,,,,,
P09,0,0,124,P09P2,1,2,1,1,2,0,2,4,0.67,1,19.5,,,
P09,0,0,124,P09P2,0,3,3,1,2,,4,4,0,1,33.3,,,
P09,0,0,124,P09P2,0,4,5,1,2,,4,4,1,1,37.3,17.6,20,
P09,0,0,124,P09P2,0,5,15,1,2,,2,4,,1,126.6,,,38
P09,0,0,124,P09P3,0,1,,,,,,,,,,,,
P09,0,0,124,P09P3,0,2,,,,,,,,,,,,
P09,0,0,124,P09P3,1,3,1,1,3,1,4,4,0,0.33,11.4,,,
P09,0,0,124,P09P3,0,4,3,1,3,,4,4,0.33,0.33,13.5,11.1,12,
P09,0,0,124,P09P3,0,5,,,,,,,,,,,,
P09,0,0,124,P09P4,0,1,,,,,,,,,,,,
P09,0,0,124,P09P4,0,2,,,,,,,,,,,,
P09,0,0,124,P09P4,1,3,0,,4,1,4,4,1.67,1.67,9.4,,,
P09,0,0,124,P09P4,0,4,2,,4,,4,4,1,1.67,8.6,,,
P09,0,0,124,P09P4,0,5,,,,,,,,,,,,
P09,0,0,124,P09P5,0,1,,,,,,,,,,,,
P09,0,0,124,P09P5,0,2,,,,,,,,,,,,
P09,0,0,124,P09P5,0,3,,,,,,,,,,,,
P09,0,0,124,P09P5,0,4,,,,,,,,,,,,
P09,0,0,124,P09P5,0,5,,,,,,,,,,,,
P28,1,0,124,P28P1,1,1,0,1,1,1,1,2,0,0,10.8,,,
P28,1,0,124,P28P1,0,2,,,,,,,,,,,,
P28,1,0,124,P28P1,0,3,,,,,,,,,,,,
P28,1,0,124,P28P1,0,4,,,,,,,,,,,,
P28,1,0,124,P28P1,0,5,,,,,,,,,,,,
P28,1,0,124,P28P2,0,1,,,,,,,,,,,,
P28,1,0,124,P28P2,1,2,0,0,2,0,1,2,0,1.33,9,,,
P28,1,0,124,P28P2,0,3,2,0,2,,1,2,1.33,1.33,24.3,,,
P28,1,0,124,P28P2,0,4,4,0,2,,1,2,1,1.33,34.4,15.4,18.1,
P28,1,0,124,P28P2,0,5,17,0,2,,1,2,,1.33,141.4,,,53
P28,1,0,124,P28P3,0,1,,,,,,,,,,,,
P28,1,0,124,P28P3,0,2,,,,,,,,,,,,
P28,1,0,124,P28P3,0,3,,,,,,,,,,,,
P28,1,0,124,P28P3,0,4,,,,,,,,,,,,
P28,1,0,124,P28P3,0,5,,,,,,,,,,,,
P28,1,0,124,P28P4,0,1,,,,,,,,,,,,
P28,1,0,124,P28P4,0,2,,,,,,,,,,,,
P28,1,0,124,P28P4,0,3,,,,,,,,,,,,
P28,1,0,124,P28P4,0,4,,,,,,,,,,,,
P28,1,0,124,P28P4,0,5,,,,,,,,,,,,
P28,1,0,124,P28P5,0,1,,,,,,,,,,,,
