"study_ref","age","sex","mean","variance","skew","n","species"
"43","A","U",17.148539608826,0.295090607427665,-0.0503987443240075,969,"Cyanistes caeruleus"
"43","J","U",17.0104021836007,0.381867847581169,-0.52428264543105,5984,"Cyanistes caeruleus"
"44","A","U",11.1861568531639,0.386464723191659,0.306858797818141,4094,"Hirundo rustica"
"45","A","U",29.9032258064516,3.78003015997902,-0.148199953895023,124,"Taeniopygia guttata"
"45","J","U",28.7223684210526,3.00198613086771,0.415508170087914,38,"Taeniopygia guttata"
"46a","A","U",16.8047368421053,0.179259649122807,0.872414545471417,19,"Aegithalos caudatus"
"46a","J","U",17.0046666666667,0.254326666666667,-0.797962480291288,15,"Aegithalos caudatus"
"46b","A","U",16.6257894736842,0.330376386913229,-0.123028910266019,38,"Cyanistes caeruleus"
"46b","J","U",16.616875,0.25523625,-0.0842393569399807,16,"Cyanistes caeruleus"
"46c","A","U",25.4675187969925,0.498884386437793,0.022673248873658,266,"Erithacus rubecula"
"46c","J","U",25.3967870722433,0.54138756219446,-0.290601334684959,526,"Erithacus rubecula"
"46d","A","U",20.4255555555556,0.340952777777778,-1.08492352137837,9,"Hippolais polyglotta"
"46d","J","U",18,14.56,-1.71066261816709,3,"Hippolais polyglotta"
"46e","A","U",19.7636363636364,0.37644329004329,0.696786026150114,22,"Parus major"
"46e","J","U",19.5564285714286,0.391142328042328,0.0813053296513593,28,"Parus major"
"46f","A","U",19.2976666666667,0.845466781609195,0.289215905837979,30,"Phylloscopus collybita"
"46f","J","U",18.7596,1.07198733333333,-1.22339345781109,25,"Phylloscopus collybita"
"46g","A","U",17.4171428571429,0.408668131868132,-0.440054740195453,14,"Regulus ignicapillus"
"46g","J","U",17.4307692307692,0.173774358974359,0.111820221647236,13,"Regulus ignicapillus"
"46h","A","U",20.3428571428571,1.32244928571429,-2.82389384910777,161,"Sylvia atricapilla"
"46h","J","U",20.5245597484277,0.733248859194889,-3.52160412903203,318,"Sylvia atricapilla"
"46i","A","U",20.3283333333333,0.28180294117647,-0.425970855145533,18,"Sylvia melanocephala"
"46i","J","U",20.2051724137931,2.64283944343618,-3.22442872620121,58,"Sylvia melanocephala"
"46j","A","U",16.9647619047619,0.62417619047619,-1.9927218058065,21,"Troglodytes troglodytes"
"46j","J","U",17.552,0.620239999999999,-0.515338054908015,10,"Troglodytes troglodytes"
"46k","A","U",33.1754166666667,2.43239112318841,-2.70018259264853,24,"Turdus merula"
"46k","J","U",32.5892307692308,3.13102435897436,-0.283176713230977,13,"Turdus merula"
