yr,area,ring,ageF,tars,tail,wing,patch,wingwhite,weight,mpatch,mwing,dam,sex
1,10,CA42593,juv,19.4,52,83,56,23,13.1,*,*,BA31383,M
1,10,CA31992,juv,20.3,52,80,88,22,13.8,*,*,BA34783,M
1,10,BA35183,ad,19.2,51.5,81.5,77,66,13.9,*,*,*,M
1,10,EA76264,ad,19.4,53,84,88,57,13.2,*,*,*,M
1,10,EA82674,juv,18.8,52,80,80,10,12.3,*,*,*,M
1,9,CA14492,ad,19.9,50,82,63,23,13.4,*,*,BA33683,M
1,9,CA00692,ad,19.9,53,83,64,45,14,*,*,*,M
1,9,CA60604,juv,20.3,52,83,80,19,14,*,*,*,M
1,9,CA61504,juv,20.1,51.5,81.5,108,25,13.9,*,*,*,M
1,9,BA33183,juv,20,54,81.5,80,27,13.3,*,*,BA32683,M
1,9,EA73264,juv,20.4,54,81,80,17,13.6,*,*,*,M
1,9,EA02264,ad,19.8,52,83,80,64,14.7,*,*,*,M
1,9,EA27764,juv,20.2,51.5,81.5,70,24,13.4,*,*,*,M
1,9,CA24792,juv,19.3,51.5,83,72,12,13.5,*,*,CA77092,M
1,9,EA27964,ad,20,52.5,84,77,55,13.3,*,*,*,M
1,9,CA61304,ad,18.7,51.5,81,70,36,12.8,*,*,*,M
1,9,CA61304,ad,18.5,50,79.5,80,33,12.9,*,*,*,M
1,9,CA60004,ad,20,50.5,81.5,80,62,13.7,*,*,*,M
1,9,EA92264,juv,19.9,50,80,49,18,11.2,*,*,*,M
1,9,EA10864,ad,19,52.5,82.5,70,56,13.3,*,*,*,M
1,9,CA60504,ad,20.3,51.5,85.5,110,47,12.8,*,*,*,M
1,9,CA61004,ad,19.5,51,82.5,88,52,13,*,*,*,M
1,9,EA88874,juv,19.8,52,83.5,80,19,14.5,*,*,*,M
1,9,CA61704,juv,19.7,51,81,70,23,12.8,*,*,*,M
1,15,CA56592,ad,20.1,53,85.5,99,65,12.9,*,*,*,M
1,15,CA55493,ad,19.9,52,80,66,51,12.9,*,*,*,M
1,15,EA82474,juv,20,52,84,99,44,14.3,*,*,*,M
1,15,CA67092,juv,19.7,52,84,*,32,13.6,*,*,CA77292,M
1,15,CA55493,ad,19.5,51,81.5,63,55,12.3,*,*,*,M
1,15,EA04564,juv,19.7,56,80,72,22,13.5,*,*,*,M
1,15,CA20192,juv,19.8,51,80,48,18,13.3,*,*,*,M
1,15,EA14964,juv,19.1,50,81.5,63,11,12.2,*,*,*,M
1,15,CA06492,ad,19.5,52.5,83,90,43,13.7,*,*,*,M
1,15,CA08192,ad,20.3,54,85.5,70,45,13.4,*,*,*,M
1,15,EA79464,juv,19,53,81,70,21,11.9,*,*,*,M
1,15,CA57292,juv,20.1,50.5,80.5,70,24,13.2,*,*,CA81392,M
1,15,CA79692,juv,18.9,52,84,72,21,12.1,*,*,CA08592,M
1,15,CA81092,ad,20,53.5,85,70,50,13.2,*,*,*,M
1,15,CA56592,ad,20.1,54,85,99,64,13.8,*,*,*,M
1,15,EA94864,juv,19.5,50.5,81,70,23,13,*,*,*,M
1,15,EA15164,juv,19.8,54,83,54,27,13.4,*,*,*,M
1,15,CA81092,ad,20,53.5,85,70,50,13.2,*,*,*,M
1,15,EA94464,juv,20.2,52,85,70,34,13,*,*,*,M
1,15,CA76192,ad,19.9,56,83,80,56,14.2,*,*,*,M
1,15,EA80974,juv,18.9,49,81,80,17,12.7,*,*,*,M
1,15,CA84092,ad,19.6,53,84.5,77,47,12,*,*,*,M
1,15,CA08292,ad,19.4,50.5,81,80,44,13,*,*,*,M
1,5,EA01864,ad,19.3,50.5,81,72,65,13.1,*,*,*,M
1,5,EA01664,ad,20.3,50.5,81,48,50,14,*,*,*,M
1,5,EA01564,ad,19.6,52,84,80,52,13.4,*,*,*,M
1,5,EA10464,ad,19.1,54,85,72,59,13.3,*,*,*,M
1,5,CA76392,ad,19.5,51,83.5,60,54,13.2,*,*,*,M
1,5,EA10564,ad,19.4,53,84,72,46,13.8,*,*,*,M
2,8,CA83192,ad,19,52,84,90,65,13,*,*,*,M
2,8,CA66092,ad,18.9,54,84,88,49,12.8,*,*,CA82992,M
2,8,HA99784,juv,19,49.5,79,80,16,11.8,*,*,*,M
2,8,HA99884,juv,19.1,53,82,80,15,13,*,*,*,M
2,8,CA77992,ad,20,50,83,80,55,13.4,*,*,*,M
2,8,EA05864,ad,19.7,51,79,72,67,12.1,*,*,*,M
2,8,CA22792,ad,20.1,51.5,83.5,63,61,13.5,*,*,CA78192,M
2,8,EA39994,ad,19.1,54,85.5,63,50,13,*,*,*,M
2,8,CA03092,ad,20.5,55.5,87.5,*,50,13.3,*,*,*,M
