Ind_ID,Tarsus,Sex,InbreedingF,F_Gen,FBroodID
4346,17.3,1,0,1544,2270
4347,17.4,0,0,1544,2427
4348,17.7,1,0,2244,2224
4349,18.2,1,0,1654,2144
4350,17.5,1,0,2267,2144
4356,16.5,1,0,2146,2144
4357,17,0,0,1425,2144
4358,16.3,0,0,2146,2397
4359,18.1,0,0,2267,2397
4360,17.9,0,0,1425,2397
4361,17.5,0,0,1654,2427
4362,17.1,0,0,2267,2224
4364,16.3,1,0,1544,2144
4365,17,1,0,1544,2270
4366,16.9,0,0,2244,2427
4367,17.3,0,0,1544,2204
4368,17.4,0,0,1654,2204
4370,17.6,1,0,1654,2397
4371,17.4,1,0,2267,2427
4372,17.2,0,0,2143,2427
4373,18,0,0,2143,2334
4376,17.3,0,0,1425,2370
4377,17.5,1,0,1654,2370
4378,17.7,1,0,1654,2416
4379,16.7,1,0,2071,2204
4380,17.9,1,0,1613,2301
4381,17.1,0,0,1425,2264
4382,17.2,1,0,1613,2422
4383,17.6,0,0,1652,2334
4384,17.3,1,0,1437,2144
4385,17.9,0,0,1652,2236
4386,17.5,1,0,1503,2236
4387,16.8,1,0,2071,2301
4388,17.2,0,0,1652,2311
4389,17.6,1,0,1613,2311
4390,18.2,1,0,1437,2422
4391,17.7,1,0,1503,2204
4395,17.3,1,0,2244,2204
4396,17.4,0,0,1425,2347
4397,17.5,1,0,2071,2264
4398,17.5,1,0,1437,2416
4401,17.5,1,0,2071,2347
4402,17.5,0,0,2245,2370
4403,18.2,1,0,2245,2311
4405,17.2,0,0,1503,2334
4406,17.8,1,0,2244,2347
4407,17,0,0,2263,2301
4408,17.4,1,0,2245,2301
4409,17.2,1,0,2263,2370
4410,17.6,0,0,2269,2416
4411,17.3,1,0,1437,2370
4412,17.3,0,0,2245,2375
4413,17.8,0,0,2263,2422
4415,17.2,0,0,1437,2189
4416,18,1,0,1672,2375
4417,17.4,1,0,2244,2416
4418,17.8,1,0,1672,2416
4419,16,0,0,2263,2236
4420,17.5,1,0,1437,2301
4421,16.5,0,0,2269,2347
4422,16.9,1,0,2143,2311
4423,18.1,0,0,2143,2320
4424,18.1,1,0,2245,2286
4425,18,1,0,1503,2301
4426,17.3,1,0,2263,2347
4427,17,0,0,2143,2220
4428,17.2,0,0,1457,2306
4429,17,1,0,2263,2306
4430,17.2,1,0,1457,2306
4431,17.5,1,0,2246,2175
4432,17.5,1,0,1672,2286
4436,17,0,0,2239,2189
4437,16.9,1,0,2244,2189
4438,18,0,0,1439,2375
4439,16.7,0,0,1457,2320
4440,17.3,1,0,1604,2306
4441,17.8,0,0,1672,2175
4442,16.6,0,0,2244,2220
4443,17.4,1,0,1672,2220
4444,17.4,0,0,1439,2375
4445,17,1,0,2244,2286
4446,16.8,1,0,1527,2189
4447,16.1,1,0,1457,2422
4448,17.2,1,0,2246,2375
4449,18.3,1,0,1439,2175
4450,17.6,1,0,1672,2306
4452,16.5,1,0,1604,2175
4453,17.8,0,0,1480,2139
4454,19,0,0,2120,2248
4455,17.7,0,0,1672,2248
