T3 data all ages	duck ID	Inctemp	id   sex     age   laysequence	daysheld  t3	logt3		T4dataallages	ID	mass	tarsus	sasid  Trt   sex     age   laysequence	daysheld  T4 	logT4		T3 data at T0	Trt	ID	mass	tarsus	age	timeofbleed  hatchtime	hroldatT0  timetohatch  incperiod   T3	logT3	bodycondition	   T4dataDay0	Trt	ID	mass	tarsus	age	timeofbleed   hatchtime	 hroldatT0  timetohatch	incperiod   T4	logT4	bodycondition
			W5.1.15	M	30	M	0	15	1	16.33	1.212986185			U4.1.11	32.43	20.18	26	M	F	0	11	4	21.2	1.326335861			M	W5.1.15	28.19	19.13	0	17:39	4:30	3.65	26.25	33	16.33	1.212986185	0.457162929				M	U4.1.11	32.43	20.18	0	21:44	20:00	1.75	83.00	35	21.2	1.326335861	3.42278755
			Z1.1.1	M	31	M	0	1	3	4.34	0.63748973			W2.1.9	28.87	19.01	27	M	F	0	9	3	86.5	1.937016107			M	Z1.1.1	23.18	17.7267	0	13:58	12:45	1.22	49.00	34	4.34	0.63748973	-3.013101241				M	W2.1.9	28.87	19.01	0	11:18	7:30	3.8	46.75	34	86.5	1.937016107	1.282158672
			D2.1.4	L	32	F	0	4	1	15.7	1.195899652			W3.1.1	26.88	17.75	28	M	F	0	1	4	159.34	2.202324813			L	D2.1.4	29.53	19.72	0	11:39	10:00	1.65	43.75	37	15.7	1.195899652	1.149815561				M	W3.1.1	26.88	17.75	0	17:45	17:30	0.25	53.50	34	159.34	2.202324813	0.820712188
			D3.1.4	L	33	M	0	4	1	3.18	0.50242712			W5.1.1	23.69	17.81	29	M	M	0	1	1	110.69	2.044108387			L	D3.1.4	25.81	18.69	0	12:40	11:00	1.67	75	38	3.18	0.50242712	-1.440069542				M	W5.1.1	23.69	17.81	0	11:25	9:00	2.42	26.25	34	110.69	2.044108387	-2.442076074
			D6.1.10	L	34	M	0	10	2	12.98	1.113274692			Z1.1.1	23.18	17.7267	31	M	M	0	1	3	20.71	1.316180099			L	D6.1.10	24.27	17.1767	0	13:28	13:00	0.933	44.50	34	12.98	1.113274692	-1.319641831				M	Z1.1.1	23.18	17.7267	0	13:58	12:45	1.22	49.00	34	20.71	1.316180099	-2.850981265
			N10.1.7	L	35	F	0	7	3	4.78	0.679427897			D2.1.4	29.53	19.72	32	L	F	0	4	1	231.4	2.364363355			L	N10.1.7	29.03	19.22	0	11:20	8:30	1.83	64.75	36	4.78	0.679427897	1.198415026				L	D2.1.4	29.53	19.72	0	11:39	10:00	1.65	43.75	37	231.4	2.364363355	1.080830897
			N4.1.2	L	36	M	0	2	3	5.6	0.748188027			D3.1.4	25.81	18.69	33	L	M	0	4	1	18.17	1.259354927			L	N4.1.2	26.31	18.2467	0	12:31	11:30	1	53	40	5.6	0.748188027	-0.453644684				L	D3.1.4	25.81	18.69	0	12:40	11:00	1.67	75	38	18.17	1.259354927	-1.38963726
			N7.1.4	L	37	M	0	4	3	17.37	1.239799818			D6.1.10	24.27	17.1767	34	L	M	0	10	2	112.27	2.050263723			L	N7.1.4	26.68	19.49	0	11:22	9:00	2.37	74.75	37	17.37	1.239799818	-1.447828685				L	D6.1.10	24.27	17.1767	0	13:28	13:00	0.933	44.50	34	112.27	2.050263723	-1.093755524
			O2.1.6	L	38	F	0	6	3	14.53	1.162265614			N10.1.7	29.03	19.22	35	L	F	0	7	3	7.92	0.898725182			L	O2.1.6	26.3	17.52	0	10:57	10:00	0.95	38.00	39	14.53	1.162265614	0.333653204				L	N10.1.7	29.03	19.22	0	11:20	8:30	1.83	64.75	36	7.92	0.898725182	1.187399753
			O3.1.1	L	39	F	0	1	2	5.85	0.767155866			N4.1.2	26.31	18.2467	36	L	M	0	2	3	5.39	0.731588765			L	O3.1.1	27.74	18.5	0	11:18	8:00	2.3	41.25	39	5.85	0.767155866	0.698398254				L	N4.1.2	26.31	18.2467	0	12:31	11:30	1	53	40	5.39	0.731588765	-0.351812875
